index,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth,date
2025-01-01,KBC,4,2024,53.0,1.2,28.1,,0.023,0.011,3001.0,3189.0,56.0,2.0,555.0,24233.0,,,,,,0.416,,,0.9,4.6,2.8,0.011,1066.0,0.493,0.218,0.095,0.5,0.2,8.4,0.0,2.4,26935.0,0.317,0.29,6135.0,0.1,-0.365,0.1,0.5,0.218,1.0,,,,,,,,,1.2,,-0.075,0.004,,2025-01-01
2024-10-01,KBC,3,2024,51.3,1.2,25.6,,0.023,0.011,2906.0,2971.0,47.0,2.8,549.0,24136.0,,,,,,0.438,,,0.9,4.6,2.8,0.762,1152.0,0.378,0.24,0.206,0.3,0.1,5.5,0.1,2.3,26439.0,0.371,0.344,5829.0,0.1,-0.38,0.1,0.8,0.24,1.1,,,,,,,,,1.1,,0.319,0.011,,2024-10-01
2024-07-01,KBC,2,2024,93.0,1.2,38.7,,0.013,0.006,3740.0,4080.0,72.0,6.2,311.0,23881.0,,,,,,0.448,,,1.0,4.5,2.7,-0.755,874.0,0.521,0.335,0.27,0.2,0.1,6.8,0.1,2.2,25088.0,0.059,0.06,7748.0,0.1,-1.008,0.1,0.6,0.335,1.3,,,,,,,,,1.0,,-0.599,0.013,,2024-07-01
2024-04-01,KBC,1,2024,27.4,1.5,15.8,,0.056,0.026,2125.0,3339.0,74.0,-0.8,1274.0,23567.0,,,,,,0.46,,,1.0,4.7,2.7,-0.512,2178.0,0.485,,,0.2,0.1,3.1,0.1,2.2,24200.0,0.029,0.028,5389.0,0.2,-2.974,0.1,,,0.9,,,,,,,,,1.0,,-0.442,-0.003,,2024-04-01
2024-01-01,KBC,4,2023,12.2,1.3,9.1,,0.117,0.059,1161.0,2280.0,99.0,1.8,2611.0,23633.0,,,,,,0.543,,,1.5,3.8,2.0,0.401,3904.0,0.445,0.264,0.083,0.2,0.1,1.9,0.1,1.8,18712.0,0.039,0.035,3341.0,0.3,-3.263,0.2,0.3,0.264,1.0,,,,,,,,,0.7,,0.328,0.004,,2024-01-01
2023-10-01,KBC,3,2023,17.2,1.4,12.7,,0.083,0.043,1501.0,3062.0,70.0,0.9,1864.0,23541.0,,,,,,0.535,,,1.5,3.6,1.9,-0.571,2939.0,0.449,0.143,0.056,0.2,0.1,2.4,0.2,1.9,18803.0,0.045,0.038,4493.0,0.2,-3.815,0.1,0.3,0.143,1.3,,,,,,,,,0.7,,0.01,0.0,,2023-10-01
2023-07-01,KBC,2,2023,6.8,1.2,11.2,,0.206,0.103,1528.0,3050.0,64.0,8.9,4346.0,23535.0,,,,,,0.535,,,1.5,3.6,1.9,0.676,2911.0,0.708,0.561,0.421,0.2,0.1,2.5,0.3,1.9,18730.0,0.075,0.074,4514.0,0.2,-3.413,0.1,0.8,0.561,1.0,,,,,,,,,0.7,,0.968,0.062,,2023-07-01
2023-04-01,KBC,1,2023,9.4,1.1,27.1,,0.126,0.06,2730.0,4605.0,49.0,13.4,2593.0,22158.0,,,,,,0.485,,,1.2,2.7,1.5,0.301,1479.0,0.698,0.583,0.423,0.3,0.2,6.8,1.1,2.1,17408.0,0.121,0.121,7287.0,0.1,-0.875,0.1,0.7,0.583,1.0,,,,,,,,,0.9,,-6.632,0.057,,2023-04-01
2023-01-01,KBC,4,2022,12.1,1.2,-152.6,,0.102,0.047,7103.0,6323.0,94.0,-3.7,1993.0,20955.0,,,,,,0.46,,,1.0,2.6,1.5,-0.319,-263.0,,,,0.4,0.2,-41.7,1.0,2.2,17199.0,0.094,0.089,13332.0,0.1,-0.563,0.0,,,1.2,,,,,,,,,1.0,,-1.206,-0.011,,2023-01-01
2022-10-01,KBC,3,2022,9.9,1.4,35.9,,0.154,0.071,2753.0,3500.0,41.0,0.2,2925.0,21181.0,,,,,,0.487,,,1.3,3.1,1.7,7.682,1274.0,0.479,0.107,9.441,0.4,0.2,9.1,1.0,2.1,17884.0,0.071,0.065,6212.0,0.1,-0.724,0.1,1.0,0.107,89.7,,,,,,,,,0.8,,-0.103,0.134,,2022-10-01
