index,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth,date
2025-01-01,KDC,4,2024,400.9,2.6,85.5,,0.006,0.003,99.0,63.0,29.0,0.2,145.0,22845.0,,,,,,0.501,,,1.2,1.4,1.1,-1.08,783.0,0.185,0.004,0.0,0.6,0.3,16.3,3.4,2.0,1771.0,0.19,0.08,133.0,3.7,-0.038,0.6,0.0,0.004,3.9,,,,,,,,,0.9,,-0.309,-0.025,,2025-01-01
2024-10-01,KDC,3,2024,-28.2,2.2,60.5,,-0.072,-0.041,124.0,52.0,23.0,-1.0,-1807.0,23443.0,,,,,,0.546,,,1.4,1.7,1.5,0.104,1133.0,0.188,,0.011,0.5,0.3,9.5,1.6,1.8,2304.0,0.188,0.08,153.0,2.9,-0.053,0.6,1.6,,-0.5,,,,,,,,,0.7,,-0.243,0.003,,2024-10-01
2024-07-01,KDC,2,2024,-33.2,2.3,37.9,,-0.066,-0.039,142.0,63.0,25.0,-2.5,-1637.0,23379.0,,,,,,0.592,,,1.6,1.7,1.4,-2.087,1496.0,0.159,,0.004,0.4,0.2,7.0,10.2,1.7,2442.0,0.231,0.112,181.0,2.6,-0.06,0.6,0.8,,-0.1,,,,,,,,,0.6,,1.286,-0.004,,2024-07-01
2024-04-01,KDC,1,2024,41.0,2.6,99.0,,0.065,0.036,122.0,81.0,27.0,0.5,1505.0,23474.0,,,,,,0.603,,,1.7,1.8,1.5,3.048,654.0,0.198,0.008,0.005,0.4,0.2,19.2,9.8,1.7,2554.0,0.211,0.089,176.0,3.0,-0.025,0.7,0.2,0.008,3.2,,,,,,,,,0.6,,0.189,0.006,,2024-04-01
2024-01-01,KDC,4,2023,164.7,2.6,113.3,,0.016,0.008,90.0,84.0,30.0,3.1,371.0,23324.0,,,,,,0.544,,,1.3,1.6,1.4,-0.843,550.0,0.191,0.062,,0.5,0.3,26.3,5.6,1.8,2730.0,0.309,0.131,145.0,4.0,-0.046,0.7,,0.062,-4.7,,,,,,,,,0.8,,-2.892,-0.12,,2024-01-01
2023-10-01,KDC,3,2023,26.3,2.4,-215.7,,0.095,0.051,87.0,70.0,25.0,2.0,2370.0,26498.0,,,,,,0.583,,,1.6,1.7,1.5,0.077,-291.0,0.192,0.042,0.032,0.3,0.2,-41.2,4.4,1.7,2970.0,0.253,0.125,132.0,4.2,-0.055,0.7,0.6,0.042,1.2,,,,,,,,,0.6,,0.162,0.01,,2023-10-01
2023-07-01,KDC,2,2023,27.7,2.3,-265.1,,0.089,0.049,88.0,60.0,19.0,-4.3,2200.0,26243.0,,,,,,0.591,,,1.5,1.9,1.6,-9.551,-250.0,0.139,,0.398,0.4,0.2,-49.3,5.3,1.7,3650.0,0.174,0.081,129.0,4.1,-0.085,0.8,1.2,,-2.5,,,,,,,,,0.7,,-1.136,0.164,,2023-07-01
2023-04-01,KDC,1,2023,-230.2,2.6,36.8,,-0.011,-0.006,69.0,73.0,14.0,-0.2,-257.0,22547.0,,,,,,0.494,,,1.1,1.6,1.2,-1.212,1845.0,0.188,,,0.6,0.3,8.1,7.9,2.0,3056.0,0.329,0.138,128.0,5.3,-0.106,0.9,,,-0.4,,,,,,,,,0.9,,-0.242,-0.045,,2023-04-01
2023-01-01,KDC,4,2022,52.2,2.7,28.6,,0.052,0.025,46.0,84.0,24.0,-1.5,1212.0,23605.0,,,,,,0.487,,,1.0,1.3,0.9,-0.25,2434.0,0.097,,0.005,0.7,0.4,7.0,5.5,2.1,1549.0,0.156,0.068,106.0,7.9,-0.089,0.9,0.6,,-0.2,,,,,,,,,1.0,,-0.307,0.006,,2023-01-01
2022-10-01,KDC,3,2022,37.6,2.6,19.5,,0.073,0.034,65.0,65.0,17.0,1.7,1615.0,23462.0,,,,,,0.503,,,1.1,1.3,0.9,-0.161,3511.0,0.172,0.029,0.008,0.6,0.3,3.9,4.3,2.0,1614.0,0.138,0.061,113.0,5.6,-0.11,0.9,0.4,0.029,0.6,,,,,,,,,0.9,,0.022,0.02,,2022-10-01
