index,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth,date
2025-01-01,KDH,4,2024,42.0,2.0,30.8,,0.053,0.028,2452.0,4860.0,14.0,,800.0,17201.0,,,,,,0.566,,,1.7,6.9,1.6,0.707,1455.0,0.444,0.331,0.194,0.4,0.2,5.1,0.2,1.8,24661.0,0.159,0.091,7298.0,0.1,-1.225,0.1,0.8,0.331,0.7,,,,,,,,,0.6,,0.439,0.035,,2025-01-01
2024-10-01,KDH,3,2024,75.4,2.1,50.5,,0.032,0.017,4706.0,12526.0,7.0,,469.0,16627.0,,,,,,0.532,,,1.5,6.1,1.5,-0.224,1012.0,0.625,0.359,0.279,0.4,0.2,7.8,0.2,1.9,24949.0,0.175,0.094,17225.0,0.1,-1.157,0.1,1.0,0.359,0.8,,,,,,,,,0.7,,-0.266,0.223,,2024-10-01
2024-07-01,KDH,2,2024,55.5,2.5,39.3,,0.047,0.024,3404.0,9456.0,5.0,,604.0,13591.0,,,,,,0.482,,,1.2,4.9,0.9,0.054,1379.0,0.776,0.656,0.432,0.5,0.3,6.5,0.3,2.1,21279.0,0.162,0.076,12855.0,0.1,-1.167,0.1,0.8,0.656,0.9,,,,,,,,,0.8,,-0.025,0.017,,2024-07-01
2024-04-01,KDH,1,2024,59.9,2.6,33.7,,0.046,0.024,3450.0,10301.0,4.0,,573.0,13365.0,,,,,,0.496,,,1.3,5.5,1.1,-0.191,1414.0,0.522,0.352,0.19,0.5,0.3,6.6,0.2,2.0,20823.0,0.163,0.088,13747.0,0.1,-2.269,0.1,0.6,0.352,0.9,,,,,,,,,0.7,,-0.12,0.005,,2024-04-01
2024-01-01,KDH,4,2023,40.3,2.1,26.6,,0.057,0.03,3188.0,10941.0,5.0,,708.0,13303.0,,,,,,0.509,,,1.4,4.6,1.1,-0.073,1607.0,0.621,0.383,0.132,0.4,0.2,5.4,0.3,2.0,19391.0,0.24,0.135,14123.0,0.1,-2.265,0.1,0.5,0.383,0.6,,,,,,,,,0.7,,0.189,0.015,,2024-01-01
2023-10-01,KDH,3,2023,35.3,2.1,30.6,,0.063,0.034,2329.0,4264.0,4.0,,765.0,13108.0,,,,,,0.566,,,1.9,7.5,1.6,-0.157,1352.0,0.702,0.507,0.337,0.3,0.2,6.3,0.1,1.8,18899.0,0.152,0.094,6589.0,0.2,-1.825,0.1,0.8,0.507,0.8,,,,,,,,,0.5,,-0.315,0.088,,2023-10-01
2023-07-01,KDH,2,2023,28.0,2.1,20.8,,0.08,0.043,1980.0,3295.0,20.0,584.1,907.0,12043.0,,,,,,0.53,,,1.4,6.0,2.2,-0.085,1973.0,0.887,0.77,0.424,0.4,0.3,4.3,0.1,1.9,17223.0,0.15,0.088,5255.0,0.2,-1.741,0.1,0.6,0.77,0.9,,,,,,,,,0.7,,0.262,0.037,,2023-07-01
2023-04-01,KDH,1,2023,23.0,2.0,29.5,,0.09,0.053,1807.0,2827.0,14.0,382.7,991.0,11617.0,,,,,,0.566,,,1.3,7.3,2.6,-0.09,1564.0,0.78,0.619,0.471,0.5,0.3,5.1,0.2,1.8,17026.0,0.125,0.056,4620.0,0.2,-0.628,0.2,0.7,0.619,1.1,,,,,,,,,0.8,,0.321,0.016,,2023-04-01
2023-01-01,KDH,4,2022,20.1,1.9,31.5,,0.101,0.061,1787.0,2410.0,8.0,,1090.0,11429.0,,,,,,0.534,,,1.2,6.0,2.4,-0.211,1184.0,0.242,0.161,0.096,0.6,0.3,5.8,0.2,1.9,17174.0,0.233,0.134,4189.0,0.2,-1.038,0.2,0.7,0.161,0.9,,,,,,,,,0.8,,-0.328,0.011,,2023-01-01
2022-10-01,KDH,3,2022,16.8,2.1,20.6,,0.132,0.078,2285.0,5117.0,7.0,,1382.0,11304.0,,,,,,0.532,,,1.2,7.0,2.7,0.026,1762.0,0.635,0.518,0.438,0.6,0.3,4.2,0.2,1.9,17577.0,0.232,0.136,7396.0,0.2,-0.819,0.1,0.7,0.518,1.2,,,,,,,,,0.8,,0.2,0.065,,2022-10-01
2022-07-01,KDH,2,2022,21.7,2.8,22.8,,0.141,0.082,1723.0,3149.0,11.0,-371.6,1347.0,10614.0,,,,,,0.554,,,1.4,7.1,2.4,0.051,1468.0,0.68,0.602,0.453,0.5,0.3,4.4,0.2,1.8,15808.0,0.117,0.08,4861.0,0.2,-0.793,0.2,0.8,0.602,1.0,,,,,,,,,0.7,,-0.212,0.024,,2022-07-01
2022-04-01,KDH,1,2022,30.9,3.8,27.1,,0.138,0.084,1433.0,2248.0,7.0,4.4,1282.0,10369.0,,,,,,0.603,,,1.8,9.0,2.7,-0.147,1862.0,0.542,0.036,2.098,0.4,0.3,2.9,0.2,1.7,14598.0,0.105,0.044,3673.0,0.3,-0.813,0.2,1.0,0.036,59.7,,,,,,,,,0.6,,-0.198,-0.186,,2022-04-01
2022-01-01,KDH,4,2021,28.0,3.3,21.7,,0.131,0.085,984.0,1415.0,31.0,1135.4,1504.0,12742.0,,,,,,0.71,,,2.5,6.5,2.7,0.027,2323.0,0.822,0.549,0.702,0.2,0.2,1.5,0.3,1.4,11336.0,0.134,0.044,2369.0,0.4,-1.119,0.3,0.8,0.549,1.6,,,,,,,,,0.4,,-0.103,0.042,,2022-01-01
2021-10-01,KDH,3,2021,25.8,3.1,20.4,,0.134,0.08,798.0,1032.0,37.0,,1464.0,12224.0,,,,,,0.673,,,2.1,5.1,2.5,-0.037,2589.0,0.398,0.36,0.264,0.3,0.2,1.5,0.4,1.5,10824.0,0.291,0.089,1794.0,0.5,-0.955,0.3,0.8,0.36,0.9,,,,,,,,,0.5,,-0.058,0.13,,2021-10-01
2021-07-01,KDH,2,2021,22.4,3.2,19.8,,0.15,0.085,640.0,920.0,35.0,26.4,1520.0,10814.0,,,,,,0.616,,,1.6,3.5,1.5,0.01,2749.0,0.425,0.329,0.24,0.3,0.2,1.2,0.8,1.6,9346.0,0.213,0.059,1525.0,0.6,-1.472,0.4,0.8,0.329,0.9,,,,,,,,,0.6,,-0.04,0.037,,2021-07-01
2021-04-01,KDH,1,2021,16.7,2.4,15.0,,0.149,0.089,680.0,997.0,24.0,168.3,1505.0,10424.0,,,,,,0.615,,,1.6,3.8,1.6,-0.064,2863.0,0.428,0.343,0.245,0.3,0.2,1.0,0.6,1.6,9301.0,0.165,0.059,1653.0,0.5,-1.331,0.3,0.8,0.343,0.9,,,,,,,,,0.6,,0.032,-0.081,,2021-04-01
