index,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth,date
2025-01-01,L14,4,2024,55.4,2.2,25.6,,0.04,0.027,842.0,931.0,91.0,33.6,556.0,13802.0,,,,,,0.684,,,2.2,2.6,1.6,-0.304,1133.0,0.304,0.185,0.016,0.0,0.0,1.0,1.4,1.5,312.0,0.234,0.105,1683.0,0.4,-0.037,0.2,0.4,0.185,0.2,,,,,,,,,0.5,,0.426,0.003,,2025-01-01
2024-10-01,L14,3,2024,37.2,2.2,39.9,,0.058,0.041,856.0,835.0,34.0,13.0,799.0,13766.0,,,,,,0.684,,,2.2,2.7,1.5,-0.005,795.0,0.592,0.368,0.347,0.1,0.0,1.2,1.9,1.5,312.0,0.19,0.078,1657.0,0.4,-0.036,0.2,0.8,0.368,1.2,,,,,,,,,0.5,,0.275,-0.019,,2024-10-01
2024-07-01,L14,2,2024,43.7,2.5,42.2,,0.059,0.041,851.0,730.0,26.0,11.8,803.0,14032.0,,,,,,0.661,,,1.9,2.5,1.4,-0.007,623.0,0.856,0.521,0.224,0.1,0.1,1.6,3.5,1.5,319.0,0.257,0.126,1555.0,0.4,-0.042,0.2,0.8,0.521,0.6,,,,,,,,,0.5,,0.991,0.001,,2024-07-01
2024-04-01,L14,1,2024,54.3,3.1,93.3,,0.059,0.042,905.0,638.0,21.0,2.8,809.0,14012.0,,,,,,0.669,,,2.0,2.6,1.6,0.031,313.0,0.248,0.13,0.181,0.1,0.1,3.2,3.0,1.5,320.0,0.295,0.13,1522.0,0.4,0.0,0.2,0.8,0.13,1.7,,,,,,,,,0.5,,0.312,0.009,,2024-04-01
2024-01-01,L14,4,2023,56.6,3.2,153.6,,0.058,0.039,834.0,569.0,32.0,2.8,784.0,13882.0,,,,,,0.643,,,1.8,2.4,1.5,-0.518,239.0,0.096,0.041,0.128,0.1,0.1,5.2,3.1,1.6,316.0,0.304,0.114,1371.0,0.4,0.0,0.2,0.8,0.041,3.9,,,,,,,,,0.6,,-0.515,0.021,,2024-01-01
2023-10-01,L14,3,2023,27.0,3.2,85.2,,0.127,0.088,933.0,777.0,17.0,4.1,1627.0,13603.0,,,,,,0.719,,,2.6,3.0,1.8,-0.015,492.0,0.213,0.103,0.32,0.1,0.1,1.7,1.4,1.4,307.0,0.1,0.032,1693.0,0.4,0.0,0.2,0.8,0.103,3.9,,,,,,,,,0.4,,-0.508,0.018,,2023-10-01
2023-07-01,L14,2,2023,24.7,3.1,43.2,,0.132,0.092,829.0,702.0,10.0,4.7,1652.0,13365.0,,,,,,0.748,,,3.0,3.3,2.0,-2.298,1001.0,0.312,0.126,0.383,0.0,0.0,0.6,1.3,1.3,307.0,0.087,0.028,1520.0,0.4,0.201,0.2,0.8,0.126,3.8,,,,,,,,,0.3,,-0.491,0.012,,2023-07-01
2023-04-01,L14,1,2023,-34.7,3.3,20.4,,-0.077,-0.043,1146.0,595.0,15.0,1.2,-1272.0,13203.0,,,,,,0.737,,,2.8,3.2,2.0,-3.068,1966.0,0.066,0.019,0.105,0.0,0.0,1.3,0.6,1.4,303.0,0.273,0.089,1726.0,0.3,0.001,0.2,0.8,0.019,7.1,,,,,,,,,0.4,,-0.119,0.008,,2023-04-01
2023-01-01,L14,4,2022,82.6,3.9,24.0,,0.04,0.022,1047.0,699.0,20.0,19.2,615.0,13097.0,,,,,,0.713,,,2.5,3.0,1.9,-0.878,2232.0,0.458,0.239,0.78,0.1,0.0,1.5,1.3,1.4,299.0,0.407,0.104,1727.0,0.3,0.0,0.2,0.9,0.239,3.5,,,,,,,,,0.4,,0.109,0.091,,2023-01-01
2022-10-01,L14,3,2022,14.1,5.9,25.9,,0.413,0.243,642.0,526.0,12.0,61.7,5055.0,12007.0,,,,,,0.669,,,2.0,2.5,1.6,-0.024,2012.0,0.627,0.457,0.231,0.0,0.0,1.2,0.5,1.5,263.0,0.132,0.032,1155.0,0.6,0.0,0.3,0.7,0.457,0.7,,,,,,,,,0.5,,0.011,0.022,,2022-10-01
