index,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth,date
2025-01-01,PVS,4,2024,13.9,1.2,22.5,,0.091,0.039,132.0,27.0,64.0,-9.1,2472.0,27877.0,,,,,,0.391,,,0.8,1.7,1.6,0.288,1013.0,0.031,,0.056,0.1,0.0,3.5,1.1,2.6,10214.0,0.767,0.697,95.0,2.8,-0.243,0.8,0.7,,-5.8,,,,,,,,,1.3,,-0.166,0.009,,2025-01-01
2024-10-01,PVS,3,2024,20.8,1.4,17.7,,0.071,0.033,139.0,22.0,92.0,5.0,1919.0,27623.0,,,,,,0.483,,,1.0,1.9,1.8,-0.007,1214.0,0.069,0.018,0.028,0.1,0.1,2.9,1.9,2.1,8341.0,0.59,0.522,70.0,2.6,-0.316,0.7,0.6,0.018,2.4,,,,,,,,,1.0,,0.613,-0.004,,2024-10-01
2024-07-01,PVS,2,2024,20.6,1.4,38.1,,0.072,0.034,135.0,24.0,77.0,-6.3,1932.0,27744.0,,,,,,0.492,,,1.1,1.8,1.6,-0.03,753.0,0.043,,0.035,0.1,0.1,4.5,2.7,2.0,7253.0,0.498,0.383,83.0,2.7,-0.363,0.7,0.7,,-3.1,,,,,,,,,0.9,,-0.005,0.002,,2024-07-01
2024-04-01,PVS,1,2024,19.3,1.4,46.0,,0.074,0.037,141.0,24.0,77.0,2.0,1991.0,27675.0,,,,,,0.519,,,1.2,1.9,1.7,0.099,757.0,0.07,0.008,0.081,0.1,0.1,4.0,1.8,1.9,7226.0,0.398,0.278,88.0,2.6,-0.289,0.8,0.8,0.008,11.7,,,,,,,,,0.8,,0.132,0.044,,2024-04-01
2024-01-01,PVS,4,2023,20.6,1.4,50.7,,0.07,0.033,134.0,25.0,85.0,-2.1,1812.0,26516.0,,,,,,0.48,,,1.0,1.8,1.6,-0.212,668.0,0.056,,0.042,0.1,0.1,4.9,2.1,2.1,7091.0,0.43,0.303,74.0,2.7,-0.28,0.7,0.9,,-9.0,,,,,,,,,1.0,,-0.476,-0.001,,2024-01-01
2023-10-01,PVS,3,2023,16.2,1.4,24.6,,0.088,0.041,151.0,28.0,114.0,-5.9,2299.0,26548.0,,,,,,0.444,,,0.9,1.7,1.5,-0.045,1275.0,0.043,,0.034,0.1,0.0,2.3,1.3,2.3,7602.0,0.364,0.274,65.0,2.4,-0.227,0.7,0.6,,-2.1,,,,,,,,,1.1,,-0.149,0.022,,2023-10-01
2023-07-01,PVS,2,2023,13.0,1.2,19.7,,0.095,0.044,156.0,24.0,101.0,-3.2,2406.0,25990.0,,,,,,0.459,,,0.9,1.8,1.7,0.233,1499.0,0.04,,0.048,0.1,0.1,1.8,1.3,2.2,7656.0,0.432,0.32,79.0,2.3,-0.214,0.7,0.8,,-4.7,,,,,,,,,1.1,,0.3,0.002,,2023-07-01
2023-04-01,PVS,1,2023,12.5,0.9,24.1,,0.076,0.037,164.0,29.0,106.0,0.7,1951.0,25942.0,,,,,,0.484,,,1.1,1.9,1.8,-0.002,1153.0,0.055,0.004,0.058,0.1,0.1,2.4,1.2,2.1,7690.0,0.401,0.321,87.0,2.2,-0.213,0.6,0.8,0.004,18.9,,,,,,,,,1.0,,-0.037,0.024,,2023-04-01
2023-01-01,PVS,4,2022,10.5,0.8,15.5,,0.078,0.037,155.0,38.0,123.0,18.3,1954.0,25331.0,,,,,,0.47,,,1.0,1.8,1.7,0.87,1198.0,0.09,0.055,0.098,0.1,0.1,3.0,1.2,2.1,7087.0,0.409,0.434,70.0,2.4,-0.17,0.6,0.9,0.055,2.1,,,,,,,,,1.0,,0.593,-0.006,,2023-01-01
2022-10-01,PVS,3,2022,21.4,0.9,24.3,,0.041,0.02,168.0,44.0,112.0,1.1,1045.0,25481.0,,,,,,0.484,,,1.0,1.8,1.7,-0.055,752.0,0.058,0.004,0.055,0.1,0.1,3.5,1.3,2.1,7157.0,0.41,0.442,100.0,2.2,-0.152,0.6,0.6,0.004,22.0,,,,,,,,,1.0,,0.03,0.025,,2022-10-01
