index,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth,date
2025-01-01,SLS,4,2024,3.9,1.3,3.8,,0.381,0.335,232.0,112.0,43.0,390.3,53686.0,157528.0,,,,,,0.908,,,9.8,7.4,5.5,0.071,51033.0,0.337,0.304,0.326,0.0,0.0,0.1,,1.1,997.0,0.068,0.051,301.0,1.6,-0.034,0.8,1.0,0.304,1.1,,,,,,,,,0.1,,0.084,0.073,,2025-01-01
2024-10-01,SLS,3,2024,3.7,1.3,3.7,,0.379,0.322,233.0,109.0,4.0,282.8,50117.0,146865.0,,,,,,0.895,,,8.5,6.2,4.3,-0.068,47057.0,0.449,0.436,0.469,0.0,0.0,0.1,,1.1,883.0,0.118,0.092,339.0,1.6,-0.119,0.8,1.0,0.436,1.1,,,,,,,,,0.1,,-0.085,-0.075,,2024-10-01
2024-07-01,SLS,2,2024,3.2,1.1,3.5,,0.385,0.347,208.0,156.0,17.0,689.1,53754.0,158778.0,,,,,,0.917,,,11.0,8.0,4.9,0.02,51407.0,0.424,0.422,0.426,0.0,0.0,0.1,,1.1,986.0,0.012,0.011,347.0,1.8,-0.116,0.9,1.0,0.422,1.0,,,,,,,,,0.1,,0.022,0.178,,2024-07-01
2024-04-01,SLS,1,2024,2.9,1.1,3.6,,0.453,0.358,144.0,186.0,48.0,180.1,52700.0,134792.0,,,,,,0.839,,,5.2,4.0,1.9,-0.013,50296.0,0.408,0.378,0.423,0.0,0.0,0.2,,1.2,749.0,0.049,0.034,282.0,2.5,-0.032,1.0,1.0,0.378,1.1,,,,,,,,,0.2,,-0.022,0.083,,2024-04-01
2024-01-01,SLS,4,2023,2.4,1.0,3.0,,0.506,0.406,104.0,59.0,42.0,-229.5,53407.0,124477.0,,,,,,0.848,,,5.6,4.0,3.2,-0.068,51405.0,0.322,0.312,0.372,0.1,0.1,0.2,,1.2,646.0,0.139,0.107,121.0,3.5,-0.098,1.3,1.0,0.312,1.2,,,,,,,,,0.2,,-0.092,0.061,,2024-01-01
2023-10-01,SLS,3,2023,3.0,1.5,2.2,,0.594,0.42,80.0,47.0,4.0,55.8,57310.0,117348.0,,,,,,0.796,,,3.9,3.0,2.8,0.073,56614.0,0.314,0.28,0.277,0.0,0.0,0.4,,1.3,600.0,0.248,0.195,123.0,4.5,-0.031,1.4,1.0,0.28,1.0,,,,,,,,,0.3,,0.059,-0.027,,2023-10-01
2023-07-01,SLS,2,2023,2.6,1.2,3.3,,0.539,0.384,89.0,125.0,15.0,95.6,53423.0,120573.0,,,,,,0.88,,,7.3,5.0,2.9,0.45,53441.0,0.391,0.376,0.381,0.0,0.0,0.6,10.1,1.1,624.0,0.114,0.073,198.0,4.1,-0.031,1.3,1.0,0.376,1.0,,,,,,,,,0.1,,0.429,0.235,,2023-07-01
2023-04-01,SLS,1,2023,3.4,1.3,5.2,,0.436,0.277,72.0,167.0,49.0,21.0,36843.0,97639.0,,,,,,0.728,,,2.7,2.1,0.9,0.168,37398.0,0.273,0.249,0.265,0.2,0.1,0.8,15.9,1.4,394.0,0.017,0.009,190.0,5.1,-0.052,1.0,1.0,0.249,1.1,,,,,,,,,0.4,,0.131,0.126,,2023-04-01
2023-01-01,SLS,4,2022,3.2,1.2,5.3,,0.415,0.275,55.0,81.0,61.0,22.5,31557.0,86685.0,,,,,,0.747,,,3.0,2.1,1.4,0.313,33061.0,0.298,0.294,0.289,0.2,0.1,0.6,4.6,1.3,279.0,0.008,0.004,76.0,6.7,-0.033,1.1,1.0,0.294,1.0,,,,,,,,,0.3,,0.289,0.146,,2023-01-01
2022-10-01,SLS,3,2022,4.7,1.5,6.2,,0.33,0.201,62.0,90.0,5.0,9.6,24042.0,75664.0,,,,,,0.603,,,1.5,1.4,0.9,0.255,25654.0,0.302,0.262,0.238,0.5,0.3,1.5,6.6,1.7,195.0,0.064,0.039,147.0,5.9,-0.051,0.9,1.0,0.262,0.9,,,,,,,,,0.7,,0.239,-0.025,,2022-10-01
