index,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth,date
2025-01-01,VHC,4,2024,12.9,1.8,10.5,,0.145,0.103,141.0,112.0,10.0,22.1,5496.0,38684.0,,,,,,0.709,,,2.8,2.6,1.7,0.441,8305.0,0.18,0.117,0.133,0.3,0.2,1.3,,1.4,5048.0,0.063,0.036,242.0,2.6,-0.207,1.0,0.9,0.117,1.3,,,,,,,,,0.4,,0.237,-0.003,,2025-01-01
2024-10-01,VHC,3,2024,18.4,1.8,12.6,,0.101,0.069,148.0,130.0,19.0,20.3,3813.0,38787.0,,,,,,0.695,,,2.6,2.4,1.5,0.179,6716.0,0.177,0.127,0.098,0.2,0.2,1.8,,1.4,4956.0,0.068,0.04,259.0,2.5,-0.148,0.9,0.8,0.127,1.0,,,,,,,,,0.4,,0.256,0.038,,2024-10-01
2024-07-01,VHC,2,2024,21.1,1.8,17.0,,0.088,0.059,146.0,137.0,19.0,18.2,3234.0,37360.0,,,,,,0.686,,,2.4,2.3,1.3,-0.143,5347.0,0.147,0.102,0.1,0.3,0.2,2.4,40.5,1.5,4612.0,0.018,0.01,265.0,2.5,-0.191,0.9,0.8,0.102,1.2,,,,,,,,,0.4,,-0.183,0.039,,2024-07-01
2024-04-01,VHC,1,2024,20.2,2.1,15.7,,0.107,0.071,144.0,132.0,20.0,7.5,3774.0,35942.0,,,,,,0.667,,,2.2,2.2,1.2,-0.055,6547.0,0.093,0.047,0.059,0.3,0.2,2.3,40.9,1.5,4314.0,0.012,0.006,256.0,2.5,-0.175,0.9,0.8,0.047,1.6,,,,,,,,,0.5,,-0.088,-0.031,,2024-04-01
2024-01-01,VHC,4,2023,14.6,1.6,14.7,,0.113,0.077,156.0,134.0,14.0,2.5,3994.0,37091.0,,,,,,0.705,,,2.6,2.5,1.3,-0.137,7181.0,0.082,0.02,0.02,0.3,0.2,1.7,21.2,1.4,4633.0,0.028,0.014,276.0,2.3,-0.181,0.9,0.5,0.02,2.1,,,,,,,,,0.4,,-0.133,0.01,,2024-01-01
2023-10-01,VHC,3,2023,13.4,1.7,11.1,,0.13,0.086,160.0,146.0,15.0,4.3,4627.0,36716.0,,,,,,0.666,,,2.2,2.2,1.2,-0.2,8278.0,0.106,0.056,0.071,0.3,0.2,1.8,20.8,1.5,4541.0,0.043,0.025,291.0,2.3,-0.258,0.8,0.8,0.056,1.5,,,,,,,,,0.5,,-0.169,0.024,,2023-10-01
2023-07-01,VHC,2,2023,8.8,1.4,9.0,,0.17,0.109,143.0,147.0,20.0,10.9,5784.0,35866.0,,,,,,0.654,,,2.0,2.1,1.1,-0.212,9961.0,0.213,0.171,0.161,0.3,0.2,1.5,23.1,1.5,4325.0,0.023,0.014,271.0,2.6,-0.344,0.9,0.8,0.171,1.1,,,,,,,,,0.5,,-0.181,0.044,,2023-07-01
2023-04-01,VHC,1,2023,5.7,1.2,7.2,,0.235,0.15,108.0,109.0,18.0,7.1,7342.0,34360.0,,,,,,0.661,,,2.1,2.1,1.2,-0.166,12158.0,0.173,0.119,0.099,0.4,0.2,1.2,20.7,1.5,4084.0,0.107,0.061,200.0,3.4,-0.419,1.1,0.8,0.119,1.0,,,,,,,,,0.5,,-0.136,0.025,,2023-04-01
2023-01-01,VHC,4,2022,6.2,1.6,5.3,,0.297,0.195,94.0,80.0,13.0,7.6,8807.0,33526.0,,,,,,0.65,,,2.0,2.1,1.3,-0.118,14072.0,0.191,0.102,0.076,0.3,0.2,0.8,12.7,1.5,3945.0,0.072,0.049,161.0,3.9,-0.456,1.3,0.8,0.102,0.9,,,,,,,,,0.5,,-0.077,-0.023,,2023-01-01
2022-10-01,VHC,3,2022,6.5,1.9,5.3,,0.335,0.224,98.0,81.0,10.0,19.1,9986.0,34314.0,,,,,,0.647,,,1.9,2.1,1.4,0.095,15242.0,0.192,0.147,0.138,0.3,0.2,0.8,14.0,1.5,4343.0,0.061,0.038,169.0,3.7,-0.526,1.3,0.8,0.147,1.1,,,,,,,,,0.5,,0.074,0.062,,2022-10-01
2022-07-01,VHC,2,2022,7.9,2.2,6.0,,0.323,0.21,98.0,96.0,16.0,44.8,9119.0,32309.0,,,,,,0.629,,,1.8,2.0,1.3,0.348,14198.0,0.259,0.209,0.187,0.4,0.2,0.8,16.9,1.6,4060.0,0.007,0.004,179.0,3.7,-0.444,1.3,0.9,0.209,1.0,,,,,,,,,0.6,,0.31,0.146,,2022-07-01
2022-04-01,VHC,1,2022,10.7,2.6,9.3,,0.261,0.173,99.0,92.0,16.0,32.9,6762.0,28198.0,,,,,,0.616,,,1.7,1.9,1.2,0.149,10839.0,0.238,0.195,0.168,0.4,0.3,1.0,16.8,1.6,3140.0,0.022,0.009,175.0,3.7,-0.39,1.2,0.8,0.195,1.0,,,,,,,,,0.6,,0.342,-0.087,,2022-04-01
2022-01-01,VHC,4,2021,10.4,2.0,13.5,,0.201,0.138,114.0,82.0,16.0,53.4,5887.0,30884.0,,,,,,0.661,,,2.1,2.1,1.4,0.377,8079.0,0.237,0.18,0.169,0.3,0.2,1.0,10.3,1.5,2875.0,0.033,0.011,180.0,3.2,-0.312,1.1,0.8,0.18,1.1,,,,,,,,,0.5,,0.344,0.015,,2022-01-01
2021-10-01,VHC,3,2021,11.7,1.6,11.8,,0.145,0.106,131.0,85.0,14.0,24.9,4276.0,30437.0,,,,,,0.702,,,2.4,2.3,1.5,0.111,6013.0,0.183,0.133,0.115,0.3,0.2,1.1,8.1,1.4,2870.0,0.025,0.012,202.0,2.8,-0.224,1.1,0.9,0.133,1.0,,,,,,,,,0.4,,0.165,0.047,,2021-10-01
