index,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth,date
2025-01-01,VIC,4,2024,13.2,1.1,23.4,,0.09,0.016,-151.0,229.0,84.0,-0.4,3069.0,36075.0,,,,,,0.164,,,0.2,0.8,0.6,0.229,4067.0,0.153,,0.031,1.5,0.3,14.0,0.7,6.1,-114470.0,0.278,0.275,-6.0,,-0.296,0.3,0.4,,-2.0,,,,,,,,,4.5,,1.386,0.023,,2025-01-01
2024-10-01,VIC,3,2024,16.8,1.2,55.8,,0.074,0.013,-110.0,278.0,71.0,0.8,2498.0,35261.0,,,,,,0.17,,,0.3,0.9,0.6,1.662,1705.0,0.208,0.07,0.084,1.3,0.3,31.0,0.8,5.9,-46421.0,0.165,0.175,97.0,,-0.261,0.2,1.1,0.07,1.1,,,,,,,,,3.8,,0.263,0.041,,2024-10-01
2024-07-01,VIC,2,2024,43.9,1.2,73.2,,0.03,0.005,-161.0,279.0,88.0,0.0,938.0,33888.0,,,,,,0.179,,,0.3,0.8,0.6,-0.598,1350.0,0.165,0.0,,1.4,0.3,39.0,1.0,5.6,-63451.0,0.176,0.182,29.0,,-0.322,0.2,,0.0,246.4,,,,,,,,,3.4,,-0.371,-0.006,,2024-07-01
2024-04-01,VIC,1,2024,20.4,1.4,46.0,,0.074,0.014,-87.0,275.0,102.0,-1.8,2335.0,34095.0,,,,,,0.188,,,0.3,0.9,0.6,3.33,2147.0,,,0.365,1.4,0.3,25.0,1.1,5.3,-44333.0,0.169,0.172,87.0,,-0.391,0.2,3.2,,-0.3,,,,,,,,,3.4,,-0.406,0.073,,2024-04-01
2024-01-01,VIC,4,2023,82.7,1.4,25.8,,0.018,0.003,-77.0,254.0,103.0,-2.0,539.0,31789.0,,,,,,0.182,,,0.3,0.9,0.6,-0.454,3614.0,,,,1.4,0.3,14.0,1.2,5.5,-44060.0,0.198,0.182,74.0,,-0.416,0.3,,,-0.1,,,,,,,,,3.5,,-0.505,-0.011,,2024-01-01
2023-10-01,VIC,3,2023,47.4,1.5,12.9,,0.032,0.006,-66.0,228.0,77.0,0.9,988.0,32132.0,,,,,,0.196,,,0.3,0.9,0.6,-0.299,7300.0,0.245,0.099,,1.3,0.3,6.7,1.0,5.1,-46747.0,0.115,0.103,84.0,,-0.446,0.3,,0.099,0.9,,,,,,,,,3.3,,0.118,0.087,,2023-10-01
2023-07-01,VIC,2,2023,36.1,1.7,13.8,,0.049,0.01,-78.0,247.0,88.0,1.4,1411.0,29551.0,,,,,,0.189,,,0.3,0.8,0.6,-0.225,6530.0,0.225,0.095,0.039,1.4,0.3,7.0,0.9,5.3,-59710.0,0.134,0.111,82.0,,-0.525,0.3,0.5,0.095,0.8,,,,,,,,,3.4,,0.997,0.016,,2023-07-01
2023-04-01,VIC,1,2023,30.2,1.9,30.3,,0.065,0.013,-5.0,253.0,79.0,-0.4,1821.0,29098.0,,,,,,0.186,,,0.3,0.9,0.6,-0.166,3269.0,0.114,,0.027,1.4,0.3,13.3,0.5,5.4,-24226.0,0.128,0.089,169.0,,-0.578,0.2,0.3,,-3.1,,,,,,,,,3.4,,0.303,0.014,,2023-04-01
2023-01-01,VIC,4,2022,24.6,1.9,38.4,,0.08,0.017,-10.0,312.0,77.0,1.3,2184.0,28689.0,,,,,,0.191,,,0.3,0.9,0.6,9.077,2510.0,0.311,0.096,0.038,1.3,0.3,16.0,0.4,5.2,-24329.0,0.193,0.131,225.0,,-0.628,0.2,0.4,0.096,1.0,,,,,,,,,3.2,,2.12,-0.01,,2023-01-01
2022-10-01,VIC,3,2022,253.7,1.9,126.2,,0.008,0.002,29.0,302.0,66.0,0.0,216.0,28967.0,,,,,,0.199,,,0.3,0.9,0.6,-2.766,804.0,0.2,0.003,0.033,1.3,0.3,51.6,0.5,5.0,-16918.0,0.193,0.12,265.0,12.4,-0.61,0.2,0.2,0.003,60.1,,,,,,,,,3.0,,-0.404,0.048,,2022-10-01
