index,ticker,quarter,year,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda,date,start_date
2025-01-01,ACB,4,2024,7080.0,0.126,0.029,,,-2739.0,8558.0,0.021,0.052,,5671.0,4545.0,4545.0,0.135,0.174,537,869,73,-148,5819,,2025-01-01,2024-10-01
2024-10-01,ACB,3,2024,6881.0,0.108,-0.032,,,-2934.0,8136.0,-0.034,-0.06,,4844.0,3870.0,3870.0,-0.041,-0.134,305,747,203,-358,5202,,2024-10-01,2024-07-01
2024-07-01,ACB,2,2024,7112.0,0.139,0.058,,,-2466.0,8652.0,0.078,0.059,,5598.0,4469.0,4469.0,0.156,0.144,377,878,286,-588,6186,,2024-07-01,2024-04-01
2024-04-01,ACB,1,2024,6722.0,0.081,0.069,,,-2764.0,8168.0,0.031,-0.025,,4892.0,3905.0,3905.0,-0.056,-0.025,639,745,62,-512,5405,,2024-04-01,2024-01-01
2024-01-01,ACB,4,2023,6290.0,-0.026,0.013,,,-3013.0,8378.0,0.057,-0.005,,5044.0,4006.0,4006.0,0.396,-0.008,1375,727,-14,-322,5365,,2024-01-01,2023-10-01
2023-10-01,ACB,3,2023,6209.0,0.029,-0.006,,,-2868.0,8424.0,0.188,0.05,,5035.0,4038.0,4038.0,0.126,0.044,1305,764,147,-521,5556,,2023-10-01,2023-07-01
2023-07-01,ACB,2,2023,6246.0,0.114,0.005,,,-2485.0,8024.0,0.159,0.013,,4832.0,3866.0,3866.0,-0.02,-0.065,811,804,163,-706,5538,,2023-07-01,2023-04-01
2023-04-01,ACB,1,2023,6215.0,0.142,-0.037,,,-2508.0,7920.0,0.156,-0.001,,5156.0,4135.0,4135.0,0.258,0.441,511,627,567,-256,5413,,2023-04-01,2023-01-01
2023-01-01,ACB,4,2022,6454.0,0.346,0.07,,,-4064.0,7926.0,0.327,0.118,,3611.0,2871.0,2871.0,0.182,-0.2,404,927,141,-251,3862,,2023-01-01,2022-10-01
2022-10-01,ACB,3,2022,6032.0,0.334,0.076,,,-2526.0,7091.0,0.246,0.024,,4475.0,3587.0,3587.0,0.706,-0.09,68,867,124,-90,4565,,2022-10-01,2022-07-01
