index,ticker,quarter,year,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda,date,start_date
2025-01-01,GAS,4,2024,24945.0,0.105,-0.012,-20901.0,4044.0,-1767.0,2278.0,-0.229,-0.205,-57.0,2558.0,2052.0,2044.0,-0.249,-0.189,,,,,,3008.0,2025-01-01,2024-10-01
2024-10-01,GAS,3,2024,25252.0,0.141,-0.16,-21069.0,4183.0,-1317.0,2866.0,0.068,-0.285,-69.0,3204.0,2578.0,2522.0,0.061,-0.241,,,,,,3687.0,2024-10-01,2024-07-01
2024-07-01,GAS,2,2024,30052.0,0.25,0.289,-24316.0,5736.0,-1726.0,4010.0,0.149,0.389,-84.0,4239.0,3416.0,3321.0,0.052,0.322,,,,,,4618.0,2024-07-01,2024-04-01
2024-04-01,GAS,1,2024,23315.0,0.099,0.033,-19624.0,3691.0,-803.0,2888.0,-0.236,-0.022,-108.0,3171.0,2544.0,2512.0,-0.25,-0.078,,,,,,3591.0,2024-04-01,2024-01-01
2024-01-01,GAS,4,2023,22571.0,0.024,0.02,-18512.0,4058.0,-1106.0,2953.0,-0.23,0.1,-110.0,3365.0,2776.0,2723.0,-0.162,0.145,,,,,,3723.0,2024-01-01,2023-10-01
2023-10-01,GAS,3,2023,22126.0,-0.091,-0.08,-18445.0,3682.0,-998.0,2684.0,-0.251,-0.231,-106.0,3009.0,2404.0,2377.0,-0.215,-0.247,,,,,,3438.0,2023-10-01,2023-07-01
2023-07-01,GAS,2,2023,24043.0,-0.131,0.133,-19700.0,4343.0,-853.0,3490.0,-0.437,-0.077,-62.0,3999.0,3196.0,3156.0,-0.38,-0.058,,,,,,4225.0,2023-07-01,2023-04-01
2023-04-01,GAS,1,2023,21214.0,-0.205,-0.038,-16372.0,4842.0,-1063.0,3779.0,-0.097,-0.015,-62.0,4267.0,3417.0,3350.0,-0.023,0.031,,,,,,4570.0,2023-04-01,2023-01-01
2023-01-01,GAS,4,2022,22052.0,0.093,-0.094,-17183.0,4869.0,-1032.0,3836.0,0.626,0.071,-96.0,4169.0,3337.0,3250.0,0.655,0.073,,,,,,4641.0,2023-01-01,2022-10-01
2022-10-01,GAS,3,2022,24329.0,0.312,-0.12,-19932.0,4397.0,-814.0,3583.0,0.289,-0.422,-68.0,3851.0,3089.0,3029.0,0.253,-0.404,,,,,,4358.0,2022-10-01,2022-07-01
2022-07-01,GAS,2,2022,27653.0,0.218,0.036,-20741.0,6912.0,-716.0,6196.0,1.171,0.481,-91.0,6401.0,5141.0,5086.0,1.249,0.484,,,,,,6959.0,2022-07-01,2022-04-01
