index,ticker,quarter,year,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda,date,start_date
2025-01-01,SHS,4,2024,551.0,,0.996,-203.0,349.0,-46.0,303.0,0.342,2.386,-24.0,282.0,232.0,232.0,0.302,2.37,,,,,,305.0,2025-01-01,2024-10-01
2024-10-01,SHS,3,2024,276.0,-0.429,-0.498,-163.0,113.0,-23.0,89.0,-0.648,-0.799,-15.0,74.0,69.0,69.0,-0.653,-0.805,,,,,,91.0,2024-10-01,2024-07-01
2024-07-01,SHS,2,2024,550.0,0.785,-0.025,-79.0,471.0,-27.0,445.0,1.387,-0.022,-13.0,435.0,354.0,354.0,1.511,-0.006,,,,,,447.0,2024-07-01,2024-04-01
2024-04-01,SHS,1,2024,565.0,-0.166,,-74.0,490.0,-36.0,455.0,5.335,1.015,-11.0,444.0,356.0,356.0,7.706,0.996,,,,,,457.0,2024-04-01,2024-01-01
2024-01-01,SHS,4,2023,-9.0,,,275.0,266.0,-41.0,226.0,0.089,-0.113,-14.0,213.0,179.0,179.0,0.255,-0.102,,,,,,228.0,2024-01-01,2023-10-01
2023-10-01,SHS,3,2023,484.0,0.624,0.568,-207.0,276.0,-22.0,254.0,0.889,0.367,-9.0,247.0,199.0,199.0,1.253,0.41,,,,,,256.0,2023-10-01,2023-07-01
2023-07-01,SHS,2,2023,308.0,,-0.545,-101.0,207.0,-21.0,186.0,,1.595,-14.0,173.0,141.0,141.0,,2.446,,,,,,188.0,2023-07-01,2023-04-01
2023-04-01,SHS,1,2023,677.0,-0.013,0.109,-573.0,104.0,-32.0,72.0,-0.844,-0.654,-22.0,51.0,41.0,41.0,-0.876,-0.712,,,,,,74.0,2023-04-01,2023-01-01
2023-01-01,SHS,4,2022,610.0,-0.466,1.05,-376.0,235.0,-28.0,207.0,-0.731,0.538,-32.0,177.0,142.0,142.0,-0.75,0.611,,,,,,209.0,2023-01-01,2022-10-01
2022-10-01,SHS,3,2022,298.0,-0.473,,-141.0,157.0,-22.0,135.0,-0.608,,-29.0,107.0,88.0,88.0,-0.642,,,,,,,136.0,2022-10-01,2022-07-01
2022-07-01,SHS,2,2022,-51.0,,,-362.0,-413.0,-32.0,-445.0,,,-54.0,-497.0,-398.0,-398.0,,,,,,,,-444.0,2022-07-01,2022-04-01
2022-04-01,SHS,1,2022,686.0,0.157,-0.4,-210.0,475.0,-16.0,459.0,0.244,-0.404,-49.0,411.0,329.0,329.0,0.216,-0.421,,,,,,460.0,2022-04-01,2022-01-01
2022-01-01,SHS,4,2021,1143.0,0.671,1.023,-261.0,882.0,-112.0,770.0,0.587,1.239,-47.0,725.0,569.0,569.0,0.632,1.309,,,,,,771.0,2022-01-01,2021-10-01
2021-10-01,SHS,3,2021,565.0,0.691,-0.05,-212.0,353.0,-9.0,344.0,0.53,-0.172,-38.0,306.0,246.0,246.0,0.764,-0.205,,,,,,344.0,2021-10-01,2021-07-01
2021-07-01,SHS,2,2021,595.0,0.544,0.004,-149.0,446.0,-31.0,415.0,0.36,0.126,-32.0,384.0,310.0,310.0,0.412,0.145,,,,,,416.0,2021-07-01,2021-04-01
2021-04-01,SHS,1,2021,593.0,0.475,-0.133,-211.0,382.0,-13.0,369.0,2.137,-0.239,-32.0,338.0,271.0,271.0,4.816,-0.223,,,,,,369.0,2021-04-01,2021-01-01
2021-01-01,SHS,4,2020,684.0,2.021,1.047,-161.0,523.0,-38.0,485.0,3.937,1.159,-54.0,433.0,349.0,349.0,8.76,1.496,,,,,,485.0,2021-01-01,2020-10-01
2020-10-01,SHS,3,2020,334.0,0.065,-0.133,-97.0,237.0,-12.0,225.0,0.243,-0.264,-49.0,174.0,140.0,140.0,0.339,-0.364,,,,,,225.0,2020-10-01,2020-07-01
2020-07-01,SHS,2,2020,385.0,0.463,-0.041,-69.0,316.0,-11.0,305.0,1.119,1.597,-42.0,264.0,219.0,219.0,3.01,3.713,,,,,,306.0,2020-07-01,2020-04-01
2020-04-01,SHS,1,2020,402.0,0.522,0.775,-263.0,139.0,-21.0,118.0,-0.003,0.197,-50.0,68.0,47.0,47.0,-0.222,0.304,,,,,,118.0,2020-04-01,2020-01-01
