index,ticker,quarter,year,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda,date,start_date
2025-01-01,SSI,4,2024,2221.0,0.085,0.095,-1205.0,1016.0,-93.0,923.0,-0.083,-0.307,-406.0,555.0,438.0,428.0,-0.17,-0.462,,,,,,946.0,2025-01-01,2024-10-01
2024-10-01,SSI,3,2024,2028.0,0.045,-0.121,-636.0,1392.0,-61.0,1331.0,0.102,-0.044,-366.0,987.0,794.0,795.0,0.117,-0.064,,,,,,1360.0,2024-10-01,2024-07-01
2024-07-01,SSI,2,2024,2307.0,0.373,0.169,-851.0,1457.0,-65.0,1392.0,0.234,0.076,-351.0,1059.0,848.0,849.0,0.507,0.11,,,,,,1420.0,2024-07-01,2024-04-01
2024-04-01,SSI,1,2024,1973.0,0.325,-0.036,-596.0,1377.0,-83.0,1293.0,0.268,0.285,-383.0,943.0,764.0,764.0,0.519,0.483,,,,,,1321.0,2024-04-01,2024-01-01
2024-01-01,SSI,4,2023,2047.0,0.515,0.055,-926.0,1121.0,-114.0,1006.0,0.611,-0.167,-393.0,644.0,514.0,516.0,1.201,-0.275,,,,,,1036.0,2024-01-01,2023-10-01
2023-10-01,SSI,3,2023,1941.0,0.44,0.156,-653.0,1289.0,-81.0,1208.0,0.675,0.071,-357.0,880.0,710.0,711.0,1.114,0.263,,,,,,1231.0,2023-10-01,2023-07-01
2023-07-01,SSI,2,2023,1680.0,0.031,0.128,-463.0,1217.0,-90.0,1128.0,0.304,0.106,-428.0,707.0,567.0,563.0,0.641,0.119,,,,,,1153.0,2023-07-01,2023-04-01
2023-04-01,SSI,1,2023,1489.0,-0.258,0.102,-393.0,1097.0,-77.0,1020.0,-0.093,0.632,-392.0,618.0,503.0,503.0,-0.288,1.148,,,,,,1047.0,2023-04-01,2023-01-01
2023-01-01,SSI,4,2022,1351.0,-0.442,0.002,-641.0,710.0,-86.0,625.0,-0.51,-0.133,-251.0,289.0,234.0,234.0,-0.765,-0.304,,,,,,649.0,2023-01-01,2022-10-01
2022-10-01,SSI,3,2022,1348.0,-0.229,-0.173,-553.0,795.0,-75.0,721.0,-0.304,-0.166,-237.0,415.0,336.0,336.0,-0.507,-0.019,,,,,,743.0,2022-10-01,2022-07-01
2022-07-01,SSI,2,2022,1629.0,-0.078,-0.189,-695.0,934.0,-69.0,865.0,-0.093,-0.231,-279.0,523.0,421.0,343.0,-0.42,-0.514,,,,,,887.0,2022-07-01,2022-04-01
2022-04-01,SSI,1,2022,2008.0,0.333,-0.172,-816.0,1191.0,-67.0,1124.0,0.479,-0.118,-264.0,883.0,706.0,707.0,0.666,-0.292,,,,,,1145.0,2022-04-01,2022-01-01
2022-01-01,SSI,4,2021,2423.0,1.063,0.386,-1070.0,1353.0,-79.0,1275.0,0.95,0.231,-289.0,1253.0,998.0,998.0,1.619,0.46,,,,,,1293.0,2022-01-01,2021-10-01
2021-10-01,SSI,3,2021,1748.0,0.901,-0.01,-643.0,1105.0,-69.0,1035.0,0.892,0.086,-289.0,848.0,683.0,683.0,0.985,0.155,,,,,,1052.0,2021-10-01,2021-07-01
2021-07-01,SSI,2,2021,1766.0,0.331,0.173,-746.0,1021.0,-67.0,954.0,0.12,0.254,-230.0,733.0,591.0,591.0,0.131,0.394,,,,,,968.0,2021-07-01,2021-04-01
2021-04-01,SSI,1,2021,1506.0,0.593,0.282,-696.0,810.0,-50.0,760.0,2.331,0.163,-222.0,530.0,424.0,424.0,43.111,0.114,,,,,,775.0,2021-04-01,2021-01-01
2021-01-01,SSI,4,2020,1175.0,0.3,0.278,-472.0,703.0,-49.0,654.0,0.392,0.195,-216.0,477.0,381.0,381.0,0.723,0.107,,,,,,667.0,2021-01-01,2020-10-01
2020-10-01,SSI,3,2020,920.0,0.081,-0.307,-321.0,598.0,-51.0,547.0,0.03,-0.358,-184.0,421.0,344.0,344.0,0.277,-0.342,,,,,,561.0,2020-10-01,2020-07-01
2020-07-01,SSI,2,2020,1327.0,0.721,0.405,-434.0,893.0,-42.0,852.0,0.828,2.732,-207.0,652.0,522.0,523.0,1.743,53.383,,,,,,865.0,2020-07-01,2020-04-01
2020-04-01,SSI,1,2020,945.0,0.332,0.046,-675.0,270.0,-42.0,228.0,-0.435,-0.514,-223.0,8.0,9.0,10.0,-0.952,-0.956,,,,,,241.0,2020-04-01,2020-01-01
2020-01-01,SSI,4,2019,904.0,0.029,0.062,-388.0,515.0,-46.0,470.0,0.362,-0.116,-222.0,263.0,220.0,221.0,0.06,-0.18,,,,,,482.0,2020-01-01,2019-10-01
2019-10-01,SSI,3,2019,851.0,-0.027,0.103,-275.0,576.0,-45.0,531.0,-0.105,0.14,-213.0,332.0,269.0,269.0,-0.288,0.413,,,,,,542.0,2019-10-01,2019-07-01
