symbol,Total Value
ABC,3177790000.0
APS,3081110000.0
AFX,504250000.0
ASP,628733000.0
ACC,2498445000.0
ACE,380970000.0
AMV,711230000.0
ACL,726220000.0
APG,1644025000.0
BMC,559365000.0
BCC,1304210000.0
BLI,1066380000.0
CDN,606080000.0
C92,363750000.0
CAV,1387350000.0
CLM,290800000.0
CSC,681850000.0
CSM,518665000.0
CMT,1206310000.0
CLC,440760000.0
CNG,3005560000.0
DBD,2118735000.0
DAH,1557088000.0
DC4,2443490000.0
D2D,1592985000.0
DHG,455460000.0
DNW,710640000.0
DSN,1302300000.0
DIH,287660000.0
DL1,2629770000.0
DRH,1140922000.0
DLG,964119000.0
DRL,539670000.0
FMC,1149670000.0
FIT,1488007000.0
EVE,622120000.0
FCS,296970000.0
DTK,311560000.0
DVP,1715100000.0
HBC,2912445000.0
GDT,2322115000.0
GSP,1600695000.0
HAR,466909000.0
HLD,431810000.0
HHG,591160000.0
HBS,1076650000.0
HD2,491900000.0
HND,1188480000.0
HTL,748765000.0
HVT,703210000.0
HOM,309250000.0
HPP,1130650000.0
HRT,3077210000.0
HTI,435545000.0
IVS,714120000.0
IFS,472680000.0
IDV,1821020000.0
IST,445400000.0
ICG,410940000.0
IMP,2671630000.0
JVC,882441000.0
IPA,1825500000.0
LHC,601580000.0
KSQ,388070000.0
KTS,360630000.0
LIG,2510360000.0
LDG,2298660000.0
L14,2483830000.0
KSV,491930000.0
L18,2506840000.0
KVC,672790000.0
MPC,1918360000.0
MGC,497860000.0
MAC,2109360000.0
MCG,305530000.0
MBG,790170000.0
LIX,959025000.0
NBC,372180000.0
NBB,1062560000.0
MST,2300350000.0
NAG,3183250000.0
NCT,2088120000.0
ONE,812950000.0
NVT,298460000.0
OGC,632945000.0
PAC,1636680000.0
NTC,860810000.0
PLC,2797290000.0
PFL,347080000.0
PGI,316770000.0
POS,720720000.0
PIV,754700000.0
PVG,516440000.0
PVM,335710000.0
PVO,489010000.0
PTS,379060000.0
PSB,1137110000.0
PSD,361410000.0
PSI,346720000.0
PV2,317080000.0
PSW,331190000.0
PVB,2453010000.0
SAS,1468560000.0
S99,1428730000.0
SAC,553580000.0
SAM,2483542000.0
RDP,822031000.0
SBS,1671210000.0
SD9,345660000.0
SEB,333980000.0
SBD,1312650000.0
SGT,1442650000.0
SJD,2910130000.0
SJE,885720000.0
SHI,3153345000.0
SLS,1733460000.0
SJS,849030000.0
SGN,1590070000.0
SRA,431120000.0
STK,1843790000.0
SRT,1370880000.0
SWC,624440000.0
TA9,508180000.0
TLG,1180430000.0
TDM,622910000.0
TDS,1871650000.0
TMB,3149720000.0
TEG,2131350000.0
TMS,293120000.0
TCL,1097485000.0
TIS,957450000.0
TVB,2943623000.0
TVD,520530000.0
TRC,1049940000.0
TTF,3260176000.0
TNC,638365000.0
TXM,2131570000.0
TTH,982050000.0
TW3,1187280000.0
TNT,421199000.0
TSB,441000000.0
TSC,310062000.0
TV1,418860000.0
TV3,471810000.0
TV4,312400000.0
VC7,2164330000.0
VIT,538900000.0
VLG,1532370000.0
VHG,891950000.0
VHL,425860000.0
VFR,382500000.0
VIG,1033510000.0
VEF,440870000.0
VGG,1317380000.0
VNA,3336540000.0
VRG,748860000.0
VNB,783480000.0
VPD,297340000.0
VNG,995538000.0
VNF,534370000.0
VNL,342095000.0
VNP,439590000.0
VNR,1149160000.0
VSA,834380000.0
VSH,550000000.0
VSN,339220000.0
FUEVN100,1653608000.0
WCS,413970000.0
WSB,345940000.0
XMC,507290000.0
