symbol,Total Value
BTS,5851000000.0
APS,15535240000.0
CSC,2826350000.0
ACB,266534420000.0
BCC,11840120000.0
CMS,22045960000.0
AMV,2264080000.0
CEO,89374370000.0
CAP,2052580000.0
API,22927240000.0
BVS,57346370000.0
CTS,99947325000.0
DBC,268987600000.0
DHT,3256560000.0
DC4,3793120000.0
DBT,1348675000.0
DGC,357281930000.0
DL1,3718580000.0
DCS,3730260000.0
CVN,1351450000.0
DXP,15807240000.0
CTP,4041860000.0
IVS,2208110000.0
GLT,1206300000.0
IDJ,36328290000.0
HBS,2800170000.0
IDV,1550930000.0
HKB,1098020000.0
HUT,92997270000.0
HOM,1769850000.0
LHC,2549300000.0
MBG,17918970000.0
MBS,186087060000.0
KSQ,1167140000.0
LIG,4010780000.0
L14,5560120000.0
L18,2074270000.0
MCO,1132110000.0
LAS,30462740000.0
PLC,16855990000.0
NHA,54618075000.0
NTP,58182340000.0
NBC,3354596000.0
ORS,86949240000.0
NDN,2405460000.0
PHP,4790920000.0
MST,3935280000.0
NAG,3145960000.0
NVB,1314020000.0
PIV,4677380000.0
PVG,1542780000.0
PVI,2377500000.0
PVS,309662660000.0
PVX,10949020000.0
PSD,1276080000.0
PSI,4202060000.0
S99,3789360000.0
RCL,1167510000.0
PVC,40707400000.0
PVB,14490230000.0
SCL,1326190000.0
SRA,2591860000.0
SHB,313779435000.0
SJE,1494570000.0
SLS,1542460000.0
SHS,367950370000.0
TDN,2878970000.0
TC6,4715500000.0
TA9,1077270000.0
TVC,9343470000.0
TVD,1418640000.0
VCS,59004940000.0
TXM,3660150000.0
TTH,1497220000.0
TNG,114137340000.0
UNI,1707740000.0
VDS,54740940000.0
VC3,14842710000.0
VC7,6213110000.0
TV2,40538900000.0
TIG,85359370000.0
VCG,170630660000.0
VGS,39103790000.0
VIX,600658085000.0
VND,298023160000.0
VGC,40745310000.0
VIG,10036160000.0
