symbol,Total Value
ANV,14859805000.0
ADS,1029160000.0
BSI,6608300000.0
ASM,3398890000.0
BID,18036380000.0
AAA,16941795000.0
CII,10860480000.0
BMP,1118010000.0
BCG,5402471000.0
AGR,6390750000.0
CCL,1362560000.0
BVH,2764590000.0
BFC,3851510000.0
DPM,20035080000.0
DPR,3739340000.0
CMG,14135360000.0
DIG,33844385000.0
CSV,11482640000.0
DCL,15594850000.0
DCM,21382690000.0
CTD,15253420000.0
DXG,9681810000.0
CTF,1754430000.0
DRC,2093115000.0
DGW,8025240000.0
CTG,16964725000.0
CTI,2677355000.0
CNG,3374725000.0
HNG,2000006000.0
FTS,16950000000.0
HDC,7502450000.0
FRT,9480230000.0
HDG,69868365000.0
FPT,140359110000.0
HHS,4869725000.0
HQC,1599007000.0
HSG,48401725000.0
EIB,11097070000.0
GMD,13180870000.0
HT1,10806645000.0
GSP,1206910000.0
GIL,4281235000.0
HAH,70260280000.0
HAG,19961425000.0
FCN,1294995000.0
FIT,2338664000.0
HCM,150415045000.0
GAS,16177320000.0
ELC,6601440000.0
HPG,93669670000.0
IJC,4127220000.0
KDC,9579790000.0
MBB,109045515000.0
KBC,14038530000.0
KDH,12104035000.0
IDI,1918685000.0
KSB,16472440000.0
MWG,49162060000.0
MSN,40898020000.0
LSS,1054195000.0
LCG,8546745000.0
NVL,13911145000.0
NTL,4919280000.0
NLG,7019710000.0
PNJ,9097860000.0
PVT,25246230000.0
PHR,1113960000.0
PC1,14906740000.0
PDR,12056455000.0
RDP,10184362000.0
NKG,19624910000.0
NT2,3388275000.0
POM,1423160000.0
NAF,1068805000.0
PAC,2148990000.0
PAN,1929320000.0
PET,5891170000.0
NCT,1401000000.0
PVD,12432580000.0
STB,31948605000.0
SHI,3011505000.0
SBT,5108590000.0
SSI,262413225000.0
SKG,1204775000.0
REE,9255630000.0
SAB,60954200000.0
TCH,13897330000.0
SZC,5106430000.0
TCM,4756680000.0
VJC,29262480000.0
TVS,4551705000.0
VHC,12491360000.0
TLH,1306775000.0
VIC,6678510000.0
VCB,13197080000.0
TIP,1004305000.0
VIP,3988185000.0
VSC,52908830000.0
VTO,3124235000.0
VNM,21548550000.0
VOS,13277925000.0
