open,high,low,close,volume,tradingDate
1390.0,1900.0,1390.0,1820.0,17900,2025-01-22
1850.0,2120.0,1850.0,2090.0,799600,2025-01-23
2050.0,2050.0,2000.0,2030.0,124100,2025-01-24
1710.0,1710.0,1540.0,1570.0,29200,2025-02-03
1590.0,1620.0,1540.0,1620.0,225700,2025-02-04
1600.0,1620.0,1530.0,1530.0,239000,2025-02-05
1560.0,1560.0,1440.0,1450.0,159600,2025-02-06
1470.0,1480.0,1430.0,1450.0,838800,2025-02-07
1370.0,1390.0,1270.0,1270.0,61200,2025-02-10
1270.0,1370.0,1180.0,1370.0,187200,2025-02-11
1400.0,1400.0,1350.0,1370.0,28700,2025-02-12
1360.0,1360.0,1270.0,1280.0,190200,2025-02-13
1330.0,1360.0,1320.0,1360.0,48800,2025-02-14
