open,high,low,close,volume,tradingDate
680.0,680.0,680.0,680.0,15400,2023-10-30
600.0,610.0,590.0,600.0,92500,2023-10-31
600.0,660.0,590.0,660.0,135000,2023-11-01
690.0,760.0,690.0,740.0,22200,2023-11-02
790.0,810.0,740.0,810.0,38100,2023-11-03
790.0,840.0,790.0,840.0,59800,2023-11-06
810.0,830.0,800.0,800.0,8900,2023-11-07
810.0,860.0,810.0,860.0,406700,2023-11-08
910.0,930.0,900.0,900.0,204300,2023-11-09
870.0,900.0,850.0,860.0,80400,2023-11-10
870.0,940.0,870.0,910.0,273500,2023-11-13
960.0,960.0,900.0,900.0,251100,2023-11-14
970.0,970.0,950.0,950.0,101900,2023-11-15
880.0,880.0,880.0,880.0,24500,2023-11-16
890.0,930.0,830.0,860.0,1084400,2023-11-17
830.0,840.0,830.0,840.0,24800,2023-11-20
900.0,910.0,900.0,910.0,550600,2023-11-21
890.0,900.0,890.0,890.0,2900,2023-11-22
910.0,910.0,860.0,860.0,404400,2023-11-23
760.0,760.0,730.0,760.0,189800,2023-11-24
790.0,790.0,780.0,780.0,1400,2023-11-27
880.0,880.0,780.0,800.0,5400,2023-11-28
840.0,840.0,840.0,840.0,1200,2023-11-29
840.0,840.0,820.0,820.0,300,2023-11-30
850.0,860.0,820.0,860.0,421800,2023-12-01
870.0,920.0,870.0,920.0,1600,2023-12-04
880.0,880.0,860.0,860.0,11800,2023-12-05
870.0,870.0,850.0,850.0,206700,2023-12-06
890.0,900.0,830.0,890.0,527600,2023-12-07
920.0,950.0,870.0,870.0,597200,2023-12-08
880.0,880.0,860.0,860.0,178000,2023-12-11
880.0,930.0,880.0,910.0,651100,2023-12-12
930.0,930.0,830.0,830.0,170500,2023-12-13
860.0,860.0,830.0,830.0,6300,2023-12-14
810.0,810.0,780.0,800.0,57200,2023-12-15
790.0,790.0,760.0,760.0,30700,2023-12-18
760.0,810.0,760.0,810.0,105100,2023-12-19
820.0,820.0,810.0,820.0,3200,2023-12-20
800.0,820.0,790.0,820.0,9200,2023-12-21
820.0,820.0,770.0,770.0,14300,2023-12-22
790.0,810.0,770.0,770.0,62700,2023-12-25
810.0,830.0,810.0,830.0,57600,2023-12-26
850.0,850.0,820.0,840.0,26500,2023-12-27
840.0,880.0,810.0,880.0,401200,2023-12-28
890.0,950.0,840.0,950.0,11500,2023-12-29
880.0,880.0,780.0,810.0,1563600,2024-01-02
800.0,820.0,790.0,820.0,411800,2024-01-03
840.0,880.0,810.0,840.0,1314200,2024-01-04
850.0,850.0,780.0,840.0,314000,2024-01-05
850.0,880.0,850.0,850.0,402900,2024-01-08
850.0,850.0,800.0,800.0,321500,2024-01-09
800.0,800.0,750.0,760.0,368400,2024-01-10
770.0,780.0,760.0,780.0,108600,2024-01-11
730.0,740.0,720.0,740.0,121500,2024-01-12
740.0,740.0,730.0,730.0,5500,2024-01-15
710.0,770.0,710.0,770.0,71800,2024-01-16
780.0,790.0,760.0,770.0,256000,2024-01-17
780.0,780.0,770.0,770.0,800,2024-01-18
780.0,780.0,760.0,760.0,89000,2024-01-19
