open,high,low,close,volume,tradingDate
1420.0,1420.0,1300.0,1310.0,20300,2025-01-15
1360.0,1360.0,1310.0,1310.0,10700,2025-01-16
1320.0,1320.0,1320.0,1320.0,100,2025-01-17
1400.0,1400.0,1370.0,1370.0,20400,2025-01-20
1430.0,1430.0,1390.0,1390.0,20400,2025-01-21
1370.0,1370.0,1340.0,1370.0,709800,2025-01-22
1360.0,1540.0,1360.0,1500.0,10000,2025-01-23
1540.0,1540.0,1420.0,1440.0,707500,2025-01-24
1360.0,1380.0,1320.0,1350.0,35000,2025-02-03
1340.0,1370.0,1300.0,1370.0,5700,2025-02-04
1370.0,1540.0,1330.0,1400.0,82900,2025-02-05
1490.0,1490.0,1390.0,1470.0,40000,2025-02-06
1370.0,1470.0,1370.0,1460.0,84900,2025-02-07
1550.0,1550.0,1400.0,1400.0,2700,2025-02-10
1490.0,1490.0,1450.0,1480.0,4600,2025-02-11
1480.0,1480.0,1450.0,1450.0,200,2025-02-12
1400.0,1450.0,1400.0,1450.0,3800,2025-02-13
1480.0,1480.0,1390.0,1400.0,5500,2025-02-14
