open,high,low,close,volume,tradingDate
1000.0,1000.0,1000.0,1000.0,11600,2024-02-05
1180.0,1180.0,1180.0,1180.0,1100,2024-02-06
1220.0,1800.0,1220.0,1800.0,200,2024-02-07
2420.0,2420.0,1250.0,1500.0,46400,2024-02-15
1320.0,1320.0,1250.0,1270.0,163000,2024-02-16
1250.0,1250.0,1180.0,1190.0,38700,2024-02-19
1200.0,1230.0,1170.0,1230.0,286600,2024-02-20
1160.0,1350.0,1150.0,1350.0,261100,2024-02-21
1350.0,1400.0,1200.0,1340.0,139000,2024-02-22
1260.0,1320.0,1090.0,1270.0,540400,2024-02-23
1110.0,1200.0,1050.0,1200.0,406700,2024-02-26
1090.0,1120.0,1000.0,1120.0,612800,2024-02-27
1200.0,1280.0,1070.0,1280.0,307200,2024-02-28
1280.0,1290.0,1200.0,1260.0,390400,2024-02-29
1260.0,1260.0,1110.0,1210.0,505400,2024-03-01
1280.0,1280.0,1130.0,1180.0,280700,2024-03-04
1180.0,1180.0,1020.0,1100.0,1186300,2024-03-05
1100.0,1140.0,1020.0,1070.0,583700,2024-03-06
1120.0,1130.0,1030.0,1110.0,482800,2024-03-07
1110.0,1110.0,1000.0,1080.0,363900,2024-03-08
1080.0,1080.0,1010.0,1020.0,67500,2024-03-11
1020.0,1070.0,1020.0,1050.0,101600,2024-03-12
1030.0,1080.0,1010.0,1080.0,128400,2024-03-13
1040.0,1040.0,990.0,1000.0,189900,2024-03-14
1000.0,1000.0,970.0,1000.0,75900,2024-03-15
1040.0,1040.0,900.0,980.0,95000,2024-03-18
960.0,1020.0,920.0,1000.0,55500,2024-03-19
890.0,1030.0,890.0,1030.0,141000,2024-03-20
1030.0,1070.0,1010.0,1040.0,147100,2024-03-21
1070.0,1090.0,1050.0,1070.0,326500,2024-03-22
1080.0,1100.0,1050.0,1080.0,108500,2024-03-25
1100.0,1100.0,1080.0,1090.0,128100,2024-03-26
1100.0,1100.0,1050.0,1090.0,25000,2024-03-27
1100.0,1110.0,440.0,1050.0,130800,2024-03-28
1100.0,1100.0,1040.0,1060.0,29700,2024-03-29
1060.0,1060.0,970.0,1040.0,189700,2024-04-01
1030.0,1050.0,960.0,1050.0,90900,2024-04-02
1010.0,1050.0,1000.0,1020.0,60400,2024-04-03
950.0,1030.0,910.0,960.0,101600,2024-04-04
950.0,950.0,650.0,890.0,165900,2024-04-05
1010.0,1010.0,930.0,930.0,4100,2024-04-08
930.0,1000.0,890.0,1000.0,30800,2024-04-09
980.0,1030.0,950.0,950.0,12200,2024-04-10
850.0,950.0,850.0,950.0,11300,2024-04-11
950.0,960.0,870.0,950.0,78000,2024-04-12
940.0,940.0,330.0,930.0,9000,2024-04-15
800.0,900.0,790.0,790.0,19500,2024-04-16
790.0,790.0,750.0,760.0,36000,2024-04-17
750.0,750.0,720.0,720.0,13000,2024-04-19
900.0,900.0,720.0,850.0,8700,2024-04-22
870.0,870.0,460.0,790.0,2500,2024-04-23
850.0,850.0,600.0,700.0,80900,2024-04-24
740.0,740.0,700.0,700.0,2700,2024-04-25
700.0,700.0,570.0,640.0,43200,2024-04-26
650.0,650.0,160.0,620.0,42700,2024-05-02
600.0,620.0,420.0,420.0,92200,2024-05-03
420.0,490.0,420.0,460.0,66300,2024-05-06
490.0,490.0,400.0,400.0,186000,2024-05-07
370.0,430.0,360.0,430.0,210900,2024-05-08
450.0,500.0,390.0,490.0,230800,2024-05-09
490.0,500.0,490.0,500.0,84300,2024-05-10
500.0,500.0,420.0,480.0,58000,2024-05-13
510.0,510.0,440.0,450.0,87600,2024-05-14
410.0,460.0,400.0,450.0,113000,2024-05-15
450.0,480.0,450.0,480.0,54100,2024-05-16
490.0,490.0,440.0,480.0,57700,2024-05-17
490.0,500.0,450.0,450.0,82500,2024-05-20
450.0,450.0,400.0,410.0,56400,2024-05-21
460.0,460.0,380.0,400.0,21700,2024-05-22
400.0,400.0,380.0,400.0,42000,2024-05-23
390.0,390.0,230.0,230.0,178400,2024-05-24
230.0,230.0,130.0,150.0,409200,2024-05-27
200.0,200.0,120.0,150.0,157100,2024-05-28
140.0,150.0,120.0,130.0,350000,2024-05-29
130.0,130.0,100.0,120.0,269200,2024-05-30
110.0,130.0,100.0,120.0,484000,2024-05-31
110.0,150.0,100.0,150.0,495900,2024-06-03
110.0,140.0,100.0,130.0,129800,2024-06-04
130.0,130.0,90.0,90.0,249000,2024-06-05
90.0,140.0,90.0,120.0,424200,2024-06-06
140.0,140.0,110.0,110.0,448700,2024-06-07
130.0,160.0,120.0,160.0,463600,2024-06-10
160.0,160.0,110.0,110.0,75100,2024-06-11
100.0,110.0,70.0,100.0,405000,2024-06-12
120.0,220.0,120.0,220.0,1025700,2024-06-13
220.0,220.0,100.0,100.0,374700,2024-06-14
