open,high,low,close,volume,tradingDate
1020.0,1020.0,1020.0,1020.0,800,2023-11-03
1070.0,1070.0,1070.0,1070.0,100,2023-11-06
1030.0,1030.0,1030.0,1030.0,100,2023-11-07
960.0,1050.0,960.0,1050.0,200,2023-11-08
1130.0,1180.0,1130.0,1180.0,700,2023-11-09
1200.0,1200.0,1160.0,1160.0,200,2023-11-10
1100.0,1100.0,1100.0,1100.0,100,2023-11-13
1050.0,1050.0,1050.0,1050.0,100,2023-11-14
1110.0,1110.0,1110.0,1110.0,3200,2023-11-15
1040.0,1040.0,1040.0,1040.0,100,2023-11-16
940.0,940.0,900.0,900.0,200,2023-11-17
910.0,910.0,910.0,910.0,100,2023-11-20
940.0,940.0,920.0,920.0,1600,2023-11-21
880.0,880.0,840.0,840.0,1600,2023-11-24
920.0,920.0,920.0,920.0,100,2023-11-27
970.0,970.0,970.0,970.0,100,2023-11-28
1010.0,1010.0,1010.0,1010.0,100,2023-11-29
990.0,990.0,990.0,990.0,100,2023-11-30
980.0,1000.0,980.0,1000.0,200,2023-12-04
960.0,960.0,960.0,960.0,100,2023-12-05
930.0,930.0,930.0,930.0,100,2023-12-06
930.0,930.0,930.0,930.0,100,2023-12-07
910.0,910.0,910.0,910.0,100,2023-12-08
960.0,960.0,960.0,960.0,50100,2023-12-11
970.0,970.0,970.0,970.0,100,2023-12-12
980.0,980.0,980.0,980.0,100,2023-12-13
940.0,940.0,900.0,930.0,54100,2023-12-14
880.0,880.0,880.0,880.0,100,2023-12-15
890.0,890.0,890.0,890.0,100,2023-12-18
850.0,850.0,850.0,850.0,100,2023-12-21
840.0,840.0,840.0,840.0,400,2023-12-22
970.0,970.0,970.0,970.0,4400,2023-12-26
920.0,920.0,920.0,920.0,6000,2023-12-27
1000.0,1000.0,1000.0,1000.0,400,2023-12-28
1000.0,1040.0,990.0,1040.0,11500,2023-12-29
990.0,1020.0,970.0,1020.0,19500,2024-01-02
1010.0,1010.0,1010.0,1010.0,3700,2024-01-03
1050.0,1050.0,1040.0,1040.0,6000,2024-01-04
1030.0,1030.0,970.0,970.0,30000,2024-01-05
980.0,980.0,980.0,980.0,40000,2024-01-08
950.0,950.0,950.0,950.0,8000,2024-01-10
970.0,970.0,880.0,880.0,17000,2024-01-11
870.0,870.0,870.0,870.0,40000,2024-01-12
930.0,940.0,930.0,930.0,13100,2024-01-17
860.0,940.0,850.0,930.0,59000,2024-01-18
940.0,940.0,900.0,930.0,44000,2024-01-22
920.0,920.0,920.0,920.0,5000,2024-01-24
890.0,890.0,890.0,890.0,30000,2024-01-25
850.0,850.0,850.0,850.0,10000,2024-01-26
760.0,760.0,760.0,760.0,4000,2024-01-31
740.0,740.0,730.0,730.0,21000,2024-02-01
730.0,730.0,730.0,730.0,1000,2024-02-02
710.0,750.0,690.0,750.0,4500,2024-02-07
700.0,790.0,700.0,740.0,123500,2024-02-16
750.0,970.0,750.0,970.0,35000,2024-02-19
1030.0,1030.0,1010.0,1010.0,1500,2024-02-20
950.0,960.0,940.0,940.0,103400,2024-02-21
840.0,840.0,840.0,840.0,50000,2024-02-23
810.0,810.0,750.0,750.0,1000,2024-02-29
750.0,750.0,750.0,750.0,4900,2024-03-05
730.0,730.0,730.0,730.0,100,2024-03-06
720.0,720.0,700.0,710.0,661000,2024-03-07
710.0,710.0,680.0,680.0,225200,2024-03-08
670.0,680.0,670.0,680.0,461000,2024-03-11
650.0,650.0,590.0,640.0,108600,2024-03-12
590.0,660.0,590.0,660.0,99900,2024-03-13
660.0,700.0,630.0,650.0,338700,2024-03-14
640.0,640.0,620.0,630.0,149700,2024-03-15
640.0,640.0,540.0,580.0,357400,2024-03-18
610.0,620.0,610.0,620.0,200,2024-03-19
600.0,600.0,530.0,600.0,378200,2024-03-20
590.0,620.0,590.0,620.0,9800,2024-03-21
610.0,620.0,590.0,600.0,506700,2024-03-22
600.0,620.0,550.0,580.0,1620500,2024-03-25
530.0,570.0,530.0,570.0,196200,2024-03-26
520.0,560.0,520.0,560.0,913800,2024-03-27
570.0,610.0,560.0,560.0,371900,2024-03-28
580.0,580.0,560.0,560.0,105100,2024-03-29
530.0,570.0,520.0,550.0,1016500,2024-04-01
490.0,560.0,490.0,560.0,276700,2024-04-02
570.0,590.0,530.0,560.0,332600,2024-04-03
570.0,570.0,500.0,540.0,1172800,2024-04-04
480.0,540.0,480.0,530.0,130700,2024-04-05
490.0,520.0,470.0,510.0,850500,2024-04-08
480.0,530.0,480.0,520.0,611400,2024-04-09
590.0,600.0,560.0,560.0,908200,2024-04-10
530.0,580.0,530.0,550.0,771500,2024-04-11
580.0,600.0,550.0,590.0,1227100,2024-04-12
560.0,560.0,480.0,480.0,1121500,2024-04-15
490.0,490.0,380.0,450.0,1147300,2024-04-16
480.0,480.0,420.0,460.0,849500,2024-04-17
390.0,410.0,340.0,390.0,887600,2024-04-19
420.0,420.0,360.0,390.0,779300,2024-04-22
350.0,380.0,320.0,350.0,598700,2024-04-23
320.0,360.0,320.0,350.0,645100,2024-04-24
350.0,350.0,330.0,340.0,782800,2024-04-25
340.0,360.0,320.0,360.0,788800,2024-04-26
330.0,370.0,300.0,360.0,944300,2024-05-02
330.0,360.0,310.0,340.0,787900,2024-05-03
310.0,360.0,310.0,350.0,1010300,2024-05-06
310.0,350.0,310.0,350.0,887000,2024-05-07
330.0,330.0,310.0,330.0,831400,2024-05-08
350.0,370.0,310.0,310.0,1509900,2024-05-09
330.0,330.0,280.0,290.0,582800,2024-05-10
280.0,290.0,250.0,260.0,595900,2024-05-13
280.0,300.0,260.0,270.0,972200,2024-05-14
260.0,280.0,260.0,270.0,312700,2024-05-15
270.0,280.0,250.0,280.0,666500,2024-05-16
290.0,320.0,270.0,310.0,773500,2024-05-17
290.0,290.0,270.0,270.0,101200,2024-05-20
280.0,280.0,260.0,260.0,212600,2024-05-21
270.0,320.0,260.0,260.0,181800,2024-05-22
260.0,280.0,260.0,270.0,34900,2024-05-23
260.0,270.0,230.0,240.0,411500,2024-05-24
260.0,260.0,250.0,250.0,15100,2024-05-27
270.0,270.0,250.0,250.0,10800,2024-05-28
250.0,250.0,230.0,240.0,75500,2024-05-29
240.0,250.0,210.0,240.0,65400,2024-05-30
240.0,240.0,190.0,240.0,270800,2024-05-31
250.0,250.0,230.0,230.0,73400,2024-06-03
240.0,260.0,220.0,240.0,50000,2024-06-04
240.0,250.0,230.0,240.0,44900,2024-06-05
220.0,240.0,220.0,230.0,7600,2024-06-06
230.0,240.0,220.0,240.0,125100,2024-06-07
240.0,240.0,210.0,240.0,59700,2024-06-10
210.0,240.0,210.0,240.0,91300,2024-06-11
210.0,240.0,210.0,240.0,25000,2024-06-12
240.0,240.0,220.0,220.0,138200,2024-06-13
210.0,220.0,210.0,220.0,203100,2024-06-14
