open,high,low,close,volume,tradingDate
2450.0,2450.0,2450.0,2450.0,100,2023-11-08
2450.0,2450.0,2450.0,2450.0,600,2023-11-09
2350.0,2350.0,2350.0,2350.0,2300,2023-11-10
2250.0,2250.0,2250.0,2250.0,100,2023-11-13
2250.0,2250.0,2200.0,2210.0,56300,2023-11-14
2400.0,2450.0,2300.0,2300.0,1500,2023-11-15
2300.0,2300.0,2210.0,2210.0,52800,2023-11-16
2250.0,2250.0,2160.0,2200.0,4700,2023-11-17
2000.0,2100.0,2000.0,2060.0,238300,2023-11-20
2100.0,2150.0,2100.0,2150.0,6300,2023-11-21
2100.0,2100.0,2010.0,2050.0,10400,2023-11-22
2100.0,2100.0,2050.0,2060.0,311100,2023-11-23
2010.0,2010.0,1910.0,1910.0,127000,2023-11-24
1910.0,1910.0,1800.0,1800.0,18400,2023-11-27
1750.0,1800.0,1700.0,1760.0,25900,2023-11-28
1710.0,1800.0,1700.0,1800.0,231800,2023-11-29
1790.0,1850.0,1700.0,1700.0,135600,2023-11-30
1750.0,1850.0,1700.0,1790.0,43600,2023-12-01
1990.0,1990.0,1940.0,1950.0,214100,2023-12-04
1950.0,1950.0,1940.0,1940.0,21100,2023-12-05
1950.0,1990.0,1950.0,1980.0,36300,2023-12-06
2040.0,2050.0,1950.0,2050.0,21000,2023-12-07
2100.0,2100.0,2020.0,2090.0,4300,2023-12-08
2020.0,2020.0,2000.0,2000.0,91900,2023-12-11
2010.0,2040.0,1900.0,1900.0,251400,2023-12-12
1950.0,2000.0,1910.0,1950.0,61700,2023-12-13
2000.0,2000.0,1910.0,1940.0,54700,2023-12-14
1860.0,1930.0,1860.0,1930.0,126400,2023-12-15
1930.0,1930.0,1780.0,1780.0,518100,2023-12-18
1750.0,1750.0,1680.0,1680.0,206900,2023-12-19
1920.0,1920.0,1690.0,1740.0,20200,2023-12-20
1780.0,1790.0,1750.0,1780.0,143600,2023-12-21
1790.0,1830.0,1790.0,1830.0,274400,2023-12-22
1990.0,2050.0,1950.0,1990.0,239900,2023-12-25
1980.0,1990.0,1940.0,1940.0,130700,2023-12-26
1980.0,2000.0,1980.0,2000.0,5000,2023-12-27
2030.0,2150.0,2030.0,2130.0,120200,2023-12-28
2170.0,2230.0,2170.0,2170.0,62500,2023-12-29
2230.0,2280.0,2220.0,2280.0,32400,2024-01-02
2230.0,2340.0,2230.0,2340.0,29400,2024-01-03
2330.0,2650.0,2330.0,2560.0,141000,2024-01-04
