open,high,low,close,volume,tradingDate
710.0,710.0,710.0,710.0,10700,2023-10-30
530.0,550.0,510.0,510.0,103400,2023-10-31
480.0,500.0,460.0,470.0,303700,2023-11-01
500.0,550.0,460.0,550.0,1686100,2023-11-02
550.0,560.0,540.0,560.0,995200,2023-11-03
570.0,580.0,550.0,550.0,655900,2023-11-06
550.0,560.0,530.0,560.0,956800,2023-11-07
550.0,580.0,530.0,580.0,589200,2023-11-08
640.0,720.0,640.0,710.0,814800,2023-11-09
630.0,690.0,630.0,660.0,668900,2023-11-10
680.0,680.0,650.0,670.0,474200,2023-11-13
670.0,690.0,650.0,650.0,237400,2023-11-14
700.0,720.0,670.0,690.0,828900,2023-11-15
670.0,680.0,660.0,680.0,218800,2023-11-16
680.0,680.0,520.0,580.0,1090300,2023-11-17
490.0,540.0,490.0,530.0,1390200,2023-11-20
550.0,550.0,520.0,520.0,289100,2023-11-21
550.0,550.0,500.0,530.0,401100,2023-11-22
520.0,530.0,500.0,500.0,482900,2023-11-23
480.0,480.0,450.0,480.0,923600,2023-11-24
480.0,510.0,470.0,490.0,295700,2023-11-27
570.0,570.0,490.0,510.0,910200,2023-11-28
550.0,550.0,510.0,510.0,170600,2023-11-29
520.0,530.0,510.0,510.0,594200,2023-11-30
510.0,520.0,490.0,500.0,441800,2023-12-01
520.0,530.0,510.0,510.0,61600,2023-12-04
510.0,530.0,510.0,530.0,259900,2023-12-05
520.0,530.0,510.0,530.0,373000,2023-12-06
520.0,520.0,490.0,510.0,392800,2023-12-07
520.0,530.0,510.0,520.0,1087900,2023-12-08
550.0,590.0,540.0,580.0,1041500,2023-12-11
590.0,590.0,570.0,580.0,383700,2023-12-12
590.0,590.0,520.0,520.0,721200,2023-12-13
560.0,560.0,530.0,540.0,923900,2023-12-14
540.0,550.0,520.0,540.0,1255500,2023-12-15
550.0,550.0,510.0,510.0,141000,2023-12-18
510.0,510.0,480.0,510.0,993800,2023-12-19
510.0,520.0,510.0,510.0,68900,2023-12-20
510.0,510.0,490.0,510.0,66600,2023-12-21
510.0,510.0,490.0,490.0,141100,2023-12-22
510.0,530.0,500.0,510.0,371800,2023-12-25
510.0,520.0,510.0,520.0,49800,2023-12-26
530.0,540.0,510.0,530.0,1157500,2023-12-27
550.0,580.0,550.0,580.0,931900,2023-12-28
590.0,590.0,550.0,550.0,201600,2023-12-29
590.0,590.0,530.0,530.0,398300,2024-01-02
530.0,530.0,510.0,530.0,461300,2024-01-03
570.0,570.0,510.0,520.0,499200,2024-01-04
550.0,550.0,510.0,510.0,314000,2024-01-05
540.0,560.0,520.0,540.0,560300,2024-01-08
540.0,540.0,520.0,520.0,57800,2024-01-09
520.0,520.0,490.0,500.0,1031000,2024-01-10
490.0,520.0,490.0,510.0,64300,2024-01-11
500.0,500.0,450.0,460.0,1111100,2024-01-12
480.0,480.0,460.0,470.0,783700,2024-01-15
480.0,490.0,450.0,490.0,1802300,2024-01-16
490.0,500.0,460.0,460.0,491000,2024-01-17
440.0,490.0,440.0,480.0,82700,2024-01-18
480.0,480.0,460.0,480.0,200700,2024-01-19
480.0,480.0,460.0,470.0,933900,2024-01-22
470.0,470.0,430.0,450.0,1012700,2024-01-23
440.0,450.0,430.0,440.0,527700,2024-01-24
470.0,470.0,430.0,440.0,290100,2024-01-25
440.0,440.0,420.0,440.0,465900,2024-01-26
420.0,430.0,410.0,420.0,350200,2024-01-29
410.0,440.0,410.0,430.0,46900,2024-01-30
440.0,440.0,400.0,410.0,106400,2024-01-31
420.0,420.0,400.0,420.0,152400,2024-02-01
