open,high,low,close,volume,tradingDate
590.0,590.0,590.0,590.0,100,2024-12-26
500.0,500.0,500.0,500.0,1200,2024-12-27
400.0,500.0,400.0,440.0,900,2024-12-30
430.0,480.0,420.0,430.0,102000,2024-12-31
400.0,440.0,400.0,410.0,1700,2025-01-02
400.0,430.0,390.0,410.0,102000,2025-01-03
430.0,450.0,400.0,450.0,1200,2025-01-06
390.0,430.0,350.0,430.0,432500,2025-01-07
340.0,410.0,300.0,410.0,12400,2025-01-08
290.0,410.0,290.0,390.0,422200,2025-01-09
410.0,410.0,310.0,380.0,4100,2025-01-10
310.0,360.0,300.0,310.0,624100,2025-01-13
260.0,330.0,260.0,310.0,136600,2025-01-14
270.0,320.0,260.0,270.0,326300,2025-01-15
250.0,290.0,200.0,240.0,556100,2025-01-16
230.0,240.0,200.0,230.0,236400,2025-01-17
200.0,230.0,190.0,210.0,266700,2025-01-20
190.0,230.0,170.0,200.0,610200,2025-01-21
180.0,200.0,180.0,190.0,8700,2025-01-22
180.0,190.0,150.0,170.0,238200,2025-01-23
160.0,160.0,130.0,160.0,291000,2025-01-24
130.0,160.0,120.0,130.0,239000,2025-02-03
120.0,140.0,120.0,120.0,15100,2025-02-04
130.0,130.0,100.0,120.0,242100,2025-02-05
90.0,130.0,90.0,130.0,16300,2025-02-06
100.0,130.0,100.0,120.0,307600,2025-02-07
100.0,110.0,100.0,110.0,46800,2025-02-10
90.0,90.0,80.0,90.0,254700,2025-02-11
90.0,90.0,90.0,90.0,400,2025-02-12
100.0,100.0,80.0,90.0,5200,2025-02-13
100.0,100.0,90.0,90.0,600,2025-02-14
