open,high,low,close,volume,tradingDate
4060.0,4060.0,4060.0,4060.0,100,2023-11-03
4120.0,4120.0,4120.0,4120.0,100,2023-11-06
4150.0,4150.0,4120.0,4120.0,200,2023-11-09
4040.0,4050.0,4000.0,4050.0,20000,2023-11-10
3820.0,3820.0,3820.0,3820.0,100,2023-11-13
3700.0,3700.0,3700.0,3700.0,100,2023-11-14
4020.0,4020.0,4020.0,4020.0,100,2023-11-15
3900.0,3900.0,3900.0,3900.0,10000,2023-11-16
3960.0,3960.0,3960.0,3960.0,100,2023-11-17
3820.0,3820.0,3820.0,3820.0,100,2023-11-20
3770.0,3770.0,3770.0,3770.0,100,2023-11-21
3700.0,3700.0,3700.0,3700.0,5000,2023-11-22
3750.0,3750.0,3750.0,3750.0,5000,2023-11-23
3610.0,3610.0,3610.0,3610.0,100,2023-11-24
3590.0,3590.0,3590.0,3590.0,100,2023-11-27
3520.0,3520.0,3520.0,3520.0,100,2023-11-28
3570.0,3570.0,3570.0,3570.0,100,2023-11-29
3530.0,3530.0,3530.0,3530.0,100,2023-11-30
3540.0,3540.0,3540.0,3540.0,100,2023-12-01
3600.0,3600.0,3600.0,3600.0,100,2023-12-04
3490.0,3490.0,3490.0,3490.0,100,2023-12-05
3500.0,3500.0,3450.0,3450.0,6000,2023-12-06
3560.0,3560.0,3560.0,3560.0,100,2023-12-08
3720.0,3720.0,3720.0,3720.0,100,2023-12-11
3440.0,3440.0,3440.0,3440.0,100,2023-12-14
3290.0,3290.0,3290.0,3290.0,100,2023-12-18
3200.0,3200.0,3200.0,3200.0,1000,2024-02-20
2910.0,2920.0,2860.0,2880.0,6700,2024-02-28
3030.0,3030.0,2860.0,2860.0,8000,2024-02-29
2820.0,2820.0,2790.0,2800.0,7000,2024-03-01
2880.0,2950.0,2880.0,2880.0,400,2024-03-04
2950.0,2990.0,2810.0,2810.0,20400,2024-03-06
2780.0,2820.0,2740.0,2820.0,14000,2024-03-07
2830.0,2830.0,2730.0,2730.0,20000,2024-03-08
2610.0,2610.0,2610.0,2610.0,1100,2024-03-11
2590.0,2590.0,2550.0,2550.0,300,2024-03-12
2510.0,2510.0,2510.0,2510.0,3500,2024-03-13
2500.0,2500.0,2460.0,2460.0,1200,2024-03-14
2400.0,2400.0,2350.0,2350.0,200,2024-03-15
2500.0,2500.0,2250.0,2260.0,400,2024-03-18
2180.0,2180.0,2160.0,2160.0,300,2024-03-20
2270.0,2270.0,2240.0,2270.0,800,2024-03-21
2250.0,2250.0,2220.0,2220.0,7100,2024-03-22
2200.0,2200.0,2100.0,2100.0,2100,2024-03-25
2000.0,2150.0,2000.0,2150.0,8000,2024-03-26
2170.0,2170.0,2170.0,2170.0,100,2024-03-27
2200.0,2200.0,2130.0,2130.0,9800,2024-03-28
2130.0,2130.0,2130.0,2130.0,14700,2024-03-29
2040.0,2040.0,2040.0,2040.0,900,2024-04-01
2010.0,2050.0,1980.0,2050.0,72000,2024-04-02
1990.0,2030.0,1960.0,1990.0,15500,2024-04-03
2030.0,2100.0,2030.0,2100.0,4600,2024-04-04
2110.0,2110.0,2110.0,2110.0,5000,2024-04-05
2000.0,2000.0,2000.0,2000.0,100,2024-04-08
1850.0,1860.0,1810.0,1860.0,86100,2024-04-11
1750.0,1750.0,1750.0,1750.0,100,2024-04-12
1750.0,1820.0,1680.0,1680.0,50000,2024-04-15
1580.0,1580.0,1580.0,1580.0,500,2024-04-16
1610.0,1610.0,1610.0,1610.0,100,2024-04-17
1500.0,1500.0,1500.0,1500.0,1000,2024-04-22
1300.0,1350.0,1300.0,1350.0,10200,2024-04-24
1310.0,1420.0,1310.0,1420.0,38100,2024-04-25
1480.0,1480.0,1480.0,1480.0,100,2024-04-26
1360.0,1430.0,1350.0,1420.0,19000,2024-05-02
1460.0,1480.0,1460.0,1470.0,38200,2024-05-03
1360.0,1460.0,1360.0,1460.0,5000,2024-05-06
1600.0,1660.0,1580.0,1660.0,1000,2024-05-07
1570.0,1580.0,1520.0,1540.0,3500,2024-05-09
1320.0,1350.0,1300.0,1330.0,140000,2024-05-13
1390.0,1440.0,1390.0,1440.0,2100,2024-05-14
1440.0,1460.0,1440.0,1450.0,142800,2024-05-15
1500.0,1500.0,1450.0,1470.0,1000,2024-05-16
1450.0,1450.0,1350.0,1400.0,111300,2024-05-17
1400.0,1400.0,1300.0,1360.0,174300,2024-05-20
1330.0,1330.0,1260.0,1320.0,88200,2024-05-21
1340.0,1340.0,1220.0,1280.0,114300,2024-05-22
1300.0,1330.0,1220.0,1330.0,56900,2024-05-23
1310.0,1310.0,1220.0,1260.0,144800,2024-05-24
1270.0,1290.0,1200.0,1260.0,283800,2024-05-27
1270.0,1310.0,1200.0,1310.0,66100,2024-05-28
1270.0,1270.0,1200.0,1240.0,69300,2024-05-29
1230.0,1230.0,1150.0,1190.0,47300,2024-05-30
1150.0,1190.0,1100.0,1170.0,75000,2024-05-31
1110.0,1240.0,1110.0,1220.0,92000,2024-06-03
1210.0,1220.0,1200.0,1200.0,24300,2024-06-04
1230.0,1460.0,1230.0,1380.0,79700,2024-06-05
1280.0,1350.0,1250.0,1290.0,79700,2024-06-06
1250.0,1340.0,1240.0,1320.0,140000,2024-06-07
1240.0,1290.0,1210.0,1270.0,327000,2024-06-10
1220.0,1220.0,1130.0,1180.0,60500,2024-06-11
1180.0,1200.0,1130.0,1190.0,709200,2024-06-12
1190.0,1200.0,1130.0,1190.0,369700,2024-06-13
1180.0,1180.0,1120.0,1150.0,650200,2024-06-14
