open,high,low,close,volume,tradingDate
1730.0,1730.0,1730.0,1730.0,40100,2023-12-13
1430.0,1430.0,1430.0,1430.0,10000,2023-12-14
1440.0,1440.0,1120.0,1120.0,209800,2023-12-15
1120.0,1120.0,860.0,880.0,142600,2023-12-18
800.0,810.0,790.0,800.0,48800,2023-12-19
820.0,820.0,790.0,790.0,29000,2023-12-20
790.0,800.0,790.0,800.0,92000,2023-12-21
790.0,800.0,780.0,800.0,60000,2023-12-22
810.0,830.0,810.0,830.0,30200,2023-12-25
820.0,830.0,810.0,810.0,68200,2023-12-26
820.0,840.0,800.0,800.0,146500,2023-12-27
800.0,800.0,760.0,790.0,143100,2023-12-28
810.0,810.0,780.0,790.0,326700,2023-12-29
810.0,820.0,780.0,780.0,168600,2024-01-02
750.0,790.0,750.0,790.0,163000,2024-01-03
800.0,880.0,790.0,850.0,205700,2024-01-04
840.0,840.0,800.0,830.0,167000,2024-01-05
830.0,840.0,800.0,800.0,157000,2024-01-08
810.0,810.0,790.0,790.0,46000,2024-01-09
790.0,870.0,790.0,860.0,343000,2024-01-10
860.0,880.0,850.0,850.0,112000,2024-01-11
820.0,850.0,800.0,840.0,251500,2024-01-12
860.0,860.0,800.0,800.0,184500,2024-01-15
780.0,800.0,780.0,800.0,113900,2024-01-16
790.0,820.0,790.0,790.0,42500,2024-01-17
780.0,810.0,780.0,810.0,59700,2024-01-18
820.0,830.0,820.0,830.0,28800,2024-01-19
860.0,860.0,830.0,840.0,181000,2024-01-22
840.0,850.0,810.0,810.0,214200,2024-01-23
800.0,800.0,790.0,790.0,130500,2024-01-24
770.0,780.0,770.0,780.0,15000,2024-01-25
780.0,790.0,780.0,790.0,21500,2024-01-26
780.0,780.0,780.0,780.0,180200,2024-01-29
780.0,800.0,780.0,780.0,21900,2024-01-30
770.0,770.0,720.0,720.0,315700,2024-01-31
710.0,710.0,700.0,710.0,110500,2024-02-01
710.0,710.0,650.0,650.0,149800,2024-02-02
640.0,710.0,640.0,710.0,41100,2024-02-05
700.0,710.0,690.0,690.0,23200,2024-02-06
700.0,730.0,700.0,730.0,25800,2024-02-07
740.0,770.0,730.0,770.0,45000,2024-02-15
760.0,760.0,740.0,750.0,115000,2024-02-16
740.0,740.0,710.0,730.0,583900,2024-02-19
720.0,720.0,670.0,700.0,1399700,2024-02-20
680.0,720.0,680.0,710.0,124400,2024-02-21
760.0,760.0,680.0,690.0,121400,2024-02-22
690.0,730.0,660.0,660.0,1030000,2024-02-23
650.0,650.0,610.0,630.0,491100,2024-02-26
630.0,640.0,610.0,640.0,623400,2024-02-27
640.0,690.0,630.0,690.0,140900,2024-02-28
710.0,720.0,650.0,680.0,1327400,2024-02-29
670.0,670.0,640.0,660.0,391800,2024-03-01
640.0,650.0,630.0,640.0,865400,2024-03-04
640.0,660.0,620.0,660.0,609600,2024-03-05
650.0,690.0,620.0,670.0,1478500,2024-03-06
610.0,660.0,610.0,660.0,448600,2024-03-07
610.0,650.0,560.0,570.0,1291100,2024-03-08
550.0,630.0,540.0,540.0,226400,2024-03-11
540.0,570.0,540.0,570.0,5300,2024-03-12
500.0,620.0,490.0,620.0,83200,2024-03-13
600.0,620.0,550.0,590.0,196300,2024-03-14
600.0,600.0,500.0,570.0,109800,2024-03-15
470.0,580.0,420.0,520.0,150100,2024-03-18
450.0,560.0,450.0,550.0,9800,2024-03-19
510.0,570.0,450.0,560.0,80200,2024-03-20
490.0,560.0,490.0,560.0,202200,2024-03-21
520.0,590.0,520.0,580.0,205700,2024-03-22
580.0,580.0,550.0,580.0,31600,2024-03-25
510.0,600.0,510.0,600.0,306800,2024-03-26
600.0,600.0,570.0,570.0,28100,2024-03-27
600.0,600.0,550.0,600.0,129100,2024-03-28
600.0,600.0,570.0,600.0,36000,2024-03-29
580.0,590.0,570.0,580.0,74600,2024-04-01
500.0,560.0,500.0,550.0,27500,2024-04-02
550.0,550.0,500.0,550.0,35400,2024-04-03
550.0,590.0,500.0,550.0,20600,2024-04-04
550.0,550.0,480.0,530.0,129100,2024-04-05
500.0,550.0,490.0,530.0,17500,2024-04-08
450.0,540.0,450.0,530.0,75600,2024-04-09
530.0,600.0,500.0,590.0,196900,2024-04-10
580.0,580.0,530.0,580.0,10500,2024-04-11
510.0,590.0,510.0,590.0,88200,2024-04-12
540.0,580.0,370.0,500.0,168700,2024-04-15
400.0,560.0,400.0,490.0,36200,2024-04-16
550.0,550.0,400.0,510.0,18100,2024-04-17
500.0,530.0,460.0,530.0,47600,2024-04-19
530.0,530.0,400.0,510.0,93400,2024-04-22
500.0,500.0,430.0,500.0,2400,2024-04-23
400.0,510.0,400.0,490.0,98000,2024-04-24
490.0,490.0,460.0,480.0,14000,2024-04-25
470.0,480.0,440.0,480.0,153400,2024-04-26
460.0,470.0,440.0,470.0,124900,2024-05-02
480.0,480.0,450.0,480.0,102300,2024-05-03
480.0,500.0,480.0,500.0,12900,2024-05-06
500.0,500.0,460.0,490.0,70900,2024-05-07
480.0,480.0,460.0,480.0,30200,2024-05-08
490.0,490.0,480.0,490.0,6700,2024-05-09
480.0,480.0,450.0,460.0,22600,2024-05-10
470.0,490.0,470.0,490.0,16500,2024-05-13
500.0,560.0,500.0,550.0,452200,2024-05-14
560.0,560.0,520.0,550.0,20400,2024-05-15
550.0,560.0,530.0,560.0,157500,2024-05-16
580.0,580.0,520.0,570.0,123900,2024-05-17
570.0,590.0,540.0,540.0,74100,2024-05-20
540.0,550.0,540.0,550.0,9200,2024-05-21
550.0,550.0,480.0,530.0,4800,2024-05-22
530.0,540.0,520.0,540.0,78200,2024-05-23
490.0,540.0,480.0,510.0,78700,2024-05-24
510.0,520.0,510.0,520.0,12000,2024-05-27
520.0,540.0,500.0,540.0,65800,2024-05-28
520.0,520.0,520.0,520.0,300,2024-05-29
520.0,520.0,510.0,520.0,19800,2024-05-30
510.0,510.0,480.0,480.0,27000,2024-05-31
520.0,530.0,490.0,500.0,199700,2024-06-03
500.0,500.0,500.0,500.0,800,2024-06-04
490.0,490.0,490.0,490.0,4100,2024-06-05
490.0,490.0,490.0,490.0,3000,2024-06-06
480.0,480.0,480.0,480.0,3900,2024-06-07
470.0,470.0,470.0,470.0,50000,2024-06-10
470.0,480.0,460.0,480.0,271200,2024-06-11
500.0,540.0,500.0,540.0,153000,2024-06-12
550.0,560.0,540.0,560.0,368300,2024-06-13
550.0,590.0,540.0,550.0,127100,2024-06-14
