open,high,low,close,volume,tradingDate
650.0,650.0,650.0,650.0,100,2023-10-30
450.0,450.0,450.0,450.0,6200,2023-10-31
340.0,350.0,300.0,330.0,199200,2023-11-01
350.0,380.0,350.0,380.0,176100,2023-11-02
400.0,430.0,390.0,420.0,345200,2023-11-03
450.0,450.0,410.0,420.0,642900,2023-11-06
420.0,420.0,370.0,370.0,901400,2023-11-07
380.0,400.0,340.0,390.0,782500,2023-11-08
480.0,480.0,410.0,420.0,294700,2023-11-09
420.0,420.0,390.0,410.0,372400,2023-11-10
400.0,400.0,360.0,370.0,555700,2023-11-13
390.0,400.0,370.0,390.0,779400,2023-11-14
400.0,430.0,400.0,400.0,888600,2023-11-15
420.0,420.0,380.0,380.0,389800,2023-11-16
410.0,410.0,320.0,340.0,1279500,2023-11-17
380.0,380.0,310.0,330.0,1418600,2023-11-20
320.0,320.0,300.0,310.0,718300,2023-11-21
320.0,320.0,310.0,320.0,1254100,2023-11-22
290.0,350.0,290.0,300.0,669400,2023-11-23
320.0,320.0,280.0,300.0,678100,2023-11-24
310.0,320.0,300.0,310.0,561700,2023-11-27
310.0,310.0,290.0,310.0,272400,2023-11-28
320.0,330.0,320.0,330.0,311900,2023-11-29
330.0,330.0,310.0,310.0,321100,2023-11-30
310.0,310.0,290.0,310.0,305600,2023-12-01
320.0,330.0,300.0,320.0,1006800,2023-12-04
320.0,320.0,300.0,310.0,137500,2023-12-05
320.0,320.0,290.0,310.0,403300,2023-12-06
310.0,320.0,290.0,310.0,110000,2023-12-07
320.0,340.0,300.0,330.0,422500,2023-12-08
340.0,350.0,320.0,340.0,730800,2023-12-11
350.0,350.0,330.0,340.0,224900,2023-12-12
340.0,340.0,310.0,310.0,210900,2023-12-13
320.0,320.0,290.0,300.0,489700,2023-12-14
300.0,320.0,290.0,290.0,640600,2023-12-15
290.0,310.0,270.0,300.0,816500,2023-12-18
300.0,300.0,270.0,290.0,979500,2023-12-19
300.0,300.0,280.0,300.0,198100,2023-12-20
300.0,300.0,280.0,300.0,279200,2023-12-21
300.0,300.0,290.0,290.0,104600,2023-12-22
290.0,310.0,290.0,310.0,123500,2023-12-25
330.0,330.0,290.0,310.0,1031500,2023-12-26
310.0,310.0,300.0,300.0,93800,2023-12-27
310.0,330.0,300.0,330.0,1612100,2023-12-28
330.0,340.0,320.0,330.0,184800,2023-12-29
340.0,340.0,300.0,300.0,611700,2024-01-02
300.0,300.0,290.0,300.0,847000,2024-01-03
300.0,320.0,290.0,310.0,1005200,2024-01-04
320.0,320.0,280.0,280.0,747100,2024-01-05
300.0,330.0,290.0,310.0,1001500,2024-01-08
320.0,320.0,300.0,300.0,284600,2024-01-09
300.0,300.0,280.0,300.0,313700,2024-01-10
290.0,310.0,290.0,300.0,377300,2024-01-11
280.0,290.0,270.0,280.0,383400,2024-01-12
290.0,290.0,270.0,270.0,286700,2024-01-15
270.0,280.0,250.0,270.0,553800,2024-01-16
280.0,290.0,270.0,280.0,350800,2024-01-17
290.0,290.0,270.0,290.0,286200,2024-01-18
300.0,310.0,290.0,310.0,2866000,2024-01-19
320.0,320.0,290.0,300.0,485200,2024-01-22
310.0,310.0,280.0,290.0,495500,2024-01-23
290.0,320.0,280.0,290.0,580300,2024-01-24
310.0,310.0,280.0,300.0,573700,2024-01-25
310.0,310.0,280.0,290.0,283400,2024-01-26
290.0,300.0,260.0,270.0,1060800,2024-01-29
280.0,280.0,250.0,270.0,975500,2024-01-30
280.0,280.0,230.0,240.0,1837700,2024-01-31
240.0,240.0,230.0,240.0,1523300,2024-02-01
230.0,230.0,210.0,220.0,582600,2024-02-02
240.0,240.0,180.0,200.0,1204500,2024-02-05
220.0,220.0,180.0,190.0,1190600,2024-02-06
180.0,210.0,180.0,180.0,1305000,2024-02-07
180.0,200.0,180.0,200.0,1975000,2024-02-15
200.0,220.0,190.0,220.0,382700,2024-02-16
210.0,320.0,200.0,320.0,4251600,2024-02-19
350.0,380.0,320.0,360.0,2172000,2024-02-20
340.0,400.0,320.0,390.0,4609100,2024-02-21
410.0,440.0,370.0,440.0,1032000,2024-02-22
450.0,450.0,360.0,380.0,1598400,2024-02-23
320.0,390.0,320.0,380.0,1052700,2024-02-26
390.0,410.0,380.0,390.0,535600,2024-02-27
420.0,490.0,400.0,440.0,1278500,2024-02-28
500.0,500.0,390.0,410.0,1597000,2024-02-29
400.0,410.0,350.0,410.0,840900,2024-03-01
400.0,450.0,360.0,420.0,1763700,2024-03-04
430.0,430.0,380.0,400.0,2545500,2024-03-05
390.0,420.0,350.0,370.0,1874100,2024-03-06
380.0,390.0,320.0,370.0,3371600,2024-03-07
380.0,380.0,320.0,340.0,2287000,2024-03-08
340.0,350.0,280.0,300.0,3452800,2024-03-11
280.0,320.0,270.0,310.0,2014400,2024-03-12
320.0,350.0,300.0,350.0,1026900,2024-03-13
350.0,360.0,330.0,340.0,1461900,2024-03-14
330.0,330.0,300.0,310.0,2088600,2024-03-15
330.0,440.0,280.0,430.0,4962900,2024-03-18
460.0,490.0,340.0,350.0,1956300,2024-03-19
390.0,390.0,310.0,350.0,3047200,2024-03-20
350.0,380.0,330.0,370.0,1583000,2024-03-21
380.0,380.0,330.0,360.0,1545900,2024-03-22
340.0,360.0,310.0,330.0,1759400,2024-03-25
320.0,340.0,270.0,330.0,2416900,2024-03-26
320.0,330.0,300.0,320.0,1006500,2024-03-27
310.0,340.0,290.0,320.0,1940000,2024-03-28
340.0,340.0,300.0,320.0,825500,2024-03-29
330.0,330.0,300.0,320.0,842600,2024-04-01
310.0,310.0,290.0,310.0,1600600,2024-04-02
310.0,320.0,300.0,320.0,900900,2024-04-03
310.0,310.0,280.0,280.0,2409500,2024-04-04
280.0,290.0,270.0,290.0,1113700,2024-04-05
300.0,300.0,250.0,280.0,564400,2024-04-08
280.0,290.0,270.0,290.0,256200,2024-04-09
300.0,300.0,270.0,290.0,335800,2024-04-10
280.0,290.0,270.0,280.0,358200,2024-04-11
290.0,290.0,270.0,280.0,457100,2024-04-12
270.0,270.0,200.0,240.0,1572900,2024-04-15
240.0,240.0,210.0,220.0,593300,2024-04-16
230.0,240.0,200.0,220.0,459000,2024-04-17
220.0,220.0,190.0,210.0,718600,2024-04-19
220.0,240.0,210.0,220.0,175700,2024-04-22
220.0,220.0,190.0,200.0,284300,2024-04-23
210.0,230.0,190.0,230.0,1104500,2024-04-24
230.0,230.0,210.0,220.0,190600,2024-04-25
220.0,220.0,200.0,220.0,458900,2024-04-26
220.0,220.0,200.0,210.0,132200,2024-05-02
220.0,230.0,220.0,230.0,687900,2024-05-03
220.0,230.0,220.0,230.0,432000,2024-05-06
230.0,230.0,210.0,210.0,521800,2024-05-07
200.0,220.0,200.0,220.0,164800,2024-05-08
220.0,230.0,210.0,210.0,433900,2024-05-09
220.0,220.0,190.0,210.0,421100,2024-05-10
210.0,210.0,190.0,190.0,73400,2024-05-13
210.0,210.0,190.0,210.0,184100,2024-05-14
210.0,230.0,210.0,220.0,1089700,2024-05-15
230.0,230.0,220.0,230.0,296600,2024-05-16
230.0,230.0,210.0,230.0,544500,2024-05-17
230.0,240.0,200.0,220.0,908700,2024-05-20
220.0,230.0,210.0,220.0,233700,2024-05-21
230.0,240.0,210.0,220.0,446100,2024-05-22
220.0,220.0,200.0,210.0,620600,2024-05-23
210.0,210.0,190.0,190.0,752800,2024-05-24
200.0,210.0,180.0,210.0,47200,2024-05-27
210.0,220.0,200.0,210.0,186200,2024-05-28
200.0,210.0,180.0,210.0,386100,2024-05-29
200.0,200.0,180.0,200.0,172600,2024-05-30
200.0,200.0,190.0,200.0,365300,2024-05-31
210.0,220.0,200.0,210.0,616600,2024-06-03
210.0,230.0,200.0,210.0,387200,2024-06-04
210.0,220.0,200.0,210.0,980400,2024-06-05
220.0,220.0,200.0,220.0,132600,2024-06-06
210.0,210.0,200.0,210.0,461200,2024-06-07
200.0,210.0,180.0,200.0,727000,2024-06-10
200.0,200.0,190.0,200.0,299500,2024-06-11
200.0,210.0,180.0,210.0,547800,2024-06-12
200.0,210.0,190.0,210.0,298700,2024-06-13
200.0,210.0,190.0,200.0,155900,2024-06-14
