open,high,low,close,volume,tradingDate
1065.5,1067.0,1064.5,1066.2,24715,2023-05-16 02:00:00
1066.2,1067.8,1065.5,1067.7,22560,2023-05-16 03:00:00
1067.7,1068.8,1067.7,1068.3,14758,2023-05-16 04:00:00
1068.3,1069.3,1065.8,1067.0,36275,2023-05-16 06:00:00
1067.0,1067.7,1065.1,1067.0,37356,2023-05-16 07:00:00
1065.8,1068.2,1065.8,1067.9,24240,2023-05-17 02:00:00
1067.9,1073.0,1066.6,1072.5,40093,2023-05-17 03:00:00
1072.5,1074.7,1072.1,1072.5,23644,2023-05-17 04:00:00
1072.2,1073.0,1069.5,1070.1,36702,2023-05-17 06:00:00
1070.0,1070.0,1065.0,1065.0,47051,2023-05-17 07:00:00
1066.8,1068.6,1066.5,1068.2,26949,2023-05-18 02:00:00
1068.2,1069.9,1067.0,1069.1,21016,2023-05-18 03:00:00
1069.2,1072.0,1069.1,1072.0,15876,2023-05-18 04:00:00
1072.0,1073.3,1069.5,1072.3,35642,2023-05-18 06:00:00
1072.4,1076.2,1071.5,1074.2,45613,2023-05-18 07:00:00
1064.9,1064.9,1055.3,1057.3,49594,2023-05-19 02:00:00
1057.4,1061.3,1057.3,1058.9,37108,2023-05-19 03:00:00
1058.9,1059.5,1056.2,1056.8,19364,2023-05-19 04:00:00
1056.9,1060.1,1056.4,1057.2,46432,2023-05-19 06:00:00
1056.7,1064.0,1053.0,1062.5,77594,2023-05-19 07:00:00
1063.0,1063.6,1060.6,1062.7,28960,2023-05-22 02:00:00
1062.6,1065.0,1062.6,1064.3,25651,2023-05-22 03:00:00
1064.2,1064.8,1061.3,1061.8,15384,2023-05-22 04:00:00
1062.0,1064.5,1061.0,1063.9,37594,2023-05-22 06:00:00
1064.3,1067.9,1064.0,1065.3,47175,2023-05-22 07:00:00
1067.2,1070.2,1066.6,1069.8,26602,2023-05-23 02:00:00
1069.7,1070.5,1067.0,1067.7,31180,2023-05-23 03:00:00
1067.7,1067.7,1064.8,1065.3,21930,2023-05-23 04:00:00
1065.3,1067.0,1061.6,1061.8,41492,2023-05-23 06:00:00
1061.7,1062.4,1056.1,1059.5,56520,2023-05-23 07:00:00
1061.6,1063.9,1059.0,1060.2,41635,2023-05-24 02:00:00
1060.2,1060.7,1057.6,1059.9,30212,2023-05-24 03:00:00
1059.8,1061.5,1058.3,1059.3,20453,2023-05-24 04:00:00
1059.3,1061.9,1058.1,1060.5,41070,2023-05-24 06:00:00
1060.6,1060.7,1054.7,1056.1,50173,2023-05-24 07:00:00
1054.0,1056.6,1052.7,1056.1,32392,2023-05-25 02:00:00
1056.2,1057.8,1055.1,1055.2,26921,2023-05-25 03:00:00
1055.1,1055.8,1053.2,1053.9,15106,2023-05-25 04:00:00
1053.7,1058.8,1053.4,1058.3,46970,2023-05-25 06:00:00
1058.7,1059.2,1056.0,1057.0,43112,2023-05-25 07:00:00
1057.5,1058.9,1056.1,1057.5,23853,2023-05-26 02:00:00
1057.5,1057.8,1054.3,1056.0,26255,2023-05-26 03:00:00
1055.9,1056.7,1054.9,1056.5,9114,2023-05-26 04:00:00
1056.5,1057.4,1055.3,1056.6,25003,2023-05-26 06:00:00
1056.6,1058.4,1056.1,1056.5,36892,2023-05-26 07:00:00
1059.9,1061.9,1059.7,1061.4,25913,2023-05-29 02:00:00
1061.5,1064.0,1061.4,1063.8,22676,2023-05-29 03:00:00
1063.7,1063.8,1062.3,1062.8,9395,2023-05-29 04:00:00
1062.9,1066.0,1061.5,1065.3,34913,2023-05-29 06:00:00
1065.3,1068.5,1065.3,1068.0,36774,2023-05-29 07:00:00
1069.6,1070.6,1067.0,1067.9,28659,2023-05-30 02:00:00
1067.9,1068.0,1065.2,1065.6,24961,2023-05-30 03:00:00
1065.6,1067.0,1065.2,1066.5,10951,2023-05-30 04:00:00
1066.5,1068.4,1065.6,1065.9,31505,2023-05-30 06:00:00
1066.0,1068.3,1064.2,1068.2,43688,2023-05-30 07:00:00
1067.7,1068.5,1065.6,1065.9,25197,2023-05-31 02:00:00
1065.9,1066.4,1064.6,1065.4,16203,2023-05-31 03:00:00
1065.4,1065.8,1064.2,1065.4,11943,2023-05-31 04:00:00
1065.3,1066.8,1063.2,1063.4,30324,2023-05-31 06:00:00
1063.4,1064.0,1059.1,1062.6,49043,2023-05-31 07:00:00
1062.0,1062.5,1059.6,1060.4,28175,2023-06-01 02:00:00
1060.4,1061.6,1058.2,1058.3,24367,2023-06-01 03:00:00
1058.4,1058.4,1056.7,1057.6,15480,2023-06-01 04:00:00
1057.7,1059.6,1056.7,1059.0,31412,2023-06-01 06:00:00
1059.0,1065.0,1058.5,1065.0,51657,2023-06-01 07:00:00
1069.4,1073.3,1068.5,1072.2,45226,2023-06-02 02:00:00
1072.2,1080.8,1071.8,1078.5,55506,2023-06-02 03:00:00
1078.7,1080.2,1078.6,1079.1,12663,2023-06-02 04:00:00
1079.1,1082.5,1076.7,1078.1,45917,2023-06-02 06:00:00
1078.1,1084.5,1077.3,1078.8,52780,2023-06-02 07:00:00
1082.5,1090.9,1082.5,1090.9,44544,2023-06-05 02:00:00
1090.9,1091.4,1086.8,1088.5,31015,2023-06-05 03:00:00
1088.4,1089.4,1085.6,1087.4,14820,2023-06-05 04:00:00
1087.3,1088.7,1086.1,1086.1,27661,2023-06-05 06:00:00
1086.2,1087.8,1084.5,1087.2,32668,2023-06-05 07:00:00
1085.3,1086.2,1084.1,1085.7,25471,2023-06-06 02:00:00
1085.7,1087.3,1085.5,1086.5,18757,2023-06-06 03:00:00
1086.5,1088.7,1085.7,1088.3,15989,2023-06-06 04:00:00
1088.3,1094.7,1087.6,1092.7,49350,2023-06-06 06:00:00
1092.9,1096.4,1090.6,1096.1,45352,2023-06-06 07:00:00
1099.0,1100.2,1095.8,1097.1,31279,2023-06-07 02:00:00
1097.1,1098.1,1094.6,1095.6,31608,2023-06-07 03:00:00
1095.5,1096.1,1095.2,1095.5,7879,2023-06-07 04:00:00
1095.5,1097.5,1093.3,1095.6,44798,2023-06-07 06:00:00
1095.9,1099.3,1094.1,1098.0,42056,2023-06-07 07:00:00
1098.9,1100.4,1097.2,1098.3,28301,2023-06-08 02:00:00
1098.2,1098.7,1096.1,1096.8,22380,2023-06-08 03:00:00
1096.8,1097.5,1095.7,1096.0,8874,2023-06-08 04:00:00
1096.1,1097.0,1093.7,1095.5,40268,2023-06-08 06:00:00
1095.2,1095.6,1089.0,1089.0,46622,2023-06-08 07:00:00
1089.3,1090.4,1087.3,1088.8,24671,2023-06-09 02:00:00
1088.8,1092.5,1088.2,1091.5,30363,2023-06-09 03:00:00
1091.4,1093.0,1090.6,1090.6,13049,2023-06-09 04:00:00
1090.5,1092.2,1089.3,1089.9,25894,2023-06-09 06:00:00
1089.9,1095.3,1087.5,1095.3,51586,2023-06-09 07:00:00
1098.1,1098.1,1094.3,1096.6,24000,2023-06-12 02:00:00
1096.7,1097.5,1093.6,1094.5,23178,2023-06-12 03:00:00
1094.5,1094.7,1091.3,1091.5,18075,2023-06-12 04:00:00
1091.2,1095.0,1091.2,1094.7,29542,2023-06-12 06:00:00
1094.8,1109.0,1094.5,1108.3,63145,2023-06-12 07:00:00
1109.0,1110.3,1106.6,1108.2,34475,2023-06-13 02:00:00
1108.1,1112.8,1107.1,1110.2,35509,2023-06-13 03:00:00
1110.2,1111.5,1109.1,1109.3,11938,2023-06-13 04:00:00
1109.5,1112.8,1108.1,1108.8,41973,2023-06-13 06:00:00
1108.6,1116.0,1108.3,1115.5,48976,2023-06-13 07:00:00
1115.7,1119.5,1115.2,1117.8,33716,2023-06-14 02:00:00
1117.8,1119.6,1115.7,1117.5,29404,2023-06-14 03:00:00
1117.4,1117.4,1115.2,1116.1,11583,2023-06-14 04:00:00
1116.3,1121.9,1115.7,1119.0,53264,2023-06-14 06:00:00
1119.0,1123.5,1112.1,1112.1,56886,2023-06-14 07:00:00
1110.0,1113.0,1109.2,1112.3,25198,2023-06-15 02:00:00
1112.5,1114.0,1112.3,1113.8,18643,2023-06-15 03:00:00
1113.9,1114.0,1111.9,1112.3,10738,2023-06-15 04:00:00
1112.6,1117.5,1112.0,1114.0,42073,2023-06-15 06:00:00
1113.8,1115.3,1108.2,1109.3,53208,2023-06-15 07:00:00
1104.2,1111.8,1104.0,1111.5,44359,2023-06-16 02:00:00
1111.4,1115.4,1111.4,1114.4,39194,2023-06-16 03:00:00
1114.6,1118.7,1114.0,1117.7,25974,2023-06-16 04:00:00
1117.9,1122.6,1115.9,1116.1,54608,2023-06-16 06:00:00
1116.0,1116.8,1101.4,1102.6,81299,2023-06-16 07:00:00
1100.1,1104.0,1098.8,1101.8,36445,2023-06-19 02:00:00
1101.8,1103.4,1097.7,1098.5,32101,2023-06-19 03:00:00
1098.4,1100.2,1096.7,1099.1,16358,2023-06-19 04:00:00
1099.1,1101.7,1096.9,1099.7,46725,2023-06-19 06:00:00
1099.7,1103.4,1094.6,1096.5,55283,2023-06-19 07:00:00
1096.0,1097.0,1094.8,1095.8,32500,2023-06-20 02:00:00
1095.9,1097.4,1094.8,1096.6,21597,2023-06-20 03:00:00
1096.7,1096.7,1093.1,1094.0,14773,2023-06-20 04:00:00
1094.0,1095.4,1092.3,1095.0,34441,2023-06-20 06:00:00
1095.0,1100.0,1090.5,1100.0,57940,2023-06-20 07:00:00
1100.8,1102.3,1098.4,1100.4,38009,2023-06-21 02:00:00
1100.5,1101.1,1098.8,1099.4,20633,2023-06-21 03:00:00
1099.4,1100.1,1097.5,1097.7,13708,2023-06-21 04:00:00
1097.5,1101.8,1095.7,1100.5,59171,2023-06-21 06:00:00
1100.5,1115.5,1099.9,1115.5,61967,2023-06-21 07:00:00
1115.5,1117.3,1114.3,1114.6,29353,2023-06-22 02:00:00
1114.7,1115.8,1113.3,1114.6,20738,2023-06-22 03:00:00
1114.6,1116.3,1113.8,1114.6,13624,2023-06-22 04:00:00
1114.5,1117.8,1111.9,1113.8,53640,2023-06-22 06:00:00
1113.8,1120.5,1110.2,1114.0,61017,2023-06-22 07:00:00
1114.5,1119.0,1113.7,1118.0,40060,2023-06-23 02:00:00
1118.2,1122.8,1118.0,1120.5,37165,2023-06-23 03:00:00
1120.4,1120.7,1114.8,1115.1,28947,2023-06-23 04:00:00
1114.6,1118.8,1112.7,1117.3,54262,2023-06-23 06:00:00
1117.1,1121.0,1115.1,1119.1,53660,2023-06-23 07:00:00
1118.1,1124.1,1113.3,1114.6,68722,2023-06-26 02:00:00
1114.6,1116.2,1111.7,1114.9,38493,2023-06-26 03:00:00
1115.0,1116.0,1113.8,1114.9,13160,2023-06-26 04:00:00
1114.9,1118.5,1113.6,1116.0,39688,2023-06-26 06:00:00
1116.0,1123.0,1115.7,1123.0,57245,2023-06-26 07:00:00
1125.5,1125.8,1122.7,1124.2,29587,2023-06-27 02:00:00
1124.1,1125.5,1122.2,1123.3,20868,2023-06-27 03:00:00
1123.3,1124.5,1122.8,1123.1,12297,2023-06-27 04:00:00
1123.7,1125.3,1122.5,1122.8,28439,2023-06-27 06:00:00
1122.8,1125.5,1121.0,1125.2,41401,2023-06-27 07:00:00
1127.0,1129.5,1127.0,1128.7,29778,2023-06-28 02:00:00
1129.0,1130.5,1128.2,1128.5,20102,2023-06-28 03:00:00
1128.4,1128.9,1127.8,1127.8,6852,2023-06-28 04:00:00
1127.5,1129.1,1126.9,1128.5,32032,2023-06-28 06:00:00
1128.6,1135.1,1127.3,1132.4,50939,2023-06-28 07:00:00
1132.1,1132.4,1125.6,1126.2,43681,2023-06-29 02:00:00
1126.2,1127.5,1124.6,1126.6,31653,2023-06-29 03:00:00
1126.5,1127.3,1125.7,1126.5,11509,2023-06-29 04:00:00
1126.4,1127.4,1123.0,1124.0,40081,2023-06-29 06:00:00
1124.0,1127.9,1115.0,1115.0,62588,2023-06-29 07:00:00
1116.1,1117.5,1115.4,1116.2,26550,2023-06-30 02:00:00
1116.1,1117.9,1115.7,1117.2,20939,2023-06-30 03:00:00
1117.2,1117.3,1114.6,1115.5,13539,2023-06-30 04:00:00
1115.2,1119.9,1115.2,1118.3,42126,2023-06-30 06:00:00
1118.3,1119.9,1115.1,1117.3,48782,2023-06-30 07:00:00
1120.8,1122.2,1119.6,1120.5,29345,2023-07-03 02:00:00
1120.6,1120.8,1116.2,1117.0,28911,2023-07-03 03:00:00
1117.0,1117.7,1116.3,1117.2,7866,2023-07-03 04:00:00
1117.2,1119.3,1117.0,1119.2,27125,2023-07-03 06:00:00
1119.1,1120.2,1116.2,1117.5,37225,2023-07-03 07:00:00
1115.9,1116.2,1113.6,1116.1,30774,2023-07-04 02:00:00
1116.1,1118.7,1116.0,1117.7,31142,2023-07-04 03:00:00
1117.6,1121.5,1117.2,1120.5,23222,2023-07-04 04:00:00
1120.5,1121.3,1118.2,1121.1,25586,2023-07-04 06:00:00
1121.0,1126.7,1119.6,1123.0,48346,2023-07-04 07:00:00
1123.0,1126.0,1122.7,1124.8,26656,2023-07-05 02:00:00
1124.8,1125.3,1123.3,1124.9,15881,2023-07-05 03:00:00
1124.9,1125.8,1124.4,1125.7,9969,2023-07-05 04:00:00
1125.8,1128.6,1124.0,1128.3,38386,2023-07-05 06:00:00
1128.3,1130.0,1123.6,1124.0,43907,2023-07-05 07:00:00
1122.5,1124.0,1121.2,1122.4,26773,2023-07-06 02:00:00
1122.3,1123.8,1121.8,1123.4,20681,2023-07-06 03:00:00
1123.2,1123.5,1121.4,1121.4,11903,2023-07-06 04:00:00
1121.1,1121.4,1115.0,1116.7,53108,2023-07-06 06:00:00
1116.6,1117.9,1111.6,1116.0,50978,2023-07-06 07:00:00
1114.0,1116.8,1113.7,1115.3,30652,2023-07-07 02:00:00
1115.3,1116.3,1114.6,1116.0,14653,2023-07-07 03:00:00
1116.1,1116.7,1115.7,1116.2,8668,2023-07-07 04:00:00
1116.2,1120.3,1115.6,1119.4,48073,2023-07-07 06:00:00
1119.4,1125.0,1118.5,1125.0,49988,2023-07-07 07:00:00
1126.1,1128.8,1126.1,1128.4,28630,2023-07-10 02:00:00
1128.4,1129.4,1127.2,1129.0,20949,2023-07-10 03:00:00
1129.0,1129.3,1127.3,1129.0,11068,2023-07-10 04:00:00
1129.0,1132.9,1128.0,1130.1,45456,2023-07-10 06:00:00
