open,high,low,close,volume,tradingDate
1241.01,1248.23,1233.97,1242.08,305636794,2024-02-21
1242.15,1243.58,1236.29,1239.9,237896281,2024-02-22
1241.28,1256.11,1222.94,1223.09,466366539,2024-02-23
1223.83,1234.52,1220.3,1233.31,249972764,2024-02-26
1238.55,1248.24,1235.15,1247.91,337007762,2024-02-27
1252.14,1265.35,1246.63,1265.35,296665539,2024-02-28
1268.94,1276.9,1258.26,1265.75,338012860,2024-02-29
1267.31,1269.07,1258.83,1267.07,256603884,2024-03-01
1271.05,1275.36,1262.9,1268.53,288592231,2024-03-04
1269.5,1280.17,1264.84,1280.17,253425469,2024-03-05
1280.38,1288.06,1264.44,1271.07,290875372,2024-03-06
1271.63,1279.92,1266.52,1276.56,249420163,2024-03-07
1277.31,1281.52,1250.2,1250.2,420769614,2024-03-08
1250.08,1255.3,1232.97,1235.12,284702195,2024-03-11
1233.81,1244.95,1232.4,1242.23,232078065,2024-03-12
1242.24,1272.28,1242.24,1272.28,228409219,2024-03-13
1272.36,1277.29,1254.72,1260.32,258852762,2024-03-14
1258.22,1264.77,1244.01,1256.42,260823383,2024-03-15
1256.37,1258.38,1215.67,1235.74,407224475,2024-03-18
1235.48,1241.23,1229.02,1234.74,197276682,2024-03-19
1236.45,1262.31,1228.49,1259.06,295539632,2024-03-20
1267.37,1281.57,1264.28,1281.57,273365791,2024-03-21
1287.63,1295.79,1276.81,1284.14,346130381,2024-03-22
1283.64,1288.91,1266.97,1270.0,269977669,2024-03-25
1270.84,1287.89,1266.79,1286.23,210205565,2024-03-26
1288.19,1290.76,1279.68,1288.77,188560735,2024-03-27
1294.29,1306.42,1294.29,1303.2,274262664,2024-03-28
1305.41,1306.01,1294.97,1296.9,217347567,2024-03-29
1293.36,1298.59,1284.2,1292.62,228103864,2024-04-01
1283.11,1292.3,1273.16,1292.3,365573781,2024-04-02
1287.64,1290.84,1273.15,1274.27,257612203,2024-04-03
1274.22,1278.67,1267.47,1267.65,259280005,2024-04-04
1258.11,1265.65,1251.84,1257.78,258342983,2024-04-05
1257.23,1260.17,1248.24,1254.72,222261511,2024-04-08
1255.84,1266.92,1252.58,1266.92,173440696,2024-04-09
1271.37,1276.08,1263.82,1263.82,195740068,2024-04-10
1262.96,1266.71,1254.64,1262.86,169987295,2024-04-11
1263.17,1285.3,1262.41,1284.74,248493587,2024-04-12
1283.98,1287.46,1227.9,1227.9,462725474,2024-04-15
1228.32,1234.28,1209.99,1232.7,353528123,2024-04-16
1232.89,1237.08,1209.42,1210.74,234248894,2024-04-17
1207.21,1210.32,1186.51,1194.03,300084462,2024-04-19
1204.41,1214.24,1200.15,1206.64,190045823,2024-04-22
1207.76,1213.96,1191.61,1200.37,252498198,2024-04-23
1210.05,1234.87,1207.92,1232.17,215546916,2024-04-24
1235.25,1236.99,1226.76,1233.72,157774684,2024-04-25
1227.69,1245.52,1225.55,1240.5,188734337,2024-04-26
1244.15,1248.41,1239.02,1247.21,167952125,2024-05-02
1248.5,1259.83,1248.5,1255.62,208947991,2024-05-03
1262.41,1274.62,1256.67,1274.62,205652713,2024-05-06
1279.29,1285.43,1272.63,1284.85,169029442,2024-05-07
1279.2,1285.12,1269.97,1284.85,253788791,2024-05-08
1287.23,1289.92,1274.57,1281.47,194390060,2024-05-09
1284.88,1285.22,1268.91,1277.47,166064216,2024-05-10
1280.1,1281.58,1266.27,1272.53,164004436,2024-05-13
1281.65,1287.51,1276.04,1277.31,179556934,2024-05-14
1283.65,1294.71,1282.61,1289.97,225974350,2024-05-15
1300.56,1311.4,1296.77,1308.27,303395325,2024-05-16
1309.42,1312.95,1304.14,1310.15,269941977,2024-05-17
1317.61,1322.13,1312.55,1312.55,289345790,2024-05-20
1311.36,1313.19,1297.51,1308.62,232915478,2024-05-21
1307.53,1311.11,1288.47,1291.46,289102183,2024-05-22
1290.38,1304.76,1283.26,1304.76,229337631,2024-05-23
1304.74,1309.89,1272.98,1283.46,397345652,2024-05-24
1286.97,1288.75,1275.98,1284.88,194124854,2024-05-27
1291.18,1299.75,1285.83,1299.75,214495238,2024-05-28
1301.3,1302.56,1284.02,1284.02,247325302,2024-05-29
1279.32,1280.5,1263.44,1279.29,283100144,2024-05-30
1280.08,1283.3,1273.85,1275.97,164303863,2024-05-31
1285.07,1301.64,1284.95,1297.78,282355532,2024-06-03
1305.12,1306.96,1298.4,1300.99,233863454,2024-06-04
1302.07,1313.11,1299.66,1299.66,243606113,2024-06-05
1303.85,1308.43,1296.37,1302.28,270677056,2024-06-06
1303.32,1314.56,1302.53,1308.03,164173769,2024-06-07
1314.28,1319.06,1306.53,1311.1,223824060,2024-06-10
1315.48,1318.09,1301.43,1308.3,277035267,2024-06-11
1308.89,1331.81,1305.27,1331.81,297153491,2024-06-12
1331.91,1339.17,1327.79,1333.85,356920322,2024-06-13
1336.35,1338.59,1316.46,1316.46,313325426,2024-06-14
1317.64,1318.16,1305.5,1309.7,256244289,2024-06-17
1314.39,1320.8,1309.89,1309.89,226095617,2024-06-18
1313.51,1319.31,1300.67,1314.22,265123277,2024-06-19
1316.78,1326.88,1311.43,1322.36,309960560,2024-06-20
1323.77,1324.81,1316.07,1319.93,227840302,2024-06-21
1317.31,1319.51,1287.26,1289.85,364007809,2024-06-24
1290.12,1293.28,1281.89,1288.8,203047565,2024-06-25
1291.04,1294.12,1276.44,1291.3,206768835,2024-06-26
1288.88,1290.8,1282.24,1289.03,170188698,2024-06-27
1289.31,1290.97,1272.27,1278.32,234238197,2024-06-28
1278.22,1285.48,1271.2,1285.48,165196885,2024-07-01
1288.21,1300.58,1286.07,1296.06,190036901,2024-07-02
1296.08,1309.4,1296.08,1305.5,200710794,2024-07-03
1309.16,1313.01,1304.31,1310.63,170979892,2024-07-04
1310.82,1316.7,1307.98,1316.18,178867189,2024-07-05
1317.01,1319.27,1309.55,1315.83,207552317,2024-07-08
1315.35,1322.21,1309.15,1321.78,256120759,2024-07-09
1322.24,1324.91,1310.91,1310.91,211629452,2024-07-10
1315.08,1318.15,1306.22,1306.22,197288500,2024-07-11
1304.75,1312.24,1298.45,1301.81,161682312,2024-07-12
