open,high,low,close,volume,tradingDate
1260.76,1261.13,1258.31,1259.08,28492400,2022-09-16 03:00:00
1259.08,1261.46,1256.52,1261.44,12658070,2022-09-16 04:00:00
1261.42,1261.54,1254.25,1257.47,30981500,2022-09-16 06:00:00
1257.18,1257.51,1248.13,1252.78,72308500,2022-09-16 07:00:00
1252.78,1252.78,1252.78,1252.78,0,2022-09-16 08:00:00
1251.43,1253.45,1243.59,1243.59,28953600,2022-09-19 02:00:00
1243.8,1245.96,1237.74,1242.42,31611919,2022-09-19 03:00:00
1242.42,1242.47,1239.56,1239.81,13591400,2022-09-19 04:00:00
1239.01,1239.13,1231.59,1235.17,44060400,2022-09-19 06:00:00
1235.52,1239.29,1225.18,1229.88,69930358,2022-09-19 07:00:00
1235.93,1238.39,1230.64,1232.06,21480600,2022-09-20 02:00:00
1232.09,1232.78,1228.73,1229.77,23169900,2022-09-20 03:00:00
1229.89,1230.09,1226.56,1227.63,12363400,2022-09-20 04:00:00
1227.62,1235.61,1224.96,1235.46,28994300,2022-09-20 06:00:00
1235.41,1241.07,1235.2,1241.07,35982000,2022-09-20 07:00:00
1241.07,1241.07,1241.07,1241.07,0,2022-09-20 08:00:00
1235.84,1236.05,1230.5,1231.15,12697930,2022-09-21 02:00:00
1231.18,1234.98,1229.61,1229.84,15214600,2022-09-21 03:00:00
1230.03,1230.03,1224.99,1225.35,16512900,2022-09-21 04:00:00
1225.48,1229.8,1223.02,1229.53,45070950,2022-09-21 06:00:00
1229.36,1231.24,1224.89,1228.2,27133200,2022-09-21 07:00:00
1228.2,1228.2,1228.2,1228.2,0,2022-09-21 08:00:00
1217.63,1220.24,1213.37,1219.74,23254200,2022-09-22 02:00:00
1220.13,1220.97,1213.43,1213.58,16770100,2022-09-22 03:00:00
1213.55,1213.74,1210.65,1212.7,12587550,2022-09-22 04:00:00
1212.12,1221.14,1211.3,1219.96,35910900,2022-09-22 06:00:00
1219.47,1229.26,1218.94,1228.94,30545500,2022-09-22 07:00:00
1228.94,1228.94,1228.94,1228.94,0,2022-09-22 08:00:00
1227.34,1230.72,1224.5,1226.04,22436700,2022-09-23 02:00:00
1226.04,1228.88,1224.47,1224.97,18452100,2022-09-23 03:00:00
1225.17,1226.41,1219.84,1220.69,10527300,2022-09-23 04:00:00
1221.14,1222.98,1218.27,1221.72,22817400,2022-09-23 06:00:00
1221.89,1222.3,1213.74,1215.41,32557196,2022-09-23 07:00:00
1199.39,1201.89,1193.08,1196.68,31651940,2022-09-26 02:00:00
1196.81,1200.02,1187.24,1188.36,38466300,2022-09-26 03:00:00
1188.06,1188.07,1183.5,1186.93,19106700,2022-09-26 04:00:00
1186.03,1187.85,1172.37,1178.26,63850700,2022-09-26 06:00:00
1178.42,1187.28,1177.12,1187.22,38501275,2022-09-26 07:00:00
1190.46,1193.79,1182.1,1185.27,16010247,2022-09-27 02:00:00
1185.45,1190.06,1183.43,1187.39,29563000,2022-09-27 03:00:00
1187.39,1187.54,1182.74,1186.13,6537600,2022-09-27 04:00:00
1186.54,1193.04,1185.67,1188.62,28582300,2022-09-27 06:00:00
1188.79,1189.69,1181.43,1182.46,28754100,2022-09-27 07:00:00
1173.82,1177.58,1169.93,1170.52,17912100,2022-09-28 02:00:00
1170.28,1174.0,1168.94,1169.55,14159600,2022-09-28 03:00:00
1169.45,1169.57,1164.71,1167.96,8029600,2022-09-28 04:00:00
1167.72,1177.27,1165.76,1169.22,29101500,2022-09-28 06:00:00
1169.06,1173.55,1160.66,1160.66,32680100,2022-09-28 07:00:00
1166.59,1177.21,1166.59,1169.82,15968200,2022-09-29 02:00:00
1169.91,1171.49,1164.71,1169.26,17744600,2022-09-29 03:00:00
1169.17,1169.85,1165.49,1167.5,6953400,2022-09-29 04:00:00
1166.05,1167.15,1159.13,1165.02,37615800,2022-09-29 06:00:00
1165.17,1165.86,1147.44,1147.44,35086400,2022-09-29 07:00:00
1147.44,1147.44,1147.44,1147.44,0,2022-09-29 08:00:00
1140.18,1145.53,1138.8,1142.85,22810600,2022-09-30 02:00:00
1142.87,1148.92,1139.61,1142.4,23675500,2022-09-30 03:00:00
1142.26,1144.8,1136.29,1136.89,15691100,2022-09-30 04:00:00
1135.6,1145.36,1128.57,1140.96,59069600,2022-09-30 06:00:00
1140.44,1158.2,1140.42,1152.01,43860960,2022-09-30 07:00:00
1141.87,1144.95,1134.04,1134.67,15592900,2022-10-03 02:00:00
1134.7,1134.96,1123.41,1124.2,32427500,2022-10-03 03:00:00
1124.5,1126.58,1119.54,1119.92,12916100,2022-10-03 04:00:00
1121.02,1122.79,1110.28,1116.97,58688900,2022-10-03 06:00:00
1116.36,1118.94,1094.49,1102.0,69601240,2022-10-03 07:00:00
1113.8,1117.87,1105.83,1106.02,34739800,2022-10-04 02:00:00
1106.12,1110.62,1097.26,1097.26,25243200,2022-10-04 03:00:00
1097.36,1106.9,1096.69,1105.6,14342400,2022-10-04 04:00:00
1104.49,1116.73,1104.25,1109.43,42057300,2022-10-04 06:00:00
1108.87,1109.92,1088.41,1097.72,60175600,2022-10-04 07:00:00
1114.6,1118.18,1112.26,1116.81,28059700,2022-10-05 02:00:00
1116.85,1121.32,1114.77,1119.52,26155600,2022-10-05 03:00:00
1119.57,1120.57,1115.74,1116.47,7511800,2022-10-05 04:00:00
1116.6,1121.24,1113.48,1116.28,30864637,2022-10-05 06:00:00
1116.13,1128.94,1115.94,1117.38,38039600,2022-10-05 07:00:00
1117.7,1119.76,1104.51,1106.25,14001400,2022-10-06 02:00:00
1106.43,1107.43,1098.14,1099.8,24726200,2022-10-06 03:00:00
1098.94,1103.63,1096.45,1098.49,12740100,2022-10-06 04:00:00
1096.4,1100.19,1088.79,1094.56,45124900,2022-10-06 06:00:00
1094.66,1094.66,1079.75,1081.36,57389900,2022-10-06 07:00:00
1064.72,1067.03,1037.4,1041.11,53959200,2022-10-07 02:00:00
1039.56,1049.35,1030.73,1031.55,80219180,2022-10-07 03:00:00
1031.42,1038.02,1031.42,1037.01,23329500,2022-10-07 04:00:00
1034.25,1043.73,1027.64,1034.19,73928440,2022-10-07 06:00:00
1034.05,1046.05,1028.7,1039.54,62640650,2022-10-07 07:00:00
1025.48,1031.66,1017.66,1025.67,41392200,2022-10-10 02:00:00
1025.78,1026.38,1011.44,1018.71,49950802,2022-10-10 03:00:00
1018.79,1034.63,1018.69,1029.62,25148440,2022-10-10 04:00:00
1028.84,1045.03,1028.63,1042.02,53911860,2022-10-10 06:00:00
1041.88,1052.24,1038.93,1038.93,38559400,2022-10-10 07:00:00
1031.12,1031.12,1014.03,1017.56,31663967,2022-10-11 02:00:00
1017.67,1019.85,1007.0,1008.88,30489848,2022-10-11 03:00:00
