open,high,low,close,volume,tradingDate
588.33,594.08,588.01,594.08,154756804,2015-06-22
592.44,595.11,590.76,593.07,130756238,2015-06-23
592.19,594.01,589.02,590.02,128936836,2015-06-24
589.29,590.37,585.34,587.99,114600820,2015-06-25
586.04,592.59,581.75,581.75,152466275,2015-06-26
580.16,591.75,579.61,591.75,121736895,2015-06-29
588.77,598.98,588.77,593.05,156142734,2015-06-30
594.52,594.52,587.33,591.5,133315191,2015-07-01
591.5,605.7,590.52,605.7,136673256,2015-07-02
608.82,617.96,608.82,616.43,164545634,2015-07-03
618.75,625.34,618.65,625.22,179746153,2015-07-06
623.89,633.73,620.59,630.27,175372826,2015-07-07
618.75,625.51,618.33,623.17,191326801,2015-07-08
616.2,626.38,613.34,622.1,148192176,2015-07-09
627.56,630.79,624.7,627.28,216869471,2015-07-10
631.56,635.17,627.69,634.06,140485030,2015-07-13
635.55,640.43,628.43,638.69,155025876,2015-07-14
640.43,641.06,630.89,630.89,141789461,2015-07-15
627.32,632.21,622.57,626.9,132735829,2015-07-16
628.45,631.67,626.21,628.63,106876812,2015-07-17
624.84,624.84,616.11,620.54,120577490,2015-07-20
619.9,624.47,613.83,616.61,100715190,2015-07-21
614.78,629.94,613.58,629.85,120809536,2015-07-22
632.07,637.91,631.43,632.01,120931816,2015-07-23
633.27,634.51,628.42,631.26,111646685,2015-07-24
629.68,636.84,629.42,635.46,123978732,2015-07-27
636.58,639.54,631.47,631.47,155012385,2015-07-28
632.0,634.64,624.7,624.7,114155520,2015-07-29
625.46,627.11,622.43,626.57,102580431,2015-07-30
628.31,629.97,621.06,621.06,112601314,2015-07-31
617.12,617.12,605.63,609.47,129802560,2015-08-03
607.95,609.91,600.76,600.76,83579840,2015-08-04
600.68,608.21,600.68,607.08,108568356,2015-08-05
607.84,609.31,600.85,601.04,110438300,2015-08-06
601.57,604.04,597.75,603.76,87763805,2015-08-07
603.82,614.53,603.82,614.53,90733790,2015-08-10
615.17,619.69,611.17,613.05,119704416,2015-08-11
609.33,611.46,602.01,604.24,112168470,2015-08-12
598.24,598.24,590.44,594.26,126466967,2015-08-13
592.8,598.55,585.97,589.03,90668550,2015-08-14
588.67,591.2,571.26,573.15,108220070,2015-08-17
571.31,580.22,571.22,580.22,93866701,2015-08-18
576.44,580.99,569.21,577.82,106329590,2015-08-19
577.82,577.82,565.09,566.69,113118145,2015-08-20
559.34,559.97,542.31,556.3,185890140,2015-08-21
550.48,550.48,523.55,526.93,174559919,2015-08-24
511.13,535.48,511.13,529.98,177692294,2015-08-25
530.05,545.89,530.05,545.89,124142260,2015-08-26
551.89,558.93,551.44,555.81,127733040,2015-08-27
561.36,570.87,559.35,570.87,165727370,2015-08-28
573.1,573.1,563.99,564.75,127965687,2015-08-31
565.75,569.18,561.28,562.31,98666090,2015-09-01
559.32,561.43,551.47,554.3,93471190,2015-09-03
554.85,558.9,554.77,556.81,66984681,2015-09-04
557.07,560.09,554.44,554.93,75024450,2015-09-07
554.48,566.72,554.34,566.72,107299931,2015-09-08
574.06,574.73,569.69,572.34,89599390,2015-09-09
567.51,576.13,567.09,572.07,70327858,2015-09-10
572.14,573.99,566.18,566.74,94986910,2015-09-11
569.61,572.25,561.46,562.17,84875711,2015-09-14
564.38,565.05,561.1,563.27,85238120,2015-09-15
561.86,564.82,561.69,564.13,74657307,2015-09-16
563.93,565.85,562.48,562.48,88373514,2015-09-17
564.69,569.5,564.69,566.25,153413503,2015-09-18
566.74,572.26,565.16,572.12,109412321,2015-09-21
573.09,575.17,570.26,573.2,121249664,2015-09-22
570.64,573.85,569.51,572.72,107830778,2015-09-23
573.5,575.36,570.12,570.25,107033234,2015-09-24
570.41,572.09,567.71,570.38,79089825,2015-09-25
571.29,572.15,564.88,564.88,86044001,2015-09-28
559.83,561.76,557.65,561.19,93139990,2015-09-29
562.5,565.65,562.5,562.64,83821689,2015-09-30
563.39,565.63,563.23,563.54,82587308,2015-10-01
563.33,565.01,561.73,564.15,67983707,2015-10-02
564.58,570.0,563.95,570.0,98664048,2015-10-05
577.45,581.38,574.63,581.29,179239993,2015-10-06
583.97,587.3,579.57,579.57,146233057,2015-10-07
580.04,588.35,579.82,586.78,194056072,2015-10-08
590.61,593.02,587.57,588.02,162687753,2015-10-09
591.67,594.74,591.54,592.1,152110985,2015-10-12
589.09,591.66,588.54,590.84,115293788,2015-10-13
592.45,593.73,589.62,589.98,113476812,2015-10-14
591.36,594.17,588.98,592.4,115345487,2015-10-15
592.4,599.74,592.4,593.02,132294470,2015-10-16
593.87,598.11,591.6,594.61,107689287,2015-10-19
594.97,596.37,588.26,590.45,127212950,2015-10-20
590.43,594.5,589.84,590.24,100314613,2015-10-21
590.24,595.81,589.74,595.08,94881079,2015-10-22
598.55,602.55,598.25,601.74,104409506,2015-10-23
604.41,606.79,598.61,598.61,102759469,2015-10-26
597.8,600.51,595.62,598.44,106258088,2015-10-27
599.09,601.09,596.24,596.24,119718630,2015-10-28
599.32,605.2,598.8,605.2,102964589,2015-10-29
605.49,608.01,603.93,607.37,91228743,2015-10-30
607.93,610.17,601.99,602.76,123804242,2015-11-02
605.32,611.71,600.46,611.71,116501092,2015-11-03
617.6,617.77,610.6,610.6,112568865,2015-11-04
609.49,616.46,608.53,615.18,99747811,2015-11-05
615.54,617.79,608.89,612.36,109916849,2015-11-06
612.29,613.79,610.35,610.66,122658556,2015-11-09
609.3,610.6,605.08,605.27,119828327,2015-11-10
604.13,609.24,603.34,603.53,95353677,2015-11-11
602.02,605.58,595.86,605.58,144360576,2015-11-12
604.41,611.27,603.72,611.27,159048896,2015-11-13
609.77,611.92,605.39,609.21,137771821,2015-11-16
609.46,611.18,605.05,605.05,171375598,2015-11-17
603.32,606.62,602.13,603.34,123130657,2015-11-18
604.38,605.56,600.84,601.9,122666073,2015-11-19
602.11,606.58,601.9,604.46,140714933,2015-11-20
605.89,607.69,599.99,599.99,153192570,2015-11-23
