open,high,low,close,volume,tradingDate
4223.0,4223.0,4223.0,4200.0,0,2015-07-02
4039.0,4039.0,3966.0,4000.0,3400,2015-07-03
3966.0,3966.0,3966.0,4000.0,0,2015-07-06
4039.0,4076.0,4039.0,4000.0,1400,2015-07-07
4076.0,4406.0,4076.0,4100.0,11900,2015-07-08
4406.0,4406.0,4406.0,4400.0,4000,2015-07-09
4406.0,4406.0,4406.0,4400.0,13200,2015-07-10
4443.0,5067.0,4443.0,4800.0,66300,2015-07-13
5434.0,5508.0,5361.0,5400.0,52855,2015-07-14
5875.0,5875.0,5471.0,5500.0,1100,2015-07-15
4700.0,5177.0,4700.0,4900.0,18800,2015-07-16
4406.0,4994.0,4406.0,4900.0,6300,2015-07-17
4333.0,4480.0,4333.0,4300.0,8400,2015-07-20
4333.0,4406.0,4333.0,4300.0,5900,2015-07-21
4259.0,4259.0,4259.0,4300.0,400,2015-07-22
4296.0,4296.0,4296.0,4300.0,200,2015-07-23
4370.0,4370.0,4296.0,4400.0,10100,2015-07-24
4333.0,4333.0,4259.0,4300.0,8700,2015-07-27
4259.0,4259.0,4259.0,4300.0,0,2015-07-28
4223.0,4223.0,4223.0,4200.0,5600,2015-07-29
4076.0,4112.0,4039.0,4000.0,2100,2015-07-30
4406.0,4406.0,4406.0,4400.0,1100,2015-07-31
4406.0,4406.0,4406.0,4400.0,5000,2015-08-03
4406.0,4406.0,4406.0,4400.0,0,2015-08-04
4406.0,4406.0,4406.0,4400.0,0,2015-08-05
4406.0,4406.0,4406.0,4400.0,0,2015-08-06
4223.0,4223.0,4223.0,4200.0,900,2015-08-07
4259.0,4406.0,4259.0,4400.0,24300,2015-08-10
4443.0,4443.0,4443.0,4400.0,3000,2015-08-11
4406.0,4480.0,4406.0,4500.0,10700,2015-08-12
4406.0,4406.0,4333.0,4300.0,11000,2015-08-13
4333.0,4333.0,4333.0,4300.0,0,2015-08-14
4333.0,4333.0,4333.0,4300.0,0,2015-08-17
4223.0,4223.0,4223.0,4200.0,900,2015-08-18
4223.0,4223.0,4223.0,4200.0,0,2015-08-19
4370.0,4370.0,4370.0,4400.0,3000,2015-08-20
4112.0,4112.0,3966.0,4100.0,8600,2015-08-21
3929.0,4076.0,3929.0,4000.0,5000,2015-08-24
4076.0,4076.0,4076.0,4100.0,0,2015-08-25
4112.0,4112.0,4112.0,4100.0,11000,2015-08-26
4112.0,4223.0,4112.0,4200.0,5300,2015-08-27
4186.0,4259.0,4186.0,4200.0,13000,2015-08-28
4223.0,4406.0,4223.0,4300.0,18300,2015-08-31
4406.0,4773.0,4406.0,4500.0,13900,2015-09-01
4773.0,4773.0,4773.0,4800.0,100,2015-09-03
4223.0,4516.0,4112.0,4100.0,4100,2015-09-04
4406.0,4406.0,4406.0,4400.0,111,2015-09-07
4443.0,4443.0,4443.0,4400.0,110,2015-09-08
4443.0,4443.0,4443.0,4400.0,0,2015-09-09
4443.0,4443.0,4443.0,4400.0,0,2015-09-10
4443.0,5104.0,4443.0,4500.0,9100,2015-09-11
4737.0,4737.0,4553.0,4600.0,3100,2015-09-14
4627.0,4627.0,4627.0,4600.0,100,2015-09-15
4663.0,4663.0,4590.0,4600.0,1100,2015-09-16
4627.0,5251.0,4627.0,4700.0,8100,2015-09-17
4737.0,4737.0,4406.0,4600.0,4400,2015-09-18
4590.0,4737.0,4590.0,4600.0,8300,2015-09-21
4737.0,4737.0,4663.0,4700.0,4000,2015-09-22
4957.0,4957.0,4700.0,4700.0,3300,2015-09-23
4957.0,4957.0,4590.0,4700.0,19400,2015-09-24
4810.0,4810.0,4773.0,4800.0,1500,2015-09-25
4773.0,5141.0,4773.0,4800.0,6400,2015-09-28
4994.0,5324.0,4663.0,4900.0,1400,2015-09-29
4773.0,5104.0,4737.0,4800.0,4000,2015-09-30
4994.0,4994.0,4590.0,4800.0,6200,2015-10-01
4957.0,4957.0,4223.0,4300.0,72600,2015-10-02
