open,high,low,close,volume,tradingDate
4993.0,4993.0,3271.0,4132.0,1040,2009-07-16
3704.0,4281.0,3613.0,4235.0,170,2009-07-22
4128.0,5683.0,3397.0,4364.0,6110,2009-07-27
6102.0,6704.0,5009.0,6704.0,70,2009-08-03
7373.0,8916.0,7373.0,8916.0,30,2009-08-10
9808.0,9808.0,5281.0,5281.0,6720,2009-08-17
4767.0,4767.0,3207.0,3207.0,32650,2009-08-24
2949.0,3257.0,2743.0,2949.0,1262532,2009-08-31
2537.0,2537.0,2299.0,2384.0,13115,2009-09-11
2315.0,2829.0,2315.0,2606.0,38950,2009-09-14
2606.0,2607.0,2145.0,2452.0,16765,2009-09-21
2452.0,3036.0,2229.0,2658.0,28110,2009-09-28
3073.0,3371.0,2264.0,2281.0,13990,2009-10-05
2281.0,2451.0,2246.0,2367.0,34470,2009-10-12
2401.0,2952.0,2247.0,2247.0,16905,2009-10-19
2126.0,2264.0,1899.0,2195.0,39950,2009-10-26
2401.0,2401.0,1920.0,2109.0,4020,2009-11-02
2259.0,2258.0,1681.0,1698.0,14250,2009-11-09
1715.0,2364.0,1715.0,2364.0,3370,2009-11-16
1831.0,1832.0,1359.0,0.0,3510,2009-11-23
1389.0,1389.0,1372.0,1372.0,3020,2009-11-30
1783.0,1799.0,1684.0,1684.0,2000,2009-12-09
1715.0,1715.0,1715.0,1715.0,18900,2009-12-15
2143.0,2143.0,2143.0,2143.0,840,2009-12-23
1765.0,1872.0,1765.0,1872.0,3070,2010-01-05
1801.0,1886.0,1801.0,1886.0,10,2010-01-11
1664.0,1664.0,1629.0,1629.0,3180,2010-01-26
1440.0,1457.0,1440.0,1440.0,4600,2010-02-05
1715.0,1715.0,1364.0,1614.0,2340,2010-03-01
1715.0,1983.0,1543.0,1647.0,3390,2010-03-08
1886.0,1886.0,1310.0,1646.0,6250,2010-03-15
1801.0,1801.0,1324.0,1324.0,4300,2010-03-22
1595.0,1749.0,1391.0,1526.0,3235,2010-03-29
1618.0,1673.0,1372.0,1372.0,13230,2010-04-05
1509.0,1698.0,1252.0,1595.0,5950,2010-04-12
1730.0,1801.0,1526.0,1630.0,16745,2010-04-19
1624.0,1955.0,1462.0,1629.0,10930,2010-04-26
1748.0,2117.0,1512.0,1972.0,86032,2010-05-04
2375.0,2375.0,1544.0,1750.0,59610,2010-05-10
1670.0,2013.0,1420.0,1994.0,36595,2010-05-17
1852.0,1852.0,1479.0,1479.0,78240,2010-05-25
1800.0,1959.0,1267.0,1543.0,6510,2010-05-31
1439.0,1855.0,1284.0,1838.0,1650,2010-06-07
1646.0,1828.0,1499.0,1698.0,2360,2010-06-14
1852.0,1852.0,1341.0,1561.0,2390,2010-06-21
1644.0,1803.0,1255.0,1595.0,15557,2010-06-28
1680.0,2774.0,1614.0,1886.0,179711,2010-07-05
2075.0,2210.0,1800.0,1869.0,50669,2010-07-12
1954.0,2113.0,1731.0,1749.0,28500,2010-07-19
1681.0,1782.0,1646.0,0.0,15400,2010-07-26
1715.0,1715.0,1458.0,1561.0,6600,2010-08-02
1629.0,1629.0,1377.0,1509.0,23700,2010-08-09
1543.0,1612.0,1422.0,1494.0,44000,2010-08-16
1423.0,1458.0,1318.0,1458.0,22500,2010-08-23
1388.0,1561.0,1353.0,1475.0,22200,2010-08-30
1491.0,1508.0,1372.0,1389.0,29700,2010-09-06
1389.0,1439.0,1289.0,1389.0,13500,2010-09-13
1406.0,1406.0,1372.0,1389.0,4200,2010-09-20
1269.0,1423.0,1201.0,1269.0,20000,2010-09-27
1235.0,1320.0,1149.0,1200.0,11600,2010-10-04
1200.0,1286.0,1183.0,1252.0,27600,2010-10-11
1200.0,1303.0,1114.0,1114.0,21300,2010-10-18
1132.0,1252.0,1115.0,1115.0,8000,2010-10-25
1115.0,1252.0,1115.0,1252.0,2200,2010-11-01
1269.0,1303.0,1081.0,1115.0,16700,2010-11-08
1029.0,1029.0,926.0,1012.0,24600,2010-11-15
960.0,1097.0,943.0,978.0,27300,2010-11-22
994.0,1235.0,995.0,1235.0,68700,2010-11-29
1303.0,1303.0,960.0,1132.0,69100,2010-12-06
1183.0,1252.0,1080.0,1149.0,51600,2010-12-13
1080.0,1098.0,1029.0,1080.0,16700,2010-12-20
1063.0,1269.0,1046.0,1217.0,102800,2010-12-27
1200.0,1200.0,1115.0,1115.0,5000,2011-01-04
1132.0,1200.0,1029.0,1132.0,10700,2011-01-10
1183.0,1337.0,1166.0,1166.0,18800,2011-01-17
1200.0,1200.0,1063.0,1183.0,16600,2011-01-24
1115.0,1218.0,1115.0,1218.0,1900,2011-02-08
1218.0,1217.0,1063.0,1200.0,12400,2011-02-14
1080.0,1149.0,1012.0,1149.0,19700,2011-02-21
1149.0,1149.0,1063.0,1080.0,10600,2011-02-28
1080.0,1218.0,978.0,1218.0,600,2011-03-07
1218.0,1218.0,1098.0,1183.0,800,2011-03-14
1183.0,1218.0,1080.0,1149.0,12300,2011-03-21
1200.0,1218.0,1200.0,1218.0,200,2011-03-28
1132.0,1218.0,1132.0,1200.0,6300,2011-04-04
1200.0,1200.0,1080.0,1166.0,2800,2011-04-13
994.0,1321.0,994.0,1269.0,6100,2011-04-18
1166.0,1200.0,1080.0,1080.0,5300,2011-04-25
1183.0,1183.0,1115.0,1183.0,1900,2011-05-04
1183.0,1200.0,1029.0,1132.0,9200,2011-05-09
1176.0,1176.0,921.0,980.0,15700,2011-05-16
921.0,1039.0,882.0,1039.0,15700,2011-05-23
960.0,1058.0,960.0,1058.0,17500,2011-05-30
1019.0,1137.0,999.0,1058.0,30300,2011-06-06
980.0,1019.0,921.0,980.0,29200,2011-06-13
960.0,1058.0,921.0,1058.0,40900,2011-06-20
1058.0,1176.0,1000.0,1098.0,28100,2011-06-27
999.0,1156.0,941.0,941.0,32900,2011-07-04
980.0,1078.0,882.0,882.0,31200,2011-07-11
902.0,980.0,882.0,882.0,12000,2011-07-18
902.0,902.0,823.0,823.0,100,2011-07-25
823.0,901.0,745.0,882.0,28400,2011-08-01
803.0,902.0,804.0,843.0,35000,2011-08-08
784.0,980.0,784.0,882.0,1800,2011-08-15
960.0,980.0,882.0,980.0,17200,2011-08-22
882.0,1019.0,882.0,1019.0,500,2011-08-29
921.0,1078.0,921.0,1058.0,10000,2011-09-05
960.0,1078.0,882.0,941.0,9100,2011-09-12
960.0,1156.0,961.0,1058.0,900,2011-09-19
1058.0,1136.0,1019.0,1098.0,3100,2011-09-26
1078.0,1176.0,980.0,1078.0,2800,2011-10-03
1039.0,1274.0,941.0,1274.0,3500,2011-10-10
1156.0,1156.0,999.0,999.0,700,2011-10-17
1078.0,1176.0,1078.0,1176.0,400,2011-10-24
1176.0,1215.0,1039.0,1039.0,1700,2011-10-31
980.0,1156.0,941.0,1156.0,1500,2011-11-07
1156.0,1156.0,1058.0,1058.0,2300,2011-11-14
1176.0,1176.0,1058.0,1098.0,1000,2011-11-21
1196.0,1195.0,999.0,1058.0,500,2011-11-28
1117.0,1313.0,1097.0,1235.0,700,2011-12-05
1235.0,1254.0,1058.0,1156.0,600,2011-12-12
