open,high,low,close,volume,tradingDate
3543.0,6216.0,4583.0,5065.0,411600,2006-11-21
3929.0,6085.0,4622.0,5777.0,1258000,2006-12-01
4429.0,7974.0,5720.0,7613.0,1611200,2007-01-02
5978.0,10503.0,7331.0,9564.0,1061100,2007-02-01
7559.0,11562.0,8587.0,9911.0,2277100,2007-03-01
7867.0,10825.0,8090.0,9135.0,1550100,2007-04-02
8874.0,9015.0,7908.0,8082.0,2134800,2007-05-02
8072.0,8445.0,5541.0,6327.0,2260400,2007-06-01
6117.0,6568.0,5365.0,5781.0,3465200,2007-07-02
5766.0,6117.0,5766.0,5966.0,2581600,2007-08-01
6016.0,7879.0,5961.0,7721.0,4124200,2007-09-04
7872.0,9805.0,7596.0,9275.0,7220700,2007-10-01
9526.0,9957.0,7316.0,8774.0,6845900,2007-11-01
8799.0,8984.0,8087.0,8222.0,5143000,2007-12-03
7019.0,7693.0,6106.0,6829.0,5922200,2008-01-02
6779.0,6949.0,5145.0,5315.0,5035400,2008-02-01
5415.0,5805.0,4011.0,4628.0,10461000,2008-03-03
4718.0,5274.0,4011.0,4156.0,4523600,2008-04-01
4186.0,4176.0,2426.0,2457.0,3811200,2008-05-05
2371.0,2469.0,1959.0,2402.0,7734000,2008-06-02
2432.0,3541.0,2416.0,3154.0,21297100,2008-07-01
3083.0,5137.0,2814.0,4793.0,26047500,2008-08-01
4933.0,5181.0,3589.0,3963.0,22881200,2008-09-03
3971.0,4243.0,2893.0,3450.0,20020000,2008-10-01
3458.0,3769.0,3159.0,3537.0,26258800,2008-11-03
3619.0,3619.0,3098.0,3143.0,24094800,2008-12-01
3154.0,3289.0,3120.0,3188.0,7867200,2009-01-02
3188.0,3167.0,2557.0,2839.0,16592100,2009-02-02
2816.0,3584.0,2681.0,3398.0,41813100,2009-03-02
3491.0,5107.0,3385.0,4305.0,76779900,2009-04-01
4561.0,5457.0,4561.0,4992.0,88431200,2009-05-04
5178.0,6978.0,5061.0,5797.0,121334700,2009-06-01
5679.0,6046.0,5029.0,5573.0,57967000,2009-07-01
5667.0,5797.0,5325.0,5679.0,44341700,2009-08-03
5679.0,5868.0,5383.0,5513.0,37314900,2009-09-01
5490.0,6034.0,5052.0,5360.0,59645600,2009-10-01
5383.0,5383.0,3815.0,4367.0,36261600,2009-11-02
4655.0,4979.0,4115.0,4451.0,30677700,2009-12-01
4439.0,4955.0,4139.0,4211.0,21948500,2010-01-04
4175.0,4415.0,4079.0,4343.0,8597100,2010-02-01
4439.0,4614.0,4264.0,4314.0,20065000,2010-03-01
4314.0,4414.0,4114.0,4176.0,13885600,2010-04-01
4239.0,4464.0,3851.0,3939.0,17724300,2010-05-04
3914.0,3976.0,3751.0,3801.0,7604700,2010-06-01
3789.0,3989.0,3751.0,3764.0,8668500,2010-07-01
3789.0,3789.0,3363.0,3488.0,7036500,2010-08-02
3538.0,3626.0,3401.0,3563.0,5553900,2010-09-01
3563.0,3588.0,3226.0,3388.0,2391300,2010-10-01
3376.0,3534.0,3001.0,3317.0,11250100,2010-11-01
3302.0,4304.0,3243.0,3773.0,21107700,2010-12-01
3832.0,3832.0,3449.0,3582.0,4813000,2011-01-04
3685.0,3744.0,3081.0,3331.0,5396800,2011-02-08
3317.0,3420.0,3154.0,3361.0,9913000,2011-03-01
3375.0,3508.0,3268.0,3299.0,7759800,2011-04-01
3329.0,3420.0,2919.0,3101.0,6735700,2011-05-04
3086.0,3344.0,3086.0,3162.0,9081700,2011-06-01
3162.0,3299.0,3116.0,3162.0,6710700,2011-07-01
3162.0,3314.0,2979.0,3223.0,6804700,2011-08-01
3238.0,3663.0,3238.0,3268.0,6993400,2011-09-01
3268.0,3451.0,3223.0,3283.0,6711000,2011-10-03
3268.0,3268.0,2979.0,2995.0,9669700,2011-11-01
2979.0,3314.0,2979.0,3283.0,8688100,2011-12-01
3350.0,3585.0,3183.0,3551.0,2332300,2012-01-03
3568.0,4054.0,3434.0,3886.0,11677900,2012-02-01
