open,high,low,close,volume,tradingDate
3543.0,5854.0,4583.0,5654.0,252300,2006-11-21
4352.0,6216.0,4968.0,5046.0,218600,2006-11-27
3890.0,5621.0,4622.0,5431.0,355400,2006-12-04
4545.0,6085.0,5200.0,5508.0,269500,2006-12-11
4275.0,5600.0,5200.0,5323.0,250800,2006-12-18
4083.0,5842.0,5310.0,5777.0,323000,2006-12-25
4429.0,6162.0,5720.0,6078.0,283400,2007-01-02
4660.0,6455.0,5854.0,6248.0,322800,2007-01-08
4744.0,7218.0,6149.0,6845.0,484200,2007-01-15
5283.0,7974.0,6673.0,7366.0,402000,2007-01-22
5553.0,8086.0,7051.0,7501.0,208600,2007-01-29
5862.0,8066.0,7331.0,7516.0,330100,2007-02-05
5785.0,8381.0,7489.0,8272.0,332400,2007-02-12
6363.0,10503.0,8313.0,9526.0,449900,2007-02-26
7405.0,11377.0,9656.0,10953.0,719700,2007-03-05
8909.0,11437.0,8909.0,10794.0,465100,2007-03-12
8446.0,11562.0,10062.0,10143.0,571400,2007-03-19
7752.0,10982.0,8799.0,9911.0,379800,2007-03-26
7867.0,10098.0,8822.0,9834.0,242300,2007-04-02
7520.0,10825.0,9700.0,10258.0,435800,2007-04-09
7983.0,10350.0,9130.0,9333.0,530400,2007-04-16
8724.0,9522.0,8090.0,9135.0,341600,2007-04-23
8874.0,9015.0,8041.0,8248.0,297500,2007-05-02
8423.0,8669.0,8222.0,8468.0,569000,2007-05-07
8624.0,8688.0,8308.0,8418.0,457400,2007-05-14
8473.0,8563.0,8278.0,8398.0,503100,2007-05-21
8423.0,8445.0,7908.0,8172.0,449600,2007-05-28
8072.0,8146.0,7516.0,7671.0,402000,2007-06-04
7721.0,7637.0,6824.0,7430.0,692500,2007-06-11
7470.0,7667.0,6842.0,7044.0,508400,2007-06-18
7019.0,7019.0,5541.0,6327.0,515700,2007-06-25
6117.0,6367.0,5365.0,6031.0,1368400,2007-07-02
5966.0,6568.0,5866.0,6367.0,828500,2007-07-09
6267.0,6317.0,6067.0,6147.0,582300,2007-07-16
6217.0,6217.0,5766.0,5916.0,533100,2007-07-23
5766.0,6117.0,5766.0,5866.0,498100,2007-07-30
5916.0,6117.0,5766.0,5931.0,535500,2007-08-06
6016.0,6016.0,5866.0,5871.0,584900,2007-08-13
5866.0,6117.0,5816.0,5941.0,613500,2007-08-20
5916.0,6067.0,5866.0,5966.0,502500,2007-08-27
6016.0,6217.0,5966.0,6001.0,522100,2007-09-04
6016.0,6102.0,5961.0,6077.0,456300,2007-09-10
6067.0,7349.0,6116.0,6753.0,1577800,2007-09-17
6819.0,7879.0,6905.0,7721.0,1568000,2007-09-24
7872.0,8779.0,7596.0,8042.0,1629300,2007-10-01
8212.0,9025.0,8022.0,8548.0,1554600,2007-10-08
8624.0,8764.0,8262.0,8473.0,1328400,2007-10-15
8523.0,8579.0,7891.0,8373.0,1094700,2007-10-22
8423.0,9957.0,8348.0,9175.0,2738300,2007-10-29
9125.0,9161.0,8348.0,8463.0,1313600,2007-11-05
8473.0,9073.0,7316.0,8473.0,1568600,2007-11-12
8523.0,9095.0,8213.0,8749.0,1453900,2007-11-19
8929.0,9005.0,8684.0,8774.0,1385200,2007-11-26
8799.0,8984.0,8679.0,8744.0,1138400,2007-12-03
8734.0,8768.0,8203.0,8253.0,1239300,2007-12-10
8298.0,8529.0,8172.0,8383.0,1092900,2007-12-17
8423.0,8664.0,8087.0,8222.0,1672400,2007-12-24
7019.0,7693.0,6909.0,6969.0,919100,2008-01-02
6979.0,6933.0,6513.0,6643.0,1017700,2008-01-07
6618.0,6884.0,6106.0,6668.0,1668900,2008-01-14
6668.0,6744.0,6238.0,6367.0,1146100,2008-01-21
6418.0,7073.0,6377.0,6879.0,1485700,2008-01-28
6919.0,6919.0,6583.0,6608.0,462200,2008-02-12
6568.0,6568.0,5205.0,5465.0,2380800,2008-02-18
5465.0,6004.0,5145.0,5315.0,1877100,2008-02-25
5415.0,5511.0,4241.0,5435.0,2194200,2008-03-03
5976.0,5805.0,5040.0,5460.0,2652200,2008-03-10
5415.0,5373.0,4435.0,4863.0,2712100,2008-03-17
4813.0,4759.0,4011.0,4537.0,2888400,2008-03-24
4628.0,4999.0,4628.0,4999.0,51100,2008-03-31
5144.0,5274.0,4698.0,4698.0,1519600,2008-04-07
4557.0,4828.0,4402.0,4497.0,901400,2008-04-16
4412.0,4422.0,4011.0,4136.0,1565700,2008-04-21
4136.0,4265.0,4067.0,4156.0,499900,2008-04-28
4186.0,4176.0,3630.0,3630.0,731100,2008-05-05
3525.0,3525.0,3109.0,3129.0,703000,2008-05-12
3058.0,3058.0,2717.0,2717.0,289000,2008-05-19
2637.0,2637.0,2426.0,2457.0,2088100,2008-05-26
2371.0,2407.0,2111.0,2111.0,1040300,2008-06-02
2051.0,2141.0,1959.0,2141.0,1838400,2008-06-09
2201.0,2266.0,2110.0,2121.0,1448100,2008-06-16
2041.0,2469.0,2123.0,2376.0,3008400,2008-06-23
2407.0,2737.0,2325.0,2737.0,2611400,2008-06-30
2843.0,2978.0,2574.0,2978.0,4808300,2008-07-07
3093.0,3451.0,3093.0,3359.0,5601900,2008-07-14
3459.0,3541.0,2953.0,2968.0,3580900,2008-07-21
2868.0,3264.0,2984.0,3068.0,5993500,2008-07-28
2973.0,3134.0,2814.0,3108.0,3914100,2008-08-04
3204.0,3680.0,3204.0,3680.0,4489300,2008-08-11
3936.0,4448.0,3699.0,4312.0,9323000,2008-08-18
4362.0,5137.0,4334.0,4793.0,7421000,2008-08-25
4933.0,5181.0,4708.0,4748.0,4258400,2008-09-03
4703.0,4745.0,4122.0,4165.0,7001100,2008-09-08
3901.0,4757.0,3589.0,3932.0,5314800,2008-09-15
4095.0,4452.0,3815.0,4367.0,5419500,2008-09-22
4390.0,4403.0,3885.0,4087.0,3181700,2008-09-29
3885.0,4016.0,3132.0,3163.0,5163000,2008-10-06
3124.0,3676.0,3069.0,3442.0,3245000,2008-10-13
3450.0,3629.0,3108.0,3155.0,3374200,2008-10-20
3108.0,3489.0,2893.0,3450.0,5943500,2008-10-27
3458.0,3736.0,3240.0,3326.0,6937100,2008-11-03
3543.0,3578.0,3159.0,3529.0,6423800,2008-11-10
3504.0,3769.0,3422.0,3537.0,6931900,2008-11-17
3628.0,3669.0,3251.0,3537.0,5966000,2008-11-24
3619.0,3619.0,3323.0,3368.0,5921100,2008-12-01
3391.0,3379.0,3143.0,3312.0,5978900,2008-12-08
3380.0,3538.0,3189.0,3301.0,6319300,2008-12-15
3312.0,3368.0,3109.0,3143.0,4030600,2008-12-22
3154.0,3211.0,3098.0,3143.0,1844900,2008-12-29
3154.0,3165.0,3120.0,3132.0,302200,2009-01-02
3154.0,3289.0,3132.0,3222.0,3589800,2009-01-05
3222.0,3222.0,3143.0,3165.0,2390200,2009-01-12
3188.0,3211.0,3132.0,3188.0,1585000,2009-01-19
3188.0,3165.0,2840.0,2963.0,3360500,2009-02-02
3132.0,3167.0,2895.0,2929.0,2205700,2009-02-09
2918.0,2940.0,2704.0,2760.0,4146700,2009-02-16
2726.0,2896.0,2557.0,2839.0,6879200,2009-02-23
2816.0,2896.0,2681.0,2861.0,5014100,2009-03-02
2850.0,3165.0,2838.0,3064.0,7546900,2009-03-09
3075.0,3566.0,3075.0,3328.0,12401100,2009-03-16
3328.0,3584.0,3200.0,3468.0,13222200,2009-03-23
3433.0,3841.0,3316.0,3793.0,13192800,2009-03-30
3956.0,4270.0,3761.0,4270.0,15909600,2009-04-07
4561.0,5107.0,4517.0,4620.0,27956600,2009-04-13
4398.0,4654.0,4015.0,4108.0,16114200,2009-04-20
4073.0,4399.0,4027.0,4305.0,7235500,2009-04-27
4561.0,5248.0,4561.0,5097.0,24946200,2009-05-04
5120.0,5293.0,4675.0,5073.0,22473500,2009-05-11
5236.0,5457.0,4933.0,5004.0,23639700,2009-05-18
4957.0,5387.0,4864.0,4992.0,17371800,2009-05-25
5178.0,5667.0,5061.0,5667.0,25193800,2009-06-01
6062.0,6978.0,6062.0,6720.0,41092900,2009-06-08
6720.0,6753.0,5766.0,5999.0,28202400,2009-06-15
6034.0,6199.0,5190.0,5857.0,20382900,2009-06-22
6034.0,6087.0,5452.0,5632.0,16831100,2009-06-29
5667.0,5953.0,5454.0,5549.0,10421900,2009-07-06
5537.0,5559.0,5230.0,5336.0,9940900,2009-07-13
5324.0,5667.0,5029.0,5667.0,10770300,2009-07-20
6022.0,6046.0,5324.0,5573.0,16465500,2009-07-27
5667.0,5667.0,5325.0,5525.0,9349600,2009-08-03
5525.0,5761.0,5502.0,5644.0,10334800,2009-08-10
5644.0,5797.0,5443.0,5655.0,9675100,2009-08-17
5691.0,5786.0,5442.0,5525.0,12050000,2009-08-24
5644.0,5739.0,5478.0,5537.0,8528600,2009-08-31
5561.0,5561.0,5383.0,5442.0,6205700,2009-09-07
5502.0,5868.0,5419.0,5573.0,12164800,2009-09-14
5584.0,5679.0,5419.0,5525.0,8846800,2009-09-21
5679.0,5797.0,5052.0,5265.0,8793200,2009-09-28
5206.0,5419.0,5158.0,5324.0,5621800,2009-10-05
5407.0,5833.0,5253.0,5549.0,12266400,2009-10-12
5502.0,6034.0,5407.0,5845.0,22147400,2009-10-19
5797.0,5821.0,5206.0,5360.0,15318000,2009-10-26
5383.0,5383.0,4910.0,5123.0,12040100,2009-11-02
4910.0,5123.0,4792.0,4886.0,8108200,2009-11-09
4957.0,4957.0,4751.0,4811.0,5068900,2009-11-16
4799.0,4799.0,3815.0,4127.0,9623400,2009-11-23
4223.0,4979.0,4211.0,4439.0,8986000,2009-11-30
4487.0,4487.0,4115.0,4187.0,6991900,2009-12-07
4199.0,4619.0,4199.0,4523.0,6627500,2009-12-14
4559.0,4667.0,4379.0,4523.0,5115200,2009-12-21
4535.0,4559.0,4355.0,4451.0,4378100,2009-12-28
4439.0,4955.0,4415.0,4655.0,8801700,2010-01-04
4631.0,4631.0,4355.0,4439.0,4352000,2010-01-11
4499.0,4499.0,4163.0,4187.0,4024000,2010-01-18
4211.0,4427.0,4139.0,4211.0,4770800,2010-01-25
4175.0,4271.0,4163.0,4199.0,3316400,2010-02-01
4199.0,4355.0,4163.0,4319.0,2527700,2010-02-08
4379.0,4415.0,4079.0,4343.0,2753000,2010-02-22
4439.0,4614.0,4379.0,4439.0,4065100,2010-03-01
4476.0,4501.0,4376.0,4389.0,3697600,2010-03-08
4439.0,4526.0,4351.0,4376.0,4496200,2010-03-15
