open,high,low,close,volume,tradingDate
6864.0,6864.0,6794.0,6794.0,3910,2015-07-14
6794.0,6794.0,6794.0,6794.0,0,2015-07-15
7144.0,7144.0,7144.0,7144.0,40,2015-07-16
7144.0,7144.0,7144.0,7144.0,0,2015-07-17
6654.0,6654.0,6654.0,6654.0,1200,2015-07-20
6514.0,6514.0,6514.0,6514.0,500,2015-07-21
6514.0,6514.0,6514.0,6514.0,1430,2015-07-22
6514.0,6514.0,6514.0,6514.0,0,2015-07-23
6514.0,6514.0,6514.0,6514.0,100,2015-07-24
6934.0,6934.0,6934.0,6934.0,100,2015-07-27
6934.0,6934.0,6934.0,6934.0,10,2015-07-28
6934.0,6934.0,6934.0,6934.0,0,2015-07-29
6934.0,6934.0,6934.0,6934.0,0,2015-07-30
6514.0,6654.0,6514.0,6654.0,520,2015-07-31
6654.0,6654.0,6654.0,6654.0,0,2015-08-03
6724.0,6724.0,6654.0,6654.0,5100,2015-08-04
6654.0,6654.0,6654.0,6654.0,1190,2015-08-05
6654.0,6654.0,6654.0,6654.0,0,2015-08-06
6654.0,6654.0,6654.0,6654.0,0,2015-08-07
6934.0,7074.0,6934.0,7074.0,6720,2015-08-10
7494.0,7564.0,7494.0,7564.0,6090,2015-08-11
8054.0,8054.0,7704.0,7844.0,38630,2015-08-12
7774.0,8054.0,7424.0,7634.0,16340,2015-08-13
7564.0,7634.0,7564.0,7564.0,1240,2015-08-14
7634.0,8054.0,7634.0,8054.0,30,2015-08-17
7704.0,7914.0,7494.0,7914.0,9730,2015-08-18
7634.0,7704.0,7424.0,7704.0,2040,2015-08-19
7214.0,7704.0,7214.0,7704.0,230,2015-08-20
7214.0,7284.0,7214.0,7214.0,10140,2015-08-21
6794.0,6794.0,6724.0,6724.0,2900,2015-08-24
7004.0,7004.0,6864.0,6864.0,5010,2015-08-25
7004.0,7004.0,6514.0,6514.0,20,2015-08-26
6934.0,6934.0,6584.0,6654.0,1100,2015-08-27
6794.0,7074.0,6794.0,7074.0,5070,2015-08-28
7284.0,7284.0,7284.0,7284.0,100,2015-08-31
7004.0,7004.0,7004.0,7004.0,40,2015-09-01
7284.0,7284.0,7284.0,7284.0,10,2015-09-03
7704.0,7704.0,7704.0,7704.0,30,2015-09-04
7704.0,7704.0,7704.0,7704.0,0,2015-09-07
8195.0,8195.0,7284.0,7284.0,1980,2015-09-08
7284.0,7284.0,7284.0,7284.0,0,2015-09-09
7354.0,7354.0,6794.0,7144.0,2070,2015-09-10
7354.0,7354.0,7354.0,7354.0,10,2015-09-11
7354.0,7354.0,7354.0,7354.0,10,2015-09-14
7354.0,7354.0,7354.0,7354.0,0,2015-09-15
7354.0,7354.0,7354.0,7354.0,0,2015-09-16
7004.0,7354.0,7004.0,7354.0,510,2015-09-17
7354.0,7354.0,7354.0,7354.0,0,2015-09-18
7354.0,7354.0,7354.0,7354.0,0,2015-09-21
7354.0,7354.0,7354.0,7354.0,0,2015-09-22
7354.0,7354.0,7354.0,7354.0,0,2015-09-23
7354.0,7354.0,7354.0,7354.0,0,2015-09-24
7284.0,7284.0,7284.0,7284.0,50,2015-09-25
7354.0,7354.0,7284.0,7284.0,2410,2015-09-28
7214.0,7214.0,6934.0,6934.0,4460,2015-09-29
7004.0,7074.0,6934.0,7074.0,2000,2015-09-30
7074.0,7564.0,7074.0,7564.0,90,2015-10-01
7354.0,7564.0,7354.0,7564.0,160,2015-10-02
7564.0,7564.0,7564.0,7564.0,0,2015-10-05
7074.0,7354.0,7074.0,7284.0,2790,2015-10-06
7284.0,7284.0,7284.0,7284.0,0,2015-10-07
6864.0,7074.0,6794.0,6794.0,10100,2015-10-08
6724.0,6724.0,6584.0,6724.0,4620,2015-10-09
6724.0,6724.0,6724.0,6724.0,0,2015-10-12
6724.0,6724.0,6724.0,6724.0,2000,2015-10-13
7004.0,7004.0,6724.0,6724.0,7980,2015-10-14
6794.0,6864.0,6794.0,6864.0,1080,2015-10-15
6654.0,6654.0,6654.0,6654.0,100,2015-10-16
6584.0,6654.0,6584.0,6654.0,1500,2015-10-19
6654.0,6654.0,6584.0,6584.0,2630,2015-10-20
6584.0,6584.0,6584.0,6584.0,0,2015-10-21
6514.0,6514.0,6514.0,6514.0,50,2015-10-22
6304.0,6584.0,6304.0,6584.0,1670,2015-10-23
6304.0,6304.0,6304.0,6304.0,2030,2015-10-26
6304.0,6304.0,6304.0,6304.0,1590,2015-10-27
6304.0,6304.0,6304.0,6304.0,0,2015-10-28
6304.0,6304.0,6304.0,6304.0,0,2015-10-29
6304.0,6304.0,6233.0,6233.0,1500,2015-10-30
6163.0,6163.0,6023.0,6023.0,1450,2015-11-02
5953.0,6444.0,5603.0,6444.0,9740,2015-11-03
6444.0,6444.0,6093.0,6304.0,8840,2015-11-04
6654.0,6654.0,6654.0,6654.0,10,2015-11-05
6864.0,6864.0,6864.0,6864.0,10,2015-11-06
6864.0,6864.0,6444.0,6444.0,410,2015-11-09
6163.0,6233.0,6163.0,6233.0,330,2015-11-10
6163.0,6163.0,5813.0,5813.0,860,2015-11-11
6163.0,6163.0,5743.0,5743.0,240,2015-11-12
5673.0,5673.0,5673.0,5673.0,700,2015-11-13
6023.0,6023.0,6023.0,6023.0,20,2015-11-16
6023.0,6023.0,6023.0,6023.0,0,2015-11-17
6444.0,6444.0,6444.0,6444.0,10,2015-11-18
6023.0,6023.0,6023.0,6023.0,850,2015-11-19
6023.0,6023.0,6023.0,6023.0,0,2015-11-20
6304.0,6444.0,6304.0,6304.0,1090,2015-11-23
6093.0,6093.0,5953.0,6093.0,5000,2015-11-24
6444.0,6444.0,6233.0,6233.0,7700,2015-11-25
6514.0,6654.0,6514.0,6654.0,480,2015-11-26
7004.0,7074.0,7004.0,7074.0,9180,2015-11-27
7354.0,7354.0,7004.0,7004.0,18170,2015-11-30
7424.0,7424.0,7004.0,7004.0,110,2015-12-01
7354.0,7494.0,7354.0,7494.0,16240,2015-12-02
7704.0,7984.0,7704.0,7984.0,8700,2015-12-03
8195.0,8475.0,8195.0,8475.0,13180,2015-12-04
8895.0,8895.0,8195.0,8545.0,3020,2015-12-07
8545.0,8615.0,7984.0,8475.0,14130,2015-12-08
7984.0,8195.0,7914.0,7914.0,310,2015-12-09
8405.0,8405.0,7424.0,7844.0,550,2015-12-10
7704.0,8125.0,7354.0,8054.0,3490,2015-12-11
8545.0,8545.0,7494.0,8054.0,170,2015-12-14
7494.0,8054.0,7494.0,7984.0,170,2015-12-15
7564.0,7984.0,7494.0,7984.0,490,2015-12-16
7494.0,7494.0,7494.0,7494.0,1470,2015-12-17
7914.0,7914.0,7004.0,7494.0,3000,2015-12-18
7704.0,7704.0,7004.0,7564.0,70,2015-12-21
7074.0,7634.0,7074.0,7074.0,2980,2015-12-22
6584.0,7354.0,6584.0,6584.0,16280,2015-12-23
6233.0,7004.0,6233.0,7004.0,2240,2015-12-24
6584.0,7354.0,6514.0,6514.0,2300,2015-12-25
6444.0,6514.0,6444.0,6514.0,5730,2015-12-28
6444.0,6514.0,6374.0,6374.0,1740,2015-12-29
6514.0,6794.0,6304.0,6794.0,4180,2015-12-30
6724.0,7144.0,6654.0,7144.0,5510,2015-12-31
6724.0,6724.0,6724.0,6724.0,70,2016-01-04
6654.0,6654.0,6654.0,6654.0,440,2016-01-05
6514.0,6514.0,6514.0,6514.0,20,2016-01-06
6514.0,6514.0,6444.0,6444.0,2280,2016-01-07
6444.0,6444.0,6444.0,6444.0,0,2016-01-08
6584.0,6584.0,6514.0,6514.0,1040,2016-01-11
6584.0,6584.0,6584.0,6584.0,970,2016-01-12
6654.0,6654.0,6654.0,6654.0,460,2016-01-13
6514.0,6514.0,6514.0,6514.0,10,2016-01-14
6864.0,6864.0,6864.0,6864.0,760,2016-01-15
6584.0,6584.0,6584.0,6584.0,590,2016-01-18
6584.0,6584.0,6584.0,6584.0,410,2016-01-19
6794.0,6794.0,6794.0,6794.0,10,2016-01-20
6794.0,6794.0,6794.0,6794.0,330,2016-01-21
6794.0,6794.0,6794.0,6794.0,0,2016-01-22
7074.0,7144.0,6794.0,7144.0,580,2016-01-25
7144.0,7144.0,6864.0,6864.0,1370,2016-01-26
6864.0,6864.0,6864.0,6864.0,0,2016-01-27
7144.0,7284.0,7144.0,7284.0,350,2016-01-28
7284.0,7284.0,6864.0,7144.0,2170,2016-01-29
7144.0,7144.0,7144.0,7144.0,0,2016-02-01
6864.0,6864.0,6864.0,6864.0,1200,2016-02-02
7144.0,7144.0,7144.0,7144.0,530,2016-02-03
7564.0,7564.0,7424.0,7424.0,700,2016-02-04
7424.0,7424.0,7424.0,7424.0,0,2016-02-05
7424.0,7424.0,7424.0,7424.0,0,2016-02-15
7214.0,7214.0,7214.0,7214.0,2000,2016-02-16
7214.0,7214.0,7214.0,7214.0,0,2016-02-17
7214.0,7214.0,7214.0,7214.0,0,2016-02-18
7284.0,7284.0,7284.0,7284.0,200,2016-02-19
7284.0,7284.0,7214.0,7214.0,1040,2016-02-22
7564.0,7564.0,7144.0,7214.0,4740,2016-02-23
7214.0,7214.0,7214.0,7214.0,2500,2016-02-24
7144.0,7144.0,7144.0,7144.0,40,2016-02-25
7144.0,7144.0,7144.0,7144.0,0,2016-02-26
7144.0,7144.0,7144.0,7144.0,40,2016-02-29
7144.0,7144.0,7004.0,7004.0,1950,2016-03-01
6724.0,7494.0,6724.0,7494.0,24080,2016-03-02
7914.0,7914.0,7004.0,7004.0,2020,2016-03-03
7354.0,7354.0,7354.0,7354.0,10,2016-03-04
7214.0,7214.0,7144.0,7144.0,3050,2016-03-07
7144.0,7214.0,7144.0,7214.0,3640,2016-03-08
7214.0,7214.0,7214.0,7214.0,10,2016-03-09
7214.0,7214.0,7144.0,7214.0,2310,2016-03-10
7354.0,7354.0,7284.0,7354.0,5010,2016-03-11
7354.0,7704.0,7284.0,7564.0,10100,2016-03-14
7634.0,7634.0,7354.0,7354.0,2290,2016-03-15
7564.0,7634.0,7354.0,7494.0,32890,2016-03-16
7704.0,7984.0,7634.0,7704.0,33920,2016-03-17
7704.0,7704.0,7494.0,7494.0,8850,2016-03-18
7354.0,7494.0,7354.0,7354.0,6250,2016-03-21
7354.0,7354.0,7354.0,7354.0,20,2016-03-22
7634.0,7634.0,7284.0,7354.0,280,2016-03-23
7284.0,7354.0,7214.0,7214.0,6360,2016-03-24
7214.0,7354.0,7074.0,7354.0,6530,2016-03-25
7354.0,7844.0,7354.0,7844.0,72850,2016-03-28
8265.0,8335.0,8265.0,8335.0,40180,2016-03-29
8895.0,8895.0,8825.0,8895.0,67360,2016-03-30
9455.0,9455.0,9175.0,9455.0,236010,2016-03-31
9455.0,9946.0,8895.0,9105.0,52990,2016-04-01
9035.0,9245.0,8615.0,8615.0,2420,2016-04-04
8615.0,8965.0,8265.0,8685.0,7000,2016-04-05
8475.0,9105.0,8475.0,9035.0,17770,2016-04-06
8615.0,8965.0,8615.0,8755.0,14270,2016-04-07
9105.0,9315.0,9105.0,9315.0,162000,2016-04-08
9805.0,9805.0,9315.0,9315.0,56530,2016-04-11
9315.0,9455.0,9175.0,9245.0,33630,2016-04-12
9105.0,9385.0,9035.0,9245.0,24660,2016-04-13
9315.0,9315.0,8755.0,9175.0,41460,2016-04-14
8825.0,9175.0,8685.0,8825.0,20120,2016-04-15
9315.0,9385.0,9245.0,9385.0,138070,2016-04-19
9805.0,9876.0,9245.0,9245.0,66660,2016-04-20
9385.0,9385.0,8965.0,9245.0,20230,2016-04-21
8895.0,9315.0,8895.0,9245.0,26050,2016-04-22
8895.0,9105.0,8825.0,9105.0,66500,2016-04-25
8825.0,9245.0,8755.0,8755.0,13900,2016-04-26
8755.0,9175.0,8615.0,9035.0,41700,2016-04-27
9035.0,9105.0,8965.0,8965.0,15010,2016-04-28
9525.0,9525.0,9385.0,9525.0,231230,2016-04-29
10156.0,10156.0,10086.0,10156.0,138130,2016-05-04
10786.0,10856.0,10506.0,10856.0,195580,2016-05-05
10576.0,11416.0,10436.0,10506.0,80580,2016-05-06
10646.0,10646.0,10016.0,10296.0,53760,2016-05-09
10156.0,10156.0,9805.0,9805.0,72190,2016-05-10
10156.0,10436.0,10086.0,10296.0,26520,2016-05-11
10296.0,10296.0,9946.0,9946.0,46240,2016-05-12
9946.0,10296.0,9946.0,10226.0,53980,2016-05-13
10226.0,10366.0,9946.0,10296.0,38560,2016-05-16
10296.0,10296.0,10226.0,10226.0,18470,2016-05-17
10156.0,10156.0,10016.0,10086.0,22310,2016-05-18
10086.0,10226.0,10016.0,10226.0,21830,2016-05-19
10366.0,10786.0,10296.0,10646.0,110570,2016-05-20
10646.0,10646.0,10366.0,10646.0,24720,2016-05-23
10296.0,10646.0,10296.0,10646.0,35200,2016-05-24
10646.0,10646.0,10366.0,10506.0,41810,2016-05-25
10576.0,10576.0,10366.0,10436.0,25000,2016-05-26
10366.0,10576.0,10366.0,10506.0,44050,2016-05-27
10436.0,10436.0,10226.0,10296.0,32880,2016-05-30
10945.0,10945.0,10134.0,10377.0,18090,2016-05-31
10377.0,10458.0,10215.0,10458.0,11130,2016-06-01
10458.0,10458.0,10215.0,10377.0,20890,2016-06-02
