open,high,low,close,volume,tradingDate
8664.0,8741.0,7117.0,7200.0,8700,2017-02-06
7194.0,7194.0,6188.0,6300.0,1800,2017-02-13
6343.0,6343.0,6343.0,6300.0,500,2017-02-20
6343.0,6343.0,4641.0,4600.0,14300,2017-02-27
4641.0,5183.0,4641.0,5100.0,31500,2017-03-06
5260.0,5338.0,5105.0,5300.0,85200,2017-03-13
5338.0,5492.0,5105.0,5200.0,101200,2017-03-20
5879.0,5879.0,4641.0,4600.0,6400,2017-03-27
4641.0,5183.0,4332.0,5200.0,40900,2017-04-03
5802.0,5802.0,5028.0,5100.0,11200,2017-04-10
4641.0,5570.0,4255.0,5600.0,600,2017-04-17
5028.0,5415.0,5028.0,5200.0,86900,2017-04-24
5105.0,5105.0,5105.0,5100.0,2000,2017-05-03
5105.0,5415.0,5028.0,5400.0,300,2017-05-08
5570.0,5570.0,4719.0,4700.0,34100,2017-05-15
4719.0,5647.0,4641.0,4600.0,2000,2017-05-22
4873.0,5415.0,4641.0,5000.0,68230,2017-05-29
5415.0,5724.0,4409.0,5000.0,22600,2017-06-05
5415.0,5415.0,4332.0,5000.0,15600,2017-06-12
5338.0,5338.0,4023.0,5000.0,34200,2017-06-19
4951.0,5338.0,4564.0,5100.0,20100,2017-06-26
5028.0,6034.0,4719.0,5800.0,48310,2017-07-03
5105.0,6962.0,5105.0,6800.0,29650,2017-07-10
6575.0,6962.0,6575.0,6900.0,14320,2017-07-17
6962.0,6962.0,6885.0,6900.0,25200,2017-07-24
6885.0,6962.0,6807.0,6800.0,11400,2017-07-31
6807.0,7039.0,6653.0,6800.0,10320,2017-08-07
6807.0,6885.0,6575.0,6900.0,9200,2017-08-14
6653.0,6885.0,6575.0,6800.0,10600,2017-08-21
6885.0,7295.0,6557.0,6600.0,2260,2017-08-28
7049.0,7049.0,6721.0,7000.0,5600,2017-09-05
7049.0,7459.0,7049.0,7400.0,19810,2017-09-11
7377.0,7377.0,7049.0,7400.0,2310,2017-09-18
7049.0,7377.0,7049.0,7300.0,20400,2017-09-25
7295.0,7295.0,7131.0,7200.0,13300,2017-10-02
7213.0,7295.0,6803.0,7200.0,28300,2017-10-09
7295.0,7295.0,6803.0,6900.0,10800,2017-10-16
6885.0,7295.0,6885.0,7300.0,1600,2017-10-23
6557.0,7295.0,6229.0,6600.0,10200,2017-10-30
6639.0,6639.0,5655.0,6000.0,6840,2017-11-06
5328.0,6639.0,5328.0,6000.0,18680,2017-11-13
6475.0,6557.0,6229.0,6500.0,2600,2017-11-20
6475.0,6557.0,6475.0,6600.0,2510,2017-11-27
6475.0,6557.0,6311.0,6500.0,2700,2017-12-04
6475.0,6557.0,6475.0,6600.0,1650,2017-12-11
6475.0,6557.0,5328.0,5600.0,7900,2017-12-18
6393.0,6557.0,5573.0,5900.0,27300,2017-12-25
6475.0,6475.0,5655.0,5900.0,2100,2018-01-02
6229.0,6229.0,5328.0,5300.0,10830,2018-01-08
5328.0,5819.0,5082.0,5700.0,4300,2018-01-15
5737.0,6147.0,5737.0,6000.0,15400,2018-01-22
5983.0,7377.0,5983.0,6900.0,29900,2018-01-29
6885.0,6967.0,6639.0,6900.0,36300,2018-02-05
6803.0,7786.0,6639.0,7100.0,26700,2018-02-12
7049.0,7131.0,7049.0,7100.0,9500,2018-02-21
7049.0,7049.0,6147.0,6200.0,5800,2018-02-26
