open,high,low,close,volume,tradingDate
11000.0,11000.0,11000.0,11000.0,0,2021-09-08
11000.0,11000.0,11000.0,11000.0,0,2021-09-09
11000.0,11000.0,11000.0,11000.0,0,2021-09-10
11000.0,11000.0,11000.0,11000.0,0,2021-09-13
11000.0,11000.0,11000.0,11000.0,0,2021-09-14
11000.0,11000.0,11000.0,11000.0,0,2021-09-15
15400.0,15400.0,15400.0,15400.0,1800,2021-09-16
17700.0,17700.0,17700.0,17700.0,114900,2021-09-17
20300.0,20300.0,18800.0,18900.0,658100,2021-09-20
19300.0,20400.0,18500.0,18600.0,760800,2021-09-21
18000.0,18000.0,16800.0,16800.0,350800,2021-09-22
16800.0,16800.0,15200.0,15400.0,104100,2021-09-23
15700.0,15700.0,14700.0,15100.0,72900,2021-09-24
15100.0,15600.0,15000.0,15500.0,291900,2021-09-27
15500.0,15700.0,15500.0,15600.0,189300,2021-09-28
15700.0,16000.0,15500.0,15900.0,199200,2021-09-29
15900.0,16000.0,15600.0,15700.0,57000,2021-09-30
15800.0,15800.0,15400.0,15500.0,168600,2021-10-01
15400.0,15400.0,15000.0,15100.0,141000,2021-10-04
15000.0,15400.0,15000.0,15200.0,322500,2021-10-05
15000.0,15400.0,15000.0,15300.0,172000,2021-10-06
15300.0,15500.0,15200.0,15400.0,155900,2021-10-07
15400.0,15400.0,15000.0,15100.0,91600,2021-10-08
15200.0,15200.0,15000.0,15000.0,347800,2021-10-11
15100.0,15100.0,14700.0,15000.0,201200,2021-10-12
17000.0,17000.0,14900.0,15100.0,172200,2021-10-13
15100.0,15200.0,15000.0,15100.0,113000,2021-10-14
15100.0,15300.0,15000.0,15000.0,172300,2021-10-15
15200.0,15200.0,14900.0,15000.0,90400,2021-10-18
15100.0,15200.0,15000.0,15000.0,99700,2021-10-19
15100.0,15100.0,15000.0,15000.0,116400,2021-10-20
15100.0,15100.0,14700.0,15000.0,94800,2021-10-21
15000.0,15300.0,15000.0,15200.0,106800,2021-10-22
15200.0,15500.0,14900.0,15100.0,494900,2021-10-25
15200.0,15300.0,15000.0,15100.0,319400,2021-10-26
15100.0,15200.0,14900.0,15000.0,287500,2021-10-27
15000.0,15100.0,14800.0,14900.0,265500,2021-10-28
15000.0,15000.0,14600.0,14700.0,280400,2021-10-29
14700.0,14900.0,14700.0,14800.0,437200,2021-11-01
14800.0,14800.0,14300.0,14400.0,404700,2021-11-02
14400.0,14400.0,14100.0,14400.0,298000,2021-11-03
14300.0,14500.0,14300.0,14400.0,294200,2021-11-04
14500.0,14700.0,14500.0,14600.0,246700,2021-11-05
14600.0,14700.0,14500.0,14600.0,430200,2021-11-08
14600.0,15100.0,14600.0,14900.0,582300,2021-11-09
15000.0,15100.0,14600.0,14800.0,347900,2021-11-10
14600.0,14800.0,14200.0,14500.0,455300,2021-11-11
14500.0,14600.0,14200.0,14400.0,505200,2021-11-12
14400.0,14500.0,14300.0,14500.0,307300,2021-11-15
14300.0,14700.0,14300.0,14600.0,548200,2021-11-16
14000.0,14700.0,14000.0,14600.0,358500,2021-11-17
14500.0,14600.0,14200.0,14400.0,508300,2021-11-18
14400.0,14500.0,13900.0,14000.0,323300,2021-11-19
14100.0,14300.0,13400.0,13600.0,490000,2021-11-22
13500.0,13600.0,13000.0,13100.0,367900,2021-11-23
13000.0,13400.0,12900.0,13100.0,324600,2021-11-24
13100.0,13300.0,13100.0,13200.0,377400,2021-11-25
13200.0,13300.0,12900.0,13200.0,393100,2021-11-26
13100.0,13200.0,12800.0,12800.0,421600,2021-11-29
12800.0,13100.0,12600.0,12600.0,324300,2021-11-30
12800.0,13000.0,12800.0,12800.0,340000,2021-12-01
12800.0,13000.0,12700.0,12800.0,327800,2021-12-02
12800.0,13000.0,12600.0,12700.0,382200,2021-12-03
12700.0,12800.0,11800.0,11800.0,211500,2021-12-06
12200.0,12500.0,11700.0,12000.0,171300,2021-12-07
12000.0,12200.0,11600.0,11900.0,172700,2021-12-08
12200.0,12500.0,11600.0,11700.0,196000,2021-12-09
11900.0,11900.0,11000.0,11400.0,434600,2021-12-10
11500.0,11600.0,11000.0,11400.0,262500,2021-12-13
11300.0,12200.0,11100.0,11900.0,308700,2021-12-14
11800.0,12100.0,11800.0,12000.0,348200,2021-12-15
12000.0,12200.0,11400.0,11700.0,266900,2021-12-16
11700.0,11800.0,11600.0,11600.0,309500,2021-12-17
11700.0,11700.0,11100.0,11300.0,199200,2021-12-20
11500.0,11500.0,11100.0,11200.0,209200,2021-12-21
11200.0,11300.0,11000.0,11200.0,212500,2021-12-22
11100.0,11300.0,11000.0,11100.0,260100,2021-12-23
11100.0,11600.0,11100.0,11600.0,473500,2021-12-24
11400.0,11500.0,11100.0,11300.0,284900,2021-12-27
11300.0,11500.0,11200.0,11300.0,354101,2021-12-28
11200.0,11400.0,11100.0,11300.0,261200,2021-12-29
11200.0,11400.0,11100.0,11400.0,216600,2021-12-30
11300.0,11500.0,11200.0,11500.0,233900,2021-12-31
11500.0,11800.0,11300.0,11800.0,260600,2022-01-04
