open,high,low,close,volume,tradingDate
5905.0,6035.0,5774.0,5774.0,1776470,2016-03-16
5470.0,5601.0,5384.0,5384.0,2198280,2016-03-17
5253.0,5253.0,5036.0,5036.0,1214690,2016-03-18
4776.0,4906.0,4689.0,4689.0,1112800,2016-03-21
4559.0,4559.0,4385.0,4385.0,789200,2016-03-22
4125.0,4385.0,4081.0,4255.0,1889130,2016-03-23
4125.0,4342.0,3994.0,4168.0,1276230,2016-03-24
4255.0,4255.0,3907.0,3907.0,1709310,2016-03-25
3734.0,3777.0,3647.0,3647.0,1937640,2016-03-28
3560.0,3734.0,3430.0,3430.0,1287940,2016-03-29
3256.0,3300.0,3213.0,3213.0,685760,2016-03-30
3169.0,3213.0,2996.0,2996.0,2852820,2016-03-31
2909.0,3126.0,2822.0,3083.0,4978100,2016-04-01
3083.0,3126.0,3039.0,3083.0,767100,2016-04-04
3039.0,3039.0,2909.0,2909.0,2271060,2016-04-05
2909.0,2952.0,2735.0,2952.0,3592890,2016-04-06
3083.0,3126.0,2779.0,3126.0,3399300,2016-04-07
3126.0,3343.0,3126.0,3343.0,2006140,2016-04-08
3386.0,3560.0,3386.0,3560.0,2111970,2016-04-11
3604.0,3647.0,3343.0,3386.0,2770120,2016-04-12
3386.0,3430.0,3256.0,3343.0,1401850,2016-04-13
3300.0,3430.0,3256.0,3256.0,913590,2016-04-14
3256.0,3343.0,3169.0,3169.0,1046720,2016-04-15
3126.0,3126.0,2952.0,2996.0,1687670,2016-04-19
2996.0,3083.0,2909.0,2909.0,578790,2016-04-20
2952.0,3083.0,2909.0,3039.0,572640,2016-04-21
3039.0,3039.0,2996.0,2996.0,414490,2016-04-22
2996.0,3039.0,2909.0,2909.0,458030,2016-04-25
2909.0,3039.0,2865.0,2996.0,377530,2016-04-26
2952.0,3083.0,2909.0,2952.0,556030,2016-04-27
2996.0,2996.0,2909.0,2952.0,250960,2016-04-28
2952.0,2952.0,2909.0,2909.0,553690,2016-04-29
2909.0,2909.0,2822.0,2822.0,825200,2016-05-04
2865.0,2865.0,2779.0,2822.0,563780,2016-05-05
2865.0,2865.0,2779.0,2822.0,270050,2016-05-06
2822.0,2822.0,2692.0,2692.0,521460,2016-05-09
2692.0,2692.0,2605.0,2648.0,521180,2016-05-10
2648.0,2779.0,2648.0,2779.0,432800,2016-05-11
2822.0,2909.0,2779.0,2779.0,461820,2016-05-12
2822.0,2822.0,2735.0,2735.0,161400,2016-05-13
2735.0,2735.0,2648.0,2692.0,231950,2016-05-16
2692.0,2735.0,2648.0,2692.0,354180,2016-05-17
2692.0,2822.0,2692.0,2735.0,384620,2016-05-18
2779.0,2779.0,2692.0,2735.0,136230,2016-05-19
2735.0,2865.0,2735.0,2865.0,545550,2016-05-20
2909.0,2996.0,2865.0,2909.0,716950,2016-05-23
2952.0,2952.0,2865.0,2865.0,118210,2016-05-24
2865.0,2909.0,2822.0,2822.0,156130,2016-05-25
