open,high,low,close,volume,tradingDate
7164.0,8813.0,6078.0,6860.0,12428930,2015-07-16
6860.0,7120.0,6643.0,6903.0,11825480,2015-08-03
6903.0,9031.0,6860.0,8466.0,17193610,2015-09-01
8466.0,10333.0,8032.0,8075.0,29412620,2015-10-01
8075.0,8900.0,7858.0,8206.0,20818500,2015-11-02
8206.0,8510.0,8206.0,8423.0,8288930,2015-12-01
8466.0,8640.0,8292.0,8466.0,6864000,2016-01-04
8466.0,9378.0,8423.0,9334.0,12761220,2016-02-01
9334.0,9682.0,2996.0,2996.0,37963820,2016-03-01
2909.0,3647.0,2735.0,2909.0,30708670,2016-04-01
2909.0,2996.0,2605.0,2822.0,7716240,2016-05-04
2822.0,3048.0,2532.0,2672.0,7509950,2016-06-01
2672.0,3516.0,2579.0,3094.0,10433710,2016-07-01
3048.0,3188.0,2672.0,2907.0,7859610,2016-08-01
2813.0,2907.0,2546.0,2612.0,7369120,2016-09-01
2612.0,2977.0,2485.0,2626.0,7307350,2016-10-03
2579.0,2682.0,2344.0,2579.0,14981480,2016-11-01
2579.0,2649.0,2251.0,2377.0,23121020,2016-12-01
2372.0,2438.0,2297.0,2438.0,8027870,2017-01-03
2429.0,2579.0,2241.0,2344.0,17116510,2017-02-02
2307.0,2368.0,2241.0,2251.0,12046930,2017-03-01
2251.0,2733.0,2110.0,2715.0,9775720,2017-04-03
2846.0,3352.0,2602.0,2954.0,16531250,2017-05-03
2991.0,3868.0,2916.0,3634.0,21840020,2017-06-01
3629.0,3770.0,3099.0,3235.0,12376090,2017-07-03
3235.0,3512.0,3141.0,3291.0,10986380,2017-08-01
3296.0,3540.0,3240.0,3296.0,9958870,2017-09-01
3282.0,3310.0,2701.0,2743.0,5911260,2017-10-02
2719.0,2944.0,2555.0,2860.0,4453670,2017-11-01
2860.0,3348.0,2677.0,2893.0,9331910,2017-12-01
2893.0,2907.0,2616.0,2743.0,4647500,2018-01-02
2743.0,2841.0,2466.0,2766.0,2540530,2018-02-01
2766.0,3024.0,2738.0,2883.0,6223020,2018-03-01
2921.0,3024.0,2579.0,2930.0,3956190,2018-04-02
2973.0,2996.0,2696.0,2813.0,1135680,2018-05-02
2813.0,2944.0,2626.0,2766.0,3625540,2018-06-01
2747.0,2752.0,2471.0,2579.0,2853570,2018-07-02
2579.0,2804.0,2415.0,2560.0,4450930,2018-08-01
2560.0,3563.0,2494.0,3259.0,13675540,2018-09-04
3291.0,3329.0,2766.0,2944.0,5039120,2018-10-01
2944.0,2944.0,2696.0,2832.0,3581870,2018-11-01
2846.0,2860.0,2405.0,2597.0,2932920,2018-12-03
2597.0,3024.0,2185.0,2879.0,4923310,2019-01-02
2883.0,3076.0,2508.0,2630.0,1937230,2019-02-01
2616.0,2944.0,2485.0,2818.0,3395110,2019-03-01
2832.0,3273.0,2719.0,3048.0,19310190,2019-04-01
3024.0,3024.0,2696.0,2705.0,14968560,2019-05-02
2705.0,2837.0,2490.0,2649.0,6999620,2019-06-03
2668.0,2813.0,2583.0,2729.0,5626210,2019-07-01
2766.0,3798.0,2626.0,3798.0,15305600,2019-08-01
3751.0,4173.0,3549.0,4126.0,12390690,2019-09-03
3967.0,4131.0,3638.0,3774.0,9286530,2019-10-01
3821.0,4496.0,3657.0,3868.0,13323570,2019-11-01
3868.0,3943.0,3638.0,3737.0,10719570,2019-12-02
3760.0,3760.0,2771.0,2907.0,7911620,2020-01-02
2907.0,3090.0,2672.0,2851.0,6412160,2020-02-03
2851.0,3259.0,1965.0,1965.0,8356200,2020-03-02
1829.0,2593.0,1829.0,2354.0,5205580,2020-04-01
2344.0,3052.0,2251.0,3001.0,9757930,2020-05-04
3001.0,3305.0,2719.0,2874.0,10637740,2020-06-01
3071.0,3660.0,2880.0,3033.0,16295490,2020-07-01
3038.0,4107.0,3038.0,3897.0,13553870,2020-08-03
3897.0,4413.0,3691.0,4207.0,18139320,2020-09-01
4213.0,4634.0,3749.0,3876.0,15688740,2020-10-01
3870.0,4528.0,3870.0,4418.0,11941240,2020-11-02
4318.0,7583.0,4239.0,6977.0,39584240,2020-12-01
7451.0,9074.0,7056.0,7447.0,34852000,2021-01-04
7916.0,9387.0,7322.0,9262.0,25654100,2021-02-01
9700.0,10326.0,8573.0,9262.0,49192600,2021-03-01
9137.0,9731.0,7510.0,8292.0,28661000,2021-04-01
8292.0,8699.0,7197.0,7791.0,27603200,2021-05-04
7822.0,9074.0,7760.0,8559.0,42640400,2021-06-01
8559.0,9100.0,7409.0,8322.0,26639900,2021-07-01
8390.0,11976.0,8356.0,11027.0,122568100,2021-08-02
10934.0,12589.0,10496.0,11277.0,99835300,2021-09-01
11246.0,16244.0,10996.0,16057.0,110317600,2021-10-01
16057.0,18400.0,14995.0,17650.0,125552200,2021-11-01
17650.0,20619.0,17650.0,18526.0,87391500,2021-12-01
18526.0,21394.0,14767.0,16821.0,63726900,2022-01-04
17441.0,21994.0,17054.0,20063.0,83903600,2022-02-07
20147.0,23379.0,20021.0,20464.0,222617800,2022-03-01
20348.0,21433.0,11821.0,15581.0,144379900,2022-04-01
15736.0,17054.0,13643.0,16278.0,120776700,2022-05-04
16201.0,16898.0,10745.0,11836.0,116425400,2022-06-01
11585.0,13305.0,10697.0,11821.0,83280000,2022-07-01
12015.0,15091.0,12015.0,14091.0,121741500,2022-08-01
14182.0,15273.0,10318.0,11182.0,106023507,2022-09-05
11136.0,11136.0,6609.0,7227.0,75846291,2022-10-03
7364.0,7509.0,4127.0,6418.0,115584913,2022-11-01
6864.0,7636.0,5564.0,5736.0,125492257,2022-12-01
5746.0,7182.0,5746.0,7000.0,57671782,2023-01-03
7173.0,7173.0,5446.0,5646.0,60975262,2023-02-01
5636.0,6000.0,5591.0,5736.0,35866287,2023-03-01
5836.0,8091.0,5773.0,7609.0,170916223,2023-04-03
7555.0,8927.0,7555.0,8864.0,184204839,2023-05-04
8955.0,9818.0,8300.0,8382.0,218557721,2023-06-01
8391.0,10182.0,8391.0,9955.0,284539884,2023-07-03
10000.0,11273.0,8682.0,10682.0,397792894,2023-08-01
10818.0,11318.0,8691.0,8982.0,305348005,2023-09-05
9082.0,9318.0,6373.0,6373.0,153033133,2023-10-02
6455.0,8364.0,6327.0,7836.0,161441851,2023-11-01
7900.0,8900.0,7691.0,8018.0,149369706,2023-12-01
8136.0,8136.0,7273.0,7518.0,111240778,2024-01-02
7546.0,8055.0,7373.0,7700.0,90091289,2024-02-01
7709.0,8355.0,7564.0,8000.0,186152773,2024-03-01
8000.0,8409.0,6982.0,7327.0,117499763,2024-04-01
7418.0,8955.0,7336.0,8718.0,191136335,2024-05-02
8855.0,9227.0,7591.0,7591.0,213209067,2024-06-03
7618.0,8182.0,6818.0,6973.0,152575597,2024-07-01
7130.0,7130.0,6170.0,6660.0,158863485,2024-08-01
6510.0,6700.0,6280.0,6540.0,81348014,2024-09-04
6550.0,6690.0,6060.0,6370.0,93908731,2024-10-01
6470.0,6810.0,6170.0,6330.0,144757490,2024-11-01
6310.0,6790.0,6130.0,6360.0,190612990,2024-12-02
6350.0,6370.0,5700.0,5820.0,75503334,2025-01-02
5910.0,6350.0,5700.0,5760.0,245722930,2025-02-03
5360.0,5360.0,4330.0,4410.0,89429124,2025-03-03
