open,high,low,close,volume,tradingDate
6034.0,6034.0,6034.0,0.0,0,2016-04-06
6034.0,6034.0,6034.0,0.0,0,2016-04-07
6034.0,6034.0,6034.0,0.0,0,2016-04-08
2699.0,2699.0,2699.0,2699.0,900,2016-04-11
2699.0,2699.0,2699.0,2699.0,0,2016-04-12
2699.0,2699.0,2699.0,2699.0,0,2016-04-13
3094.0,3094.0,3094.0,3094.0,100,2016-04-14
3094.0,3094.0,3094.0,3094.0,0,2016-04-15
3402.0,3402.0,3402.0,3402.0,400,2016-04-19
3402.0,3402.0,3402.0,3402.0,300,2016-04-20
3621.0,3621.0,3621.0,3621.0,200,2016-04-21
3621.0,3621.0,3621.0,3621.0,0,2016-04-22
3511.0,3511.0,3511.0,3511.0,200,2016-04-25
3489.0,3489.0,3292.0,3292.0,3300,2016-04-26
3292.0,3314.0,3292.0,3314.0,1700,2016-04-27
3295.0,3295.0,3295.0,3295.0,0,2016-04-28
3511.0,3775.0,3511.0,3775.0,1600,2016-04-29
4214.0,4214.0,4214.0,4214.0,700,2016-05-04
4214.0,4214.0,4214.0,4214.0,0,2016-05-05
4214.0,4214.0,4214.0,4214.0,0,2016-05-06
4828.0,4828.0,4828.0,4828.0,100,2016-05-09
4828.0,4828.0,4828.0,4828.0,0,2016-05-10
4828.0,4850.0,4828.0,4828.0,3100,2016-05-11
4850.0,4850.0,4828.0,4828.0,1700,2016-05-12
4938.0,5048.0,4938.0,5048.0,3800,2016-05-13
5157.0,5596.0,5157.0,5596.0,14300,2016-05-16
5706.0,5706.0,5706.0,5706.0,6700,2016-05-17
5706.0,5706.0,5706.0,5706.0,1300,2016-05-18
5706.0,5706.0,5706.0,5706.0,1400,2016-05-19
5706.0,5816.0,5706.0,5816.0,500,2016-05-20
5706.0,5706.0,5706.0,5706.0,2200,2016-05-23
5706.0,5706.0,5706.0,5706.0,2400,2016-05-24
5706.0,5706.0,5706.0,5706.0,0,2016-05-25
5706.0,5816.0,5706.0,5706.0,6700,2016-05-26
5816.0,5816.0,5816.0,5816.0,2500,2016-05-27
