open,high,low,close,volume,tradingDate
7970.0,9154.0,7970.0,8900.0,6200,2017-09-06
8939.0,8939.0,8077.0,8100.0,33900,2017-09-11
6893.0,7000.0,6731.0,6900.0,300,2017-09-18
6893.0,6893.0,5762.0,5800.0,1300,2017-09-25
5762.0,6731.0,5762.0,6700.0,1200,2017-10-02
6193.0,7270.0,5385.0,5400.0,2800,2017-10-09
5385.0,5816.0,4846.0,5800.0,500,2017-10-16
5816.0,5816.0,5816.0,5800.0,0,2017-10-23
5816.0,5816.0,5816.0,5800.0,0,2017-10-30
5816.0,6193.0,5816.0,6200.0,500,2017-11-06
6193.0,6193.0,6193.0,6200.0,700,2017-11-13
6193.0,6193.0,6193.0,6200.0,0,2017-11-20
6193.0,6193.0,6193.0,6200.0,2100,2017-11-27
6731.0,6731.0,6731.0,6700.0,100,2017-12-04
6731.0,7270.0,6731.0,7300.0,100,2017-12-11
7270.0,7270.0,7270.0,7300.0,0,2017-12-18
7970.0,8347.0,7970.0,8300.0,800,2017-12-25
8347.0,8347.0,8347.0,8300.0,0,2018-01-02
8347.0,8347.0,8347.0,8300.0,100,2018-01-08
8347.0,8347.0,8347.0,8300.0,0,2018-01-15
7270.0,8347.0,7270.0,7500.0,2100,2018-01-22
7539.0,7539.0,7539.0,7500.0,0,2018-01-29
7539.0,7539.0,6408.0,6500.0,3900,2018-02-05
6516.0,6516.0,6516.0,6500.0,0,2018-02-12
6516.0,6516.0,6462.0,6500.0,1100,2018-02-21
6462.0,6462.0,5923.0,5900.0,3100,2018-02-26
5923.0,6785.0,5923.0,6800.0,200,2018-03-05
6785.0,7000.0,6785.0,7000.0,1000,2018-03-12
7000.0,7808.0,7000.0,7800.0,300,2018-03-19
7808.0,7808.0,6677.0,6800.0,4100,2018-03-26
6839.0,8915.0,6839.0,8900.0,1900,2018-04-02
8915.0,9159.0,8243.0,8900.0,7000,2018-04-09
8549.0,8549.0,8549.0,8500.0,800,2018-04-16
8549.0,8549.0,7633.0,7600.0,1000,2018-04-23
7633.0,7633.0,6533.0,6500.0,120,2018-05-02
7327.0,7510.0,7327.0,7400.0,800,2018-05-07
7388.0,7388.0,5801.0,5800.0,1200,2018-05-14
5801.0,5801.0,5801.0,5800.0,0,2018-05-21
5801.0,5801.0,5801.0,5800.0,0,2018-05-28
5801.0,6639.0,5172.0,6200.0,1100,2018-06-04
6220.0,8037.0,6220.0,8000.0,2200,2018-06-11
8037.0,8037.0,7338.0,7300.0,3200,2018-06-18
7338.0,7338.0,7338.0,7300.0,0,2018-06-25
7338.0,7688.0,7338.0,7300.0,4400,2018-07-02
7478.0,7478.0,7478.0,7500.0,100,2018-07-09
7478.0,7478.0,7338.0,7300.0,1000,2018-07-16
7338.0,7338.0,7338.0,7300.0,0,2018-07-23
7338.0,8037.0,6989.0,7700.0,14700,2018-07-30
7827.0,8037.0,7827.0,8000.0,1100,2018-08-06
7338.0,7478.0,7338.0,7400.0,2100,2018-08-13
7408.0,7408.0,7408.0,7400.0,0,2018-08-20
7408.0,7408.0,6500.0,6500.0,6200,2018-08-27
6849.0,7338.0,6849.0,7300.0,3800,2018-09-04
7338.0,7338.0,7338.0,7300.0,100,2018-09-10
7338.0,7338.0,7129.0,7100.0,6800,2018-09-17
7129.0,7129.0,7129.0,7100.0,0,2018-09-24
7268.0,8387.0,7268.0,8400.0,5200,2018-10-01
9435.0,10134.0,9435.0,10100.0,200,2018-10-08
10134.0,10134.0,10134.0,10100.0,0,2018-10-15
10134.0,10134.0,10134.0,10100.0,0,2018-10-22
8666.0,8666.0,7688.0,8400.0,1300,2018-10-29
8317.0,8387.0,8317.0,8300.0,2400,2018-11-05
8317.0,8317.0,8317.0,8300.0,0,2018-11-12
8317.0,8317.0,8317.0,8300.0,0,2018-11-19
8317.0,8317.0,7338.0,8000.0,5200,2018-11-26
8037.0,8037.0,7478.0,7600.0,5100,2018-12-03
