open,high,low,close,volume,tradingDate
38870.0,38910.0,38740.0,38740.0,75400,2023-06-19 02:00:00
38740.0,38780.0,38600.0,38600.0,155000,2023-06-19 03:00:00
38600.0,38600.0,38560.0,38600.0,89000,2023-06-19 04:00:00
38560.0,38650.0,38510.0,38560.0,214700,2023-06-19 06:00:00
38510.0,38650.0,38420.0,38420.0,261900,2023-06-19 07:00:00
38420.0,38420.0,38420.0,38420.0,0,2023-06-19 08:00:00
38560.0,38600.0,38470.0,38560.0,97800,2023-06-20 02:00:00
38510.0,38560.0,38420.0,38470.0,95900,2023-06-20 03:00:00
38470.0,38510.0,38470.0,38470.0,34400,2023-06-20 04:00:00
38470.0,38510.0,38290.0,38340.0,309200,2023-06-20 06:00:00
38340.0,38600.0,38290.0,38600.0,275400,2023-06-20 07:00:00
38600.0,38600.0,38600.0,38600.0,0,2023-06-20 08:00:00
38600.0,39050.0,38560.0,38820.0,134900,2023-06-21 02:00:00
38820.0,38820.0,38560.0,38600.0,129700,2023-06-21 03:00:00
38600.0,38600.0,38470.0,38510.0,78200,2023-06-21 04:00:00
38560.0,38600.0,38420.0,38470.0,279000,2023-06-21 06:00:00
38420.0,38600.0,38420.0,38510.0,191000,2023-06-21 07:00:00
38510.0,38510.0,38510.0,38510.0,0,2023-06-21 08:00:00
38780.0,38870.0,38510.0,38870.0,133100,2023-06-22 02:00:00
38820.0,39090.0,38820.0,39090.0,477100,2023-06-22 03:00:00
39090.0,39090.0,39000.0,39000.0,109400,2023-06-22 04:00:00
39000.0,39050.0,38780.0,38780.0,364200,2023-06-22 06:00:00
38780.0,39000.0,38740.0,39000.0,200200,2023-06-22 07:00:00
39000.0,39000.0,39000.0,39000.0,0,2023-06-22 08:00:00
38960.0,39270.0,38780.0,39180.0,301700,2023-06-23 02:00:00
39180.0,39890.0,39090.0,39670.0,847600,2023-06-23 03:00:00
39670.0,39710.0,39130.0,39180.0,192900,2023-06-23 04:00:00
39180.0,39220.0,39090.0,39220.0,327800,2023-06-23 06:00:00
39220.0,39440.0,39180.0,39310.0,241900,2023-06-23 07:00:00
39310.0,39310.0,39310.0,39310.0,0,2023-06-23 08:00:00
39490.0,39800.0,39220.0,39310.0,319100,2023-06-26 02:00:00
39310.0,39310.0,39180.0,39180.0,211500,2023-06-26 03:00:00
39180.0,39220.0,39090.0,39130.0,96700,2023-06-26 04:00:00
39130.0,39220.0,38960.0,39050.0,274400,2023-06-26 06:00:00
39090.0,39360.0,39090.0,39310.0,323400,2023-06-26 07:00:00
39310.0,39310.0,39310.0,39310.0,0,2023-06-26 08:00:00
39130.0,39440.0,39130.0,39180.0,149100,2023-06-27 02:00:00
39180.0,39180.0,39090.0,39090.0,185800,2023-06-27 03:00:00
39130.0,39180.0,39090.0,39130.0,53400,2023-06-27 04:00:00
39130.0,39180.0,39050.0,39050.0,164500,2023-06-27 06:00:00
39050.0,39310.0,39050.0,39310.0,241000,2023-06-27 07:00:00
39310.0,39310.0,39310.0,39310.0,0,2023-06-27 08:00:00
39310.0,39490.0,39180.0,39180.0,121300,2023-06-28 02:00:00
39180.0,39760.0,39180.0,39440.0,447200,2023-06-28 03:00:00
39440.0,39440.0,39360.0,39360.0,53900,2023-06-28 04:00:00
39360.0,39670.0,39310.0,39490.0,638100,2023-06-28 06:00:00
39490.0,40240.0,39400.0,40240.0,1076900,2023-06-28 07:00:00
40240.0,40240.0,40240.0,40240.0,0,2023-06-28 08:00:00
40290.0,40730.0,40020.0,40110.0,455700,2023-06-29 02:00:00
40200.0,40290.0,40020.0,40020.0,193900,2023-06-29 03:00:00
40020.0,40290.0,40020.0,40070.0,68400,2023-06-29 04:00:00
40070.0,40240.0,39840.0,39890.0,425500,2023-06-29 06:00:00
39890.0,39980.0,39490.0,39490.0,434900,2023-06-29 07:00:00
39490.0,39490.0,39490.0,39490.0,0,2023-06-29 08:00:00
39490.0,39760.0,39490.0,39530.0,67800,2023-06-30 02:00:00
39580.0,39580.0,39440.0,39440.0,57300,2023-06-30 03:00:00
39490.0,39490.0,39360.0,39490.0,43900,2023-06-30 04:00:00
39440.0,39440.0,39180.0,39220.0,287700,2023-06-30 06:00:00
39220.0,39490.0,38470.0,38470.0,518300,2023-06-30 07:00:00
38470.0,38470.0,38470.0,38470.0,0,2023-06-30 08:00:00
38960.0,39050.0,38780.0,38870.0,143100,2023-07-03 02:00:00
38870.0,38910.0,38780.0,38870.0,143700,2023-07-03 03:00:00
38870.0,39000.0,38870.0,39000.0,41600,2023-07-03 04:00:00
39000.0,39050.0,38820.0,38910.0,306800,2023-07-03 06:00:00
38910.0,39490.0,38910.0,39490.0,450200,2023-07-03 07:00:00
39490.0,39490.0,39490.0,39490.0,0,2023-07-03 08:00:00
39400.0,39530.0,39180.0,39310.0,92700,2023-07-04 02:00:00
39360.0,39440.0,39050.0,39130.0,145300,2023-07-04 03:00:00
39090.0,39130.0,39000.0,39000.0,121900,2023-07-04 04:00:00
39000.0,39050.0,38820.0,38870.0,429000,2023-07-04 06:00:00
38870.0,39220.0,38870.0,39050.0,394400,2023-07-04 07:00:00
39050.0,39050.0,39050.0,39050.0,0,2023-07-04 08:00:00
39220.0,39710.0,39090.0,39580.0,421100,2023-07-05 02:00:00
39580.0,39620.0,39440.0,39580.0,267000,2023-07-05 03:00:00
39580.0,39670.0,39530.0,39620.0,156200,2023-07-05 04:00:00
39580.0,39620.0,39490.0,39580.0,192500,2023-07-05 06:00:00
39490.0,39530.0,39360.0,39360.0,257600,2023-07-05 07:00:00
39360.0,39360.0,39360.0,39360.0,0,2023-07-05 08:00:00
39220.0,39620.0,39220.0,39530.0,67900,2023-07-06 02:00:00
39530.0,39580.0,39360.0,39400.0,268500,2023-07-06 03:00:00
39360.0,39490.0,39360.0,39360.0,99800,2023-07-06 04:00:00
39360.0,39360.0,38690.0,38960.0,546800,2023-07-06 06:00:00
38960.0,39000.0,38690.0,39000.0,354000,2023-07-06 07:00:00
39000.0,39000.0,39000.0,39000.0,0,2023-07-06 08:00:00
38780.0,39000.0,38780.0,38780.0,138400,2023-07-07 02:00:00
38870.0,38870.0,38780.0,38870.0,203100,2023-07-07 03:00:00
38870.0,38960.0,38820.0,38870.0,108900,2023-07-07 04:00:00
38910.0,39180.0,38820.0,39130.0,256800,2023-07-07 06:00:00
39130.0,39310.0,39050.0,39310.0,172800,2023-07-07 07:00:00
39310.0,39310.0,39310.0,39310.0,0,2023-07-07 08:00:00
39400.0,39580.0,39310.0,39360.0,200300,2023-07-10 02:00:00
39360.0,40550.0,39220.0,40200.0,1137200,2023-07-10 03:00:00
40200.0,40780.0,40200.0,40640.0,1085300,2023-07-10 04:00:00
40600.0,40730.0,40550.0,40600.0,946200,2023-07-10 06:00:00
40640.0,41660.0,40640.0,41660.0,1251400,2023-07-10 07:00:00
41660.0,41660.0,41660.0,41660.0,0,2023-07-10 08:00:00
41890.0,42060.0,41620.0,41660.0,914600,2023-07-11 02:00:00
41620.0,41660.0,41570.0,41620.0,351700,2023-07-11 03:00:00
41620.0,41620.0,41440.0,41490.0,263900,2023-07-11 04:00:00
41440.0,41570.0,41350.0,41490.0,609100,2023-07-11 06:00:00
41490.0,41530.0,41260.0,41310.0,480900,2023-07-11 07:00:00
41310.0,41310.0,41310.0,41310.0,0,2023-07-11 08:00:00
41660.0,41660.0,41350.0,41400.0,250600,2023-07-12 02:00:00
41400.0,41490.0,41310.0,41350.0,329600,2023-07-12 03:00:00
41310.0,41350.0,41180.0,41260.0,123300,2023-07-12 04:00:00
41260.0,41840.0,40950.0,41530.0,1183700,2023-07-12 06:00:00
41530.0,41620.0,41260.0,41440.0,443900,2023-07-12 07:00:00
41440.0,41440.0,41440.0,41440.0,0,2023-07-12 08:00:00
41620.0,41710.0,41350.0,41710.0,388500,2023-07-13 02:00:00
41710.0,41710.0,41400.0,41490.0,201400,2023-07-13 03:00:00
41490.0,41530.0,41350.0,41400.0,204800,2023-07-13 04:00:00
41400.0,41440.0,41310.0,41350.0,439400,2023-07-13 06:00:00
41350.0,42150.0,41310.0,41620.0,650300,2023-07-13 07:00:00
41620.0,41620.0,41620.0,41620.0,0,2023-07-13 08:00:00
41620.0,41710.0,41490.0,41570.0,167100,2023-07-14 02:00:00
41570.0,41970.0,41440.0,41930.0,317300,2023-07-14 03:00:00
41930.0,42280.0,41800.0,41890.0,576400,2023-07-14 04:00:00
41890.0,41970.0,41090.0,41350.0,815300,2023-07-14 06:00:00
41350.0,41530.0,40860.0,41490.0,729600,2023-07-14 07:00:00
41490.0,41490.0,41490.0,41490.0,0,2023-07-14 08:00:00
41490.0,41620.0,41090.0,41130.0,316300,2023-07-17 02:00:00
41130.0,41800.0,41090.0,41530.0,640100,2023-07-17 03:00:00
41490.0,41490.0,41310.0,41350.0,62200,2023-07-17 04:00:00
41350.0,41530.0,41090.0,41220.0,666800,2023-07-17 06:00:00
41220.0,41260.0,41000.0,41000.0,546100,2023-07-17 07:00:00
41000.0,41000.0,41000.0,41000.0,0,2023-07-17 08:00:00
41000.0,41310.0,41000.0,41220.0,241600,2023-07-18 02:00:00
41220.0,41440.0,41090.0,41350.0,541400,2023-07-18 03:00:00
41310.0,41350.0,41220.0,41310.0,124100,2023-07-18 04:00:00
41310.0,41350.0,41090.0,41180.0,397000,2023-07-18 06:00:00
41220.0,41440.0,41090.0,41440.0,363100,2023-07-18 07:00:00
41440.0,41440.0,41440.0,41440.0,0,2023-07-18 08:00:00
41620.0,41620.0,41130.0,41310.0,200100,2023-07-19 02:00:00
41310.0,41310.0,41090.0,41090.0,345600,2023-07-19 03:00:00
41090.0,41130.0,41000.0,41040.0,127200,2023-07-19 04:00:00
41040.0,41040.0,40730.0,40780.0,1048300,2023-07-19 06:00:00
40780.0,41490.0,40690.0,41040.0,608300,2023-07-19 07:00:00
41040.0,41040.0,41040.0,41040.0,0,2023-07-19 08:00:00
41000.0,41180.0,41000.0,41130.0,82100,2023-07-20 02:00:00
41090.0,41130.0,40910.0,41000.0,136100,2023-07-20 03:00:00
41000.0,41000.0,40820.0,40910.0,63100,2023-07-20 04:00:00
40910.0,41000.0,40690.0,40910.0,262700,2023-07-20 06:00:00
40860.0,41180.0,40690.0,41040.0,390600,2023-07-20 07:00:00
41040.0,41040.0,41040.0,41040.0,0,2023-07-20 08:00:00
41040.0,41130.0,40910.0,41000.0,74800,2023-07-21 02:00:00
41000.0,41180.0,40950.0,41090.0,189800,2023-07-21 03:00:00
41040.0,41350.0,40950.0,41220.0,172400,2023-07-21 04:00:00
41220.0,41490.0,41180.0,41350.0,518400,2023-07-21 06:00:00
41350.0,41490.0,41310.0,41490.0,466700,2023-07-21 07:00:00
41490.0,41490.0,41490.0,41490.0,0,2023-07-21 08:00:00
41620.0,42240.0,41570.0,42110.0,696900,2023-07-24 02:00:00
42110.0,42110.0,41800.0,41800.0,245300,2023-07-24 03:00:00
41800.0,41930.0,41750.0,41800.0,107400,2023-07-24 04:00:00
41840.0,41890.0,41530.0,41530.0,553600,2023-07-24 06:00:00
41530.0,41890.0,41530.0,41530.0,366800,2023-07-24 07:00:00
41530.0,41530.0,41530.0,41530.0,0,2023-07-24 08:00:00
41490.0,41840.0,41440.0,41570.0,321600,2023-07-25 02:00:00
41570.0,41660.0,41440.0,41530.0,187500,2023-07-25 03:00:00
41570.0,41620.0,41490.0,41530.0,59400,2023-07-25 04:00:00
41490.0,41660.0,41440.0,41620.0,398600,2023-07-25 06:00:00
41660.0,41890.0,41530.0,41840.0,654500,2023-07-25 07:00:00
41840.0,41840.0,41840.0,41840.0,0,2023-07-25 08:00:00
41840.0,42640.0,41840.0,42420.0,1062200,2023-07-26 02:00:00
42370.0,42460.0,42280.0,42280.0,263800,2023-07-26 03:00:00
42280.0,42280.0,42240.0,42240.0,43100,2023-07-26 04:00:00
42240.0,42240.0,41970.0,42060.0,422000,2023-07-26 06:00:00
42060.0,42240.0,41970.0,42020.0,538000,2023-07-26 07:00:00
42020.0,42020.0,42020.0,42020.0,0,2023-07-26 08:00:00
41970.0,42060.0,41750.0,41750.0,122000,2023-07-27 02:00:00
41800.0,41800.0,41440.0,41660.0,405700,2023-07-27 03:00:00
41710.0,41750.0,41530.0,41530.0,142600,2023-07-27 04:00:00
41530.0,41620.0,41400.0,41570.0,403200,2023-07-27 06:00:00
41570.0,41710.0,41440.0,41440.0,296200,2023-07-27 07:00:00
41440.0,41440.0,41440.0,41440.0,0,2023-07-27 08:00:00
41440.0,41530.0,41180.0,41530.0,238200,2023-07-28 02:00:00
41570.0,41970.0,41570.0,41660.0,238000,2023-07-28 03:00:00
41660.0,41710.0,41570.0,41620.0,103800,2023-07-28 04:00:00
41620.0,41710.0,41260.0,41490.0,797100,2023-07-28 06:00:00
41490.0,41570.0,41440.0,41440.0,377500,2023-07-28 07:00:00
41440.0,41440.0,41440.0,41440.0,0,2023-07-28 08:00:00
41710.0,42060.0,41620.0,41710.0,306000,2023-07-31 02:00:00
41710.0,41800.0,41620.0,41660.0,269700,2023-07-31 03:00:00
41660.0,41660.0,41440.0,41440.0,106500,2023-07-31 04:00:00
41440.0,41930.0,41440.0,41840.0,465600,2023-07-31 06:00:00
41840.0,42110.0,41570.0,42020.0,446600,2023-07-31 07:00:00
42020.0,42020.0,42020.0,42020.0,0,2023-07-31 08:00:00
42200.0,43530.0,41890.0,43220.0,1390400,2023-08-01 02:00:00
43170.0,43480.0,43080.0,43390.0,633100,2023-08-01 03:00:00
43390.0,43930.0,43390.0,43840.0,550100,2023-08-01 04:00:00
43790.0,43840.0,43350.0,43660.0,591100,2023-08-01 06:00:00
43620.0,43660.0,42770.0,42770.0,649400,2023-08-01 07:00:00
42770.0,42770.0,42770.0,42770.0,0,2023-08-01 08:00:00
42770.0,43310.0,42730.0,43220.0,434700,2023-08-02 02:00:00
43220.0,43660.0,42950.0,43620.0,553500,2023-08-02 03:00:00
43620.0,43750.0,43440.0,43750.0,295200,2023-08-02 04:00:00
43750.0,43750.0,43350.0,43440.0,670400,2023-08-02 06:00:00
43390.0,43700.0,43310.0,43570.0,401800,2023-08-02 07:00:00
43570.0,43570.0,43570.0,43570.0,0,2023-08-02 08:00:00
43570.0,43620.0,43170.0,43440.0,276000,2023-08-03 02:00:00
43480.0,43620.0,43220.0,43310.0,342600,2023-08-03 03:00:00
43440.0,43440.0,43080.0,43170.0,135900,2023-08-03 04:00:00
43170.0,43480.0,43040.0,43390.0,800100,2023-08-03 06:00:00
43350.0,43390.0,42950.0,43080.0,539800,2023-08-03 07:00:00
43080.0,43080.0,43080.0,43080.0,0,2023-08-03 08:00:00
43040.0,43260.0,42860.0,42950.0,245400,2023-08-04 02:00:00
42950.0,43130.0,42950.0,43040.0,211500,2023-08-04 03:00:00
43040.0,43130.0,42990.0,43130.0,129500,2023-08-04 04:00:00
43080.0,43170.0,42770.0,42950.0,906700,2023-08-04 06:00:00
42950.0,43390.0,42860.0,42950.0,702900,2023-08-04 07:00:00
42950.0,42950.0,42950.0,42950.0,0,2023-08-04 08:00:00
43220.0,43880.0,43130.0,43840.0,547000,2023-08-07 02:00:00
43840.0,43880.0,43390.0,43480.0,371700,2023-08-07 03:00:00
43480.0,43530.0,43390.0,43390.0,97200,2023-08-07 04:00:00
43440.0,43570.0,43130.0,43170.0,596400,2023-08-07 06:00:00
43170.0,43350.0,42990.0,43350.0,392400,2023-08-07 07:00:00
43350.0,43350.0,43350.0,43350.0,0,2023-08-07 08:00:00
43390.0,43790.0,43350.0,43620.0,357400,2023-08-08 02:00:00
43570.0,43700.0,43390.0,43440.0,501500,2023-08-08 03:00:00
43480.0,43790.0,43480.0,43790.0,224700,2023-08-08 04:00:00
43790.0,43880.0,43350.0,43620.0,639600,2023-08-08 06:00:00
43620.0,43750.0,43080.0,43170.0,381700,2023-08-08 07:00:00
43170.0,43170.0,43170.0,43170.0,0,2023-08-08 08:00:00
43170.0,43310.0,43040.0,43080.0,277800,2023-08-09 02:00:00
43040.0,43220.0,43040.0,43220.0,225200,2023-08-09 03:00:00
43220.0,43220.0,43040.0,43040.0,305400,2023-08-09 04:00:00
43080.0,43080.0,42640.0,42770.0,688200,2023-08-09 06:00:00
42770.0,43080.0,42770.0,42770.0,305700,2023-08-09 07:00:00
42770.0,42770.0,42770.0,42770.0,0,2023-08-09 08:00:00
42550.0,42600.0,42420.0,42460.0,148500,2023-08-10 04:00:00
42510.0,42770.0,41710.0,42150.0,856700,2023-08-10 06:00:00
42110.0,42150.0,41260.0,41260.0,1234700,2023-08-10 07:00:00
41260.0,41260.0,41260.0,41260.0,0,2023-08-10 08:00:00
41260.0,41620.0,41260.0,41440.0,365400,2023-08-11 02:00:00
41440.0,41620.0,40470.0,40910.0,539400,2023-08-11 03:00:00
41000.0,41220.0,40950.0,41040.0,119100,2023-08-11 04:00:00
