open,high,low,close,volume,tradingDate
37644.0,39008.0,37371.0,39008.0,317830,2016-03-18
39280.0,39826.0,39280.0,39280.0,385900,2016-03-21
39008.0,39008.0,37644.0,38462.0,106970,2016-03-22
37916.0,39008.0,37916.0,38735.0,64630,2016-03-23
38735.0,41190.0,38735.0,40917.0,362880,2016-03-24
40917.0,41190.0,39826.0,41190.0,65250,2016-03-25
40644.0,42008.0,40644.0,41735.0,181750,2016-03-28
42281.0,42281.0,40917.0,41463.0,95460,2016-03-29
41463.0,41735.0,40917.0,41463.0,52350,2016-03-30
41463.0,41463.0,39553.0,39553.0,147810,2016-03-31
39008.0,39553.0,38735.0,39553.0,112760,2016-04-01
39553.0,40371.0,39280.0,39280.0,55080,2016-04-04
39280.0,40371.0,39280.0,40371.0,59670,2016-04-05
40644.0,41735.0,40644.0,40917.0,159910,2016-04-06
41463.0,41463.0,40917.0,41190.0,73790,2016-04-07
40917.0,41190.0,40099.0,40917.0,145220,2016-04-08
40917.0,41190.0,40917.0,41190.0,137210,2016-04-11
41190.0,41190.0,40644.0,40917.0,45540,2016-04-12
40917.0,40917.0,39826.0,40099.0,149620,2016-04-13
40099.0,40099.0,39280.0,39280.0,74090,2016-04-14
39280.0,39826.0,39008.0,39826.0,95390,2016-04-15
39826.0,39826.0,37371.0,37371.0,150310,2016-04-19
37371.0,37916.0,35734.0,36280.0,156830,2016-04-20
36825.0,37371.0,36553.0,36825.0,105960,2016-04-21
37371.0,38189.0,36825.0,38189.0,50210,2016-04-22
38189.0,39008.0,37916.0,38189.0,24330,2016-04-25
38189.0,38189.0,37644.0,37916.0,38350,2016-04-26
38189.0,38189.0,37098.0,37644.0,36910,2016-04-27
37916.0,37916.0,37371.0,37644.0,59130,2016-04-28
37644.0,38735.0,37644.0,38462.0,89260,2016-04-29
37916.0,38462.0,37916.0,38462.0,52510,2016-05-04
39008.0,40099.0,38735.0,39826.0,281460,2016-05-05
40099.0,40099.0,39008.0,39008.0,42020,2016-05-06
39280.0,39826.0,38735.0,39280.0,78850,2016-05-09
39280.0,39280.0,38735.0,39280.0,85990,2016-05-10
39280.0,39826.0,38735.0,39553.0,149780,2016-05-11
39553.0,39826.0,39280.0,39280.0,31040,2016-05-12
39280.0,39280.0,38735.0,39008.0,60970,2016-05-13
39008.0,39553.0,38735.0,39280.0,86550,2016-05-16
39553.0,39826.0,39280.0,39553.0,61060,2016-05-17
39826.0,40099.0,39553.0,39553.0,83210,2016-05-18
39692.0,39974.0,39411.0,39692.0,71870,2016-05-19
39411.0,39411.0,39129.0,39411.0,8910,2016-05-20
39411.0,39411.0,39129.0,39411.0,16880,2016-05-23
39411.0,40255.0,39411.0,39974.0,78460,2016-05-24
40255.0,40255.0,39692.0,39692.0,11670,2016-05-25
39692.0,39692.0,38566.0,38566.0,73330,2016-05-26
38285.0,38848.0,38285.0,38848.0,30750,2016-05-27
38285.0,38848.0,38285.0,38848.0,41980,2016-05-30
38566.0,39129.0,38566.0,39129.0,43720,2016-05-31
38848.0,38848.0,38285.0,38285.0,63490,2016-06-01
38003.0,38566.0,38003.0,38566.0,18440,2016-06-02
38566.0,38566.0,37722.0,37722.0,85160,2016-06-03
38003.0,38285.0,37159.0,37440.0,60860,2016-06-06
37440.0,38003.0,37159.0,38003.0,36290,2016-06-07
38003.0,38566.0,37722.0,38003.0,58320,2016-06-08
38003.0,38003.0,37722.0,38003.0,24690,2016-06-09
38003.0,38285.0,38003.0,38003.0,19400,2016-06-10
38285.0,38285.0,37722.0,38003.0,33150,2016-06-13
38003.0,38285.0,37722.0,38003.0,53640,2016-06-14
38003.0,39974.0,38003.0,39692.0,281060,2016-06-15
39974.0,40255.0,39129.0,39411.0,66630,2016-06-16
39411.0,39411.0,39129.0,39411.0,38710,2016-06-17
39974.0,40537.0,39411.0,40537.0,156760,2016-06-20
41100.0,41381.0,40818.0,40818.0,142470,2016-06-21
41100.0,41381.0,40537.0,41100.0,114310,2016-06-22
41100.0,41381.0,40818.0,41100.0,106270,2016-06-23
41100.0,41381.0,38566.0,40537.0,326820,2016-06-24
39692.0,40255.0,39692.0,39692.0,115060,2016-06-27
39974.0,41100.0,39411.0,41100.0,38150,2016-06-28
41100.0,41381.0,40818.0,40818.0,97250,2016-06-29
41381.0,41945.0,40818.0,41100.0,112330,2016-06-30
41663.0,41945.0,41381.0,41945.0,88950,2016-07-01
42226.0,44760.0,42226.0,44760.0,235360,2016-07-04
45604.0,46167.0,44760.0,45604.0,172860,2016-07-05
45604.0,45886.0,45041.0,45323.0,82150,2016-07-06
46449.0,46449.0,45604.0,45886.0,75030,2016-07-07
45886.0,46730.0,45323.0,45886.0,57390,2016-07-08
45886.0,45886.0,43915.0,43915.0,62230,2016-07-11
44197.0,44478.0,42789.0,44478.0,64660,2016-07-12
45041.0,45604.0,44760.0,44760.0,34880,2016-07-13
45041.0,46449.0,44478.0,45323.0,154910,2016-07-14
45604.0,46730.0,44760.0,46730.0,123510,2016-07-15
47293.0,47293.0,46449.0,47012.0,51150,2016-07-18
46730.0,47012.0,45886.0,45886.0,105210,2016-07-19
45886.0,46449.0,45604.0,45886.0,72230,2016-07-20
46167.0,47293.0,45886.0,47012.0,90350,2016-07-21
47293.0,47293.0,44760.0,45886.0,73200,2016-07-22
45604.0,45604.0,44478.0,44760.0,63180,2016-07-25
44478.0,44760.0,44197.0,44478.0,46150,2016-07-26
45323.0,45323.0,44197.0,45041.0,29840,2016-07-27
45041.0,46730.0,44760.0,46167.0,76140,2016-07-28
46167.0,46167.0,45604.0,45886.0,43100,2016-07-29
44760.0,44760.0,43634.0,43634.0,213280,2016-08-01
43071.0,43071.0,41381.0,41381.0,172430,2016-08-02
41663.0,41663.0,40537.0,41100.0,128770,2016-08-03
41100.0,41381.0,40818.0,40818.0,89130,2016-08-04
40255.0,41663.0,39974.0,41381.0,71830,2016-08-05
40537.0,41100.0,40537.0,40537.0,57120,2016-08-08
40537.0,41663.0,40537.0,41663.0,49570,2016-08-09
