open,high,low,close,volume,tradingDate
3465.0,3594.0,3413.0,3413.0,285960,2006-07-11
3335.0,3335.0,3051.0,3154.0,176800,2006-07-17
3103.0,3206.0,2896.0,3154.0,376170,2006-07-24
3154.0,3309.0,2896.0,3258.0,523250,2006-07-31
3258.0,3335.0,3154.0,3335.0,359230,2006-08-07
3465.0,3568.0,3361.0,3542.0,611690,2006-08-14
3516.0,3749.0,3516.0,3749.0,845400,2006-08-21
3749.0,4007.0,3749.0,4007.0,464780,2006-08-28
4059.0,4137.0,4059.0,4085.0,604150,2006-09-05
4214.0,4397.0,4085.0,4368.0,622160,2006-09-11
4397.0,4455.0,4368.0,4426.0,359740,2006-09-18
4455.0,4600.0,4397.0,4571.0,308090,2006-09-25
4571.0,4715.0,4571.0,4600.0,262230,2006-10-02
4629.0,4658.0,4571.0,4658.0,213120,2006-10-09
4658.0,4744.0,4571.0,4715.0,308480,2006-10-16
4715.0,4715.0,4629.0,4687.0,168850,2006-10-23
4744.0,4744.0,4629.0,4658.0,244720,2006-10-30
4687.0,5352.0,4687.0,5149.0,504910,2006-11-06
5265.0,5641.0,5265.0,5554.0,508750,2006-11-13
5728.0,6943.0,5728.0,6943.0,593230,2006-11-20
6654.0,6654.0,6133.0,6364.0,649190,2006-11-27
6422.0,7174.0,6307.0,7174.0,389500,2006-12-04
7522.0,8332.0,7290.0,8332.0,642430,2006-12-11
8332.0,9142.0,8158.0,8737.0,505110,2006-12-18
8332.0,8968.0,7927.0,8447.0,281910,2006-12-25
8216.0,9431.0,8216.0,9199.0,371290,2007-01-02
9604.0,11572.0,9257.0,11572.0,451700,2007-01-08
12150.0,13076.0,11514.0,13076.0,675030,2007-01-15
13712.0,14349.0,12440.0,12671.0,401700,2007-01-22
13250.0,15159.0,13250.0,15043.0,447110,2007-01-29
14407.0,14754.0,13134.0,13134.0,331830,2007-02-05
13018.0,14523.0,13018.0,14465.0,213320,2007-02-12
15165.0,15923.0,13882.0,14582.0,391040,2007-02-26
14582.0,14582.0,13473.0,14115.0,195220,2007-03-05
14290.0,14290.0,11782.0,12949.0,116190,2007-03-12
12365.0,12949.0,12365.0,12715.0,196660,2007-03-19
12715.0,13473.0,12249.0,12832.0,246700,2007-03-26
12832.0,12832.0,11315.0,11549.0,72220,2007-04-02
11490.0,12015.0,11432.0,11899.0,96310,2007-04-09
11782.0,11957.0,10499.0,10965.0,53930,2007-04-16
10732.0,10732.0,9741.0,9741.0,89540,2007-04-23
10207.0,10440.0,9449.0,10440.0,112800,2007-05-02
10499.0,11724.0,10499.0,11724.0,203280,2007-05-07
11724.0,13124.0,11665.0,11957.0,230670,2007-05-14
12540.0,13124.0,12540.0,12832.0,119470,2007-05-21
13124.0,13124.0,12249.0,12365.0,29570,2007-05-28
12365.0,12949.0,11957.0,12132.0,48940,2007-06-04
11665.0,12249.0,11432.0,11432.0,106550,2007-06-11
10907.0,11665.0,10907.0,11257.0,180460,2007-06-18
11140.0,11432.0,11082.0,11374.0,120100,2007-06-25
11490.0,11490.0,11082.0,11199.0,107830,2007-07-02
10965.0,11432.0,10965.0,11374.0,52830,2007-07-09
11374.0,11375.0,11082.0,11082.0,25110,2007-07-16
11082.0,11140.0,10495.0,10495.0,78340,2007-07-23
10495.0,10495.0,9675.0,9909.0,87500,2007-07-30
10261.0,11082.0,9968.0,11023.0,83080,2007-08-06
10730.0,10789.0,8150.0,10378.0,42140,2007-08-13
10144.0,10789.0,10144.0,10378.0,67170,2007-08-20
10495.0,10554.0,10261.0,10261.0,58530,2007-08-27
10261.0,10789.0,10261.0,10671.0,66800,2007-09-04
10495.0,10554.0,10437.0,10437.0,23330,2007-09-10
10554.0,10554.0,10378.0,10437.0,18220,2007-09-17
10495.0,10847.0,10437.0,10789.0,105370,2007-09-24
11316.0,11316.0,10437.0,10906.0,185340,2007-10-01
10906.0,11316.0,10671.0,11023.0,111830,2007-10-08
10965.0,10965.0,10847.0,10906.0,53200,2007-10-15
10847.0,10847.0,10437.0,10671.0,65170,2007-10-22
10144.0,10671.0,9968.0,9968.0,196410,2007-10-29
10320.0,10671.0,10261.0,10495.0,197120,2007-11-05
10261.0,10437.0,10085.0,10085.0,33210,2007-11-12
10026.0,10144.0,9733.0,10026.0,31450,2007-11-19
10202.0,10202.0,10085.0,10085.0,53060,2007-11-26
10144.0,10144.0,9850.0,9968.0,62240,2007-12-03
9968.0,9968.0,9440.0,9440.0,94350,2007-12-10
9850.0,10026.0,9499.0,9675.0,93780,2007-12-17
9557.0,10085.0,9381.0,9675.0,60560,2007-12-24
9675.0,9968.0,9557.0,9557.0,56910,2008-01-02
9381.0,9616.0,8971.0,9088.0,68400,2008-01-07
8912.0,9088.0,8385.0,8385.0,71670,2008-01-14
8619.0,8619.0,7505.0,7505.0,58810,2008-01-21
7505.0,8150.0,7095.0,8091.0,128570,2008-01-28
7916.0,7916.0,7505.0,7857.0,38810,2008-02-12
7505.0,7564.0,6508.0,6508.0,46020,2008-02-18
6508.0,6919.0,5981.0,6157.0,74330,2008-02-25
5863.0,5863.0,5306.0,5834.0,191980,2008-03-03
6098.0,6098.0,5160.0,5336.0,127260,2008-03-10
5277.0,5277.0,4632.0,4661.0,84950,2008-03-17
4456.0,4456.0,4046.0,4368.0,137190,2008-03-24
4398.0,4515.0,4398.0,4515.0,103830,2008-03-31
4603.0,4691.0,4456.0,4456.0,165030,2008-04-07
4544.0,4691.0,4427.0,4544.0,53960,2008-04-16
4456.0,4544.0,4310.0,4310.0,42560,2008-04-21
4251.0,4280.0,4192.0,4222.0,7850,2008-04-28
4251.0,4251.0,3987.0,3987.0,3010,2008-05-05
3928.0,3928.0,3694.0,3694.0,30730,2008-05-12
3635.0,3635.0,3401.0,3401.0,77620,2008-05-19
3401.0,3401.0,3283.0,3283.0,3600,2008-05-26
3225.0,3225.0,2990.0,2990.0,11010,2008-06-02
2932.0,2932.0,2715.0,2715.0,45280,2008-06-09
2787.0,3000.0,2721.0,2721.0,117380,2008-06-16
2640.0,2875.0,2574.0,2794.0,51180,2008-06-23
2721.0,3221.0,2721.0,3221.0,61590,2008-06-30
3317.0,3500.0,3037.0,3500.0,79300,2008-07-07
3567.0,4008.0,3567.0,3787.0,114070,2008-07-14
3677.0,3677.0,3265.0,3265.0,41710,2008-07-21
