open,high,low,close,volume,tradingDate
9800.0,9795.0,9580.0,9728.0,170800,2016-03-22
9657.0,9794.0,9578.0,9657.0,77710,2016-03-23
9585.0,9624.0,9341.0,9442.0,224120,2016-03-24
9442.0,9376.0,9234.0,9299.0,238760,2016-03-25
9371.0,9346.0,9274.0,9299.0,209400,2016-03-28
9299.0,9302.0,9160.0,9228.0,166630,2016-03-29
9228.0,9575.0,9215.0,9371.0,128040,2016-03-30
9299.0,9129.0,8848.0,9013.0,136000,2016-03-31
9156.0,9443.0,9152.0,9228.0,123100,2016-04-01
9228.0,9419.0,9275.0,9299.0,196160,2016-04-04
9299.0,9443.0,9299.0,9371.0,76802,2016-04-05
9299.0,9314.0,9242.0,9299.0,26700,2016-04-06
9299.0,9299.0,9157.0,9228.0,97740,2016-04-07
9156.0,9396.0,9252.0,9299.0,27000,2016-04-08
9371.0,10052.0,9611.0,9800.0,223800,2016-04-11
9728.0,9858.0,9573.0,9728.0,176700,2016-04-12
9728.0,9878.0,9661.0,9728.0,206610,2016-04-13
9728.0,10105.0,9741.0,9871.0,223100,2016-04-14
9943.0,9845.0,9632.0,9728.0,199400,2016-04-15
9657.0,9712.0,9429.0,9514.0,136100,2016-04-19
9514.0,9464.0,9322.0,9371.0,80600,2016-04-20
9442.0,9615.0,9398.0,9514.0,157000,2016-04-21
9514.0,9511.0,9296.0,9371.0,181200,2016-04-22
9442.0,9680.0,9465.0,9514.0,39600,2016-04-25
9442.0,9639.0,9494.0,9514.0,92900,2016-04-26
9514.0,9472.0,9260.0,9371.0,25100,2016-04-27
9371.0,9782.0,9563.0,9585.0,36112,2016-04-28
9442.0,9701.0,9484.0,9514.0,36800,2016-04-29
9514.0,9940.0,9432.0,9728.0,141600,2016-05-04
9728.0,9762.0,9619.0,9657.0,61100,2016-05-05
9657.0,9760.0,9543.0,9585.0,31800,2016-05-06
9585.0,9648.0,9507.0,9585.0,96460,2016-05-09
9442.0,9669.0,9452.0,9514.0,43220,2016-05-10
9514.0,9620.0,9475.0,9514.0,27100,2016-05-11
9585.0,9598.0,9384.0,9514.0,47320,2016-05-12
9371.0,9247.0,8965.0,9085.0,290450,2016-05-13
9156.0,9267.0,9051.0,9156.0,83280,2016-05-16
9156.0,9350.0,9064.0,9228.0,71400,2016-05-17
9442.0,9415.0,9129.0,9228.0,62200,2016-05-18
9299.0,9680.0,9111.0,9442.0,243100,2016-05-19
9514.0,9558.0,9344.0,9371.0,99500,2016-05-20
9442.0,9419.0,9205.0,9299.0,65130,2016-05-23
9228.0,9338.0,9266.0,9299.0,38600,2016-05-24
9299.0,9349.0,9136.0,9228.0,128740,2016-05-25
9228.0,9325.0,9182.0,9228.0,35900,2016-05-26
9228.0,9596.0,9169.0,9442.0,217180,2016-05-27
9442.0,9448.0,9306.0,9371.0,41240,2016-05-30
9371.0,9440.0,9228.0,9299.0,47900,2016-05-31
9299.0,9299.0,9299.0,9299.0,47710,2016-06-01
9299.0,9348.0,9276.0,9299.0,59200,2016-06-02
9156.0,9338.0,9055.0,9299.0,65440,2016-06-03
9371.0,9441.0,9225.0,9299.0,48120,2016-06-06
9299.0,9228.0,9157.0,9228.0,33060,2016-06-07
9299.0,9471.0,9181.0,9299.0,110427,2016-06-08
9299.0,9643.0,9283.0,9442.0,420700,2016-06-09
9442.0,9577.0,9363.0,9514.0,166800,2016-06-10
9514.0,9544.0,9329.0,9442.0,16000,2016-06-13
9299.0,9410.0,9267.0,9371.0,47300,2016-06-14
9299.0,9407.0,9263.0,9299.0,46200,2016-06-15
9228.0,9364.0,9220.0,9299.0,124950,2016-06-16
9156.0,9222.0,9150.0,9156.0,35700,2016-06-17
9228.0,9313.0,9170.0,9228.0,40300,2016-06-20
9228.0,9271.0,9199.0,9228.0,38530,2016-06-21
9156.0,9162.0,9019.0,9085.0,244036,2016-06-22
9085.0,9362.0,9217.0,9228.0,140756,2016-06-23
9085.0,9069.0,8641.0,8870.0,372600,2016-06-24
8870.0,9156.0,8865.0,9013.0,83100,2016-06-27
9013.0,9005.0,8934.0,8942.0,21580,2016-06-28
8942.0,9284.0,8994.0,9156.0,90400,2016-06-29
9156.0,9225.0,9080.0,9156.0,76300,2016-06-30
9085.0,9228.0,9156.0,9156.0,12000,2016-07-01
9156.0,9905.0,9391.0,9657.0,335634,2016-07-04
9657.0,9752.0,9472.0,9657.0,620369,2016-07-05
9657.0,9639.0,9496.0,9585.0,103250,2016-07-06
9514.0,9603.0,9388.0,9514.0,139000,2016-07-07
9442.0,9617.0,9332.0,9514.0,163620,2016-07-08
9371.0,9616.0,9188.0,9371.0,195948,2016-07-11
9442.0,9639.0,9276.0,9442.0,155200,2016-07-12
9442.0,9514.0,9299.0,9442.0,149100,2016-07-13
9371.0,9358.0,9216.0,9299.0,150420,2016-07-14
9228.0,9322.0,9178.0,9228.0,189960,2016-07-15
9228.0,9876.0,9437.0,9657.0,201189,2016-07-18
9585.0,9804.0,9446.0,9657.0,398141,2016-07-19
9585.0,9638.0,9494.0,9585.0,160408,2016-07-20
9442.0,9550.0,9336.0,9442.0,155800,2016-07-21
9442.0,9696.0,9404.0,9514.0,222100,2016-07-22
9514.0,9474.0,9260.0,9371.0,44700,2016-07-25
9371.0,9653.0,9365.0,9514.0,98290,2016-07-26
9442.0,9518.0,9376.0,9442.0,106500,2016-07-27
9442.0,9673.0,9529.0,9585.0,88740,2016-07-28
9585.0,9943.0,9655.0,9800.0,223640,2016-07-29
9585.0,10006.0,9509.0,9800.0,315070,2016-08-01
9800.0,9767.0,9624.0,9728.0,243030,2016-08-02
9657.0,9747.0,9605.0,9657.0,81412,2016-08-03
9728.0,9765.0,9553.0,9657.0,228630,2016-08-04
9657.0,9813.0,9525.0,9657.0,278600,2016-08-05
9657.0,9928.0,9711.0,9800.0,140910,2016-08-08
9800.0,9864.0,9721.0,9800.0,82880,2016-08-09
9728.0,9900.0,9757.0,9871.0,104250,2016-08-10
9871.0,10030.0,9885.0,9943.0,104600,2016-08-11
9943.0,9882.0,9811.0,9871.0,256300,2016-08-12
9871.0,10036.0,9892.0,9943.0,143700,2016-08-15
9943.0,10728.0,10145.0,10515.0,807972,2016-08-16
10301.0,10740.0,10236.0,10515.0,157108,2016-08-17
10515.0,11522.0,10788.0,11016.0,873216,2016-08-18
11016.0,11319.0,10817.0,11088.0,683906,2016-08-19
11088.0,11107.0,10821.0,10944.0,143800,2016-08-22
10801.0,10920.0,10704.0,10801.0,367420,2016-08-23
10801.0,10837.0,10622.0,10730.0,307540,2016-08-24
10658.0,10809.0,10665.0,10730.0,132522,2016-08-25
10730.0,11059.0,10628.0,10944.0,367900,2016-08-26
11088.0,11231.0,10802.0,11088.0,459200,2016-08-29
11159.0,11200.0,11128.0,11159.0,194662,2016-08-30
11159.0,11237.0,11094.0,11159.0,247500,2016-08-31
10944.0,10964.0,10822.0,10944.0,138600,2016-09-01
10944.0,10932.0,10650.0,10873.0,149200,2016-09-05
10801.0,10994.0,10637.0,10801.0,261200,2016-09-06
10873.0,11458.0,10951.0,11231.0,272700,2016-09-07
11302.0,11611.0,11173.0,11374.0,282700,2016-09-08
11088.0,11940.0,11217.0,11731.0,514230,2016-09-09
11660.0,12090.0,11583.0,11874.0,321327,2016-09-12
11588.0,12007.0,11579.0,11874.0,190414,2016-09-13
11731.0,11998.0,11564.0,11803.0,209282,2016-09-14
11660.0,11622.0,11341.0,11517.0,138519,2016-09-15
11588.0,12295.0,11853.0,11946.0,329100,2016-09-16
11874.0,11625.0,11345.0,11588.0,259800,2016-09-19
11660.0,12093.0,11731.0,11874.0,229707,2016-09-20
11803.0,12165.0,11805.0,11946.0,369120,2016-09-21
11803.0,12018.0,11529.0,11874.0,147050,2016-09-22
12017.0,12068.0,11709.0,11946.0,134440,2016-09-23
12089.0,12068.0,11711.0,11874.0,203392,2016-09-26
11874.0,11942.0,11799.0,11874.0,142836,2016-09-27
11946.0,12906.0,12172.0,12447.0,420010,2016-09-28
12447.0,13250.0,12530.0,13019.0,515830,2016-09-29
12876.0,13221.0,12788.0,12947.0,298747,2016-09-30
12804.0,13304.0,12939.0,13019.0,256150,2016-10-03
12876.0,12882.0,12381.0,12661.0,257993,2016-10-04
12447.0,12766.0,12405.0,12661.0,167230,2016-10-05
12661.0,12963.0,12601.0,12733.0,175131,2016-10-06
12518.0,12863.0,12504.0,12733.0,114810,2016-10-07
12733.0,12878.0,12735.0,12804.0,155318,2016-10-10
12733.0,13405.0,12966.0,13090.0,231610,2016-10-11
13019.0,13261.0,12972.0,13090.0,157800,2016-10-12
12947.0,13203.0,12914.0,13090.0,133615,2016-10-13
12947.0,13069.0,12926.0,13019.0,99300,2016-10-14
12947.0,12825.0,12542.0,12661.0,52750,2016-10-17
12590.0,12621.0,11832.0,12304.0,234375,2016-10-18
12232.0,12310.0,12097.0,12232.0,66980,2016-10-19
12232.0,12582.0,11558.0,12161.0,323300,2016-10-20
11731.0,12008.0,11653.0,11803.0,80500,2016-10-21
11588.0,11835.0,11407.0,11517.0,109149,2016-10-24
11517.0,11870.0,11510.0,11660.0,113225,2016-10-25
11731.0,11629.0,11274.0,11374.0,71110,2016-10-26
11302.0,11795.0,11294.0,11445.0,61612,2016-10-27
11445.0,11890.0,11324.0,11588.0,132583,2016-10-28
12017.0,12044.0,11613.0,11874.0,104900,2016-10-31
12017.0,12265.0,11830.0,12089.0,49200,2016-11-01
12017.0,12236.0,11874.0,11946.0,72800,2016-11-02
11946.0,12151.0,11787.0,11946.0,70404,2016-11-03
12017.0,12017.0,11802.0,11874.0,39712,2016-11-04
11874.0,11922.0,11850.0,11874.0,46100,2016-11-07
11874.0,11976.0,11543.0,11874.0,28600,2016-11-08
12161.0,12328.0,11530.0,11803.0,66100,2016-11-09
11731.0,11943.0,11657.0,11874.0,54400,2016-11-10
12017.0,11948.0,11521.0,11660.0,37012,2016-11-11
11660.0,11853.0,11568.0,11588.0,48210,2016-11-14
11946.0,11942.0,11512.0,11588.0,46720,2016-11-15
11445.0,11714.0,11427.0,11588.0,50331,2016-11-16
11588.0,11895.0,10885.0,11588.0,86410,2016-11-17
11588.0,11748.0,11385.0,11517.0,52820,2016-11-18
11445.0,11262.0,11051.0,11231.0,22316,2016-11-21
11445.0,12385.0,11713.0,11874.0,52710,2016-11-22
11874.0,11916.0,11557.0,11803.0,48076,2016-11-23
11517.0,11861.0,11501.0,11731.0,27727,2016-11-24
11660.0,11948.0,11658.0,11803.0,61800,2016-11-25
11731.0,11864.0,11577.0,11731.0,71810,2016-11-28
11517.0,11816.0,11600.0,11731.0,57900,2016-11-29
11517.0,11779.0,11564.0,11731.0,31009,2016-11-30
11803.0,11600.0,11319.0,11517.0,18700,2016-12-01
11588.0,11706.0,11563.0,11660.0,99746,2016-12-02
11660.0,11802.0,11586.0,11660.0,51519,2016-12-05
11660.0,11951.0,11659.0,11731.0,66100,2016-12-06
11588.0,11799.0,11512.0,11660.0,91501,2016-12-07
11660.0,11786.0,11569.0,11660.0,71620,2016-12-08
11517.0,11872.0,11582.0,11731.0,77100,2016-12-09
11517.0,10879.0,10136.0,10730.0,122700,2016-12-12
11231.0,11791.0,11201.0,11445.0,78100,2016-12-13
11660.0,11571.0,11358.0,11445.0,66700,2016-12-14
11302.0,11597.0,11239.0,11445.0,77040,2016-12-15
11588.0,11702.0,11413.0,11588.0,30340,2016-12-16
11660.0,11837.0,11693.0,11731.0,65060,2016-12-19
11731.0,11731.0,11731.0,11731.0,52600,2016-12-20
11660.0,11649.0,11507.0,11588.0,41110,2016-12-21
11374.0,11601.0,11314.0,11445.0,21316,2016-12-22
11088.0,11452.0,11092.0,11374.0,45200,2016-12-23
11302.0,11425.0,11353.0,11374.0,20000,2016-12-26
11088.0,11771.0,11262.0,11588.0,79210,2016-12-27
11445.0,11891.0,11530.0,11803.0,54834,2016-12-28
11803.0,11803.0,11803.0,11803.0,40,2016-12-29
11731.0,11821.0,11678.0,11731.0,6000,2016-12-30
11302.0,11884.0,11377.0,11660.0,47860,2017-01-03
11445.0,11860.0,11278.0,11588.0,44814,2017-01-04
11731.0,11937.0,11500.0,11660.0,17880,2017-01-05
11588.0,11732.0,11660.0,11660.0,14720,2017-01-06
11374.0,11874.0,11582.0,11588.0,10280,2017-01-09
11588.0,11678.0,11606.0,11660.0,11800,2017-01-10
11517.0,11686.0,11543.0,11660.0,10500,2017-01-11
11660.0,11735.0,11447.0,11660.0,20500,2017-01-12
11445.0,11963.0,11449.0,11660.0,50440,2017-01-13
11445.0,11691.0,11476.0,11660.0,35300,2017-01-16
11660.0,11525.0,11244.0,11445.0,35400,2017-01-17
11803.0,11901.0,11540.0,11660.0,17800,2017-01-18
11374.0,11727.0,11509.0,11588.0,10000,2017-01-19
11302.0,11777.0,11338.0,11445.0,4200,2017-01-20
11803.0,11774.0,11346.0,11517.0,18200,2017-01-23
11231.0,11884.0,11367.0,11517.0,3700,2017-01-24
11302.0,11678.0,11389.0,11588.0,18410,2017-01-25
11588.0,11632.0,11560.0,11588.0,14300,2017-02-02
11588.0,11626.0,11123.0,11517.0,34700,2017-02-03
11517.0,11737.0,11445.0,11517.0,32200,2017-02-06
11517.0,11617.0,11259.0,11517.0,66300,2017-02-07
