open,high,low,close,volume,tradingDate
6403.0,6422.0,6222.0,6358.0,15050,2016-03-18
6281.0,6272.0,6118.0,6181.0,24400,2016-03-21
6136.0,6197.0,6107.0,6158.0,22191,2016-03-22
6158.0,6288.0,6155.0,6236.0,22608,2016-03-23
6181.0,6266.0,6177.0,6247.0,26400,2016-03-24
6225.0,6068.0,5852.0,6014.0,8450,2016-03-25
5903.0,6089.0,5954.0,6014.0,29300,2016-03-28
6014.0,6325.0,6056.0,6236.0,15230,2016-03-29
6158.0,6195.0,6140.0,6169.0,7562,2016-03-30
6136.0,6226.0,6159.0,6203.0,7000,2016-03-31
6203.0,6442.0,6164.0,6270.0,28700,2016-04-01
6270.0,6250.0,6150.0,6192.0,5220,2016-04-04
6225.0,6226.0,6181.0,6214.0,14110,2016-04-05
6214.0,6214.0,6192.0,6203.0,4710,2016-04-06
6203.0,6185.0,6163.0,6181.0,12400,2016-04-07
6258.0,6291.0,6202.0,6247.0,11100,2016-04-08
6247.0,6272.0,6239.0,6247.0,10400,2016-04-11
6247.0,6908.0,6342.0,6725.0,70600,2016-04-12
6781.0,6811.0,6587.0,6692.0,7400,2016-04-13
6614.0,7191.0,6686.0,6981.0,33460,2016-04-14
6892.0,6969.0,6814.0,6870.0,17820,2016-04-15
6836.0,6853.0,6699.0,6781.0,52100,2016-04-19
6781.0,6615.0,6300.0,6458.0,77900,2016-04-20
6614.0,6775.0,6555.0,6670.0,32510,2016-04-21
6670.0,7087.0,6804.0,6948.0,30200,2016-04-22
7003.0,7308.0,7083.0,7226.0,63800,2016-04-25
7303.0,7434.0,7243.0,7337.0,19700,2016-04-26
7137.0,7341.0,7130.0,7170.0,23400,2016-04-27
7170.0,7196.0,6973.0,7059.0,25180,2016-04-28
7059.0,7109.0,6975.0,7037.0,6500,2016-04-29
7003.0,7061.0,6949.0,7003.0,14200,2016-05-04
6992.0,6977.0,6877.0,6914.0,10640,2016-05-05
6836.0,7053.0,6906.0,6936.0,18300,2016-05-06
6792.0,6819.0,6763.0,6781.0,33500,2016-05-09
6781.0,6984.0,6815.0,6892.0,19900,2016-05-10
6948.0,6930.0,6874.0,6892.0,3600,2016-05-11
6892.0,6892.0,6892.0,6892.0,155,2016-05-12
6970.0,6978.0,6800.0,6836.0,3840,2016-05-13
6892.0,6974.0,6862.0,6881.0,7800,2016-05-16
6870.0,6805.0,6628.0,6703.0,28355,2016-05-17
6725.0,6682.0,6517.0,6559.0,32400,2016-05-18
6559.0,6889.0,6663.0,6736.0,13300,2016-05-19
6836.0,6801.0,6635.0,6692.0,8600,2016-05-20
6781.0,6828.0,6740.0,6792.0,8500,2016-05-23
6781.0,6855.0,6799.0,6814.0,4500,2016-05-24
6781.0,6761.0,6705.0,6736.0,1700,2016-05-25
6781.0,6873.0,6772.0,6803.0,3020,2016-05-26
6781.0,6725.0,6637.0,6703.0,1800,2016-05-27
6703.0,6613.0,6471.0,6559.0,20700,2016-05-30
6559.0,6851.0,6681.0,6725.0,24110,2016-05-31
6670.0,6636.0,6603.0,6636.0,3620,2016-06-01
6670.0,6771.0,6616.0,6725.0,15700,2016-06-02
6670.0,7133.0,6804.0,6992.0,42800,2016-06-03
7037.0,7493.0,7133.0,7392.0,76805,2016-06-06
7392.0,7373.0,7151.0,7337.0,21920,2016-06-07
7226.0,7578.0,7362.0,7381.0,8200,2016-06-08
7337.0,7607.0,7224.0,7459.0,55200,2016-06-09
7281.0,7412.0,7267.0,7381.0,6900,2016-06-10
7248.0,7253.0,7231.0,7237.0,4100,2016-06-13
7003.0,7246.0,7023.0,7226.0,2810,2016-06-14
7281.0,7813.0,7406.0,7670.0,50645,2016-06-15
7670.0,8129.0,7790.0,7981.0,45470,2016-06-16
7892.0,9350.0,8292.0,8648.0,58500,2016-06-17
8648.0,8679.0,8255.0,8437.0,18500,2016-06-20
8782.0,9214.0,8739.0,9004.0,86630,2016-06-21
9115.0,9176.0,8933.0,9004.0,19900,2016-06-22
9004.0,9093.0,8925.0,8993.0,32920,2016-06-23
8893.0,8977.0,8180.0,8559.0,43320,2016-06-24
8559.0,8881.0,8540.0,8671.0,18256,2016-06-27
8782.0,9098.0,8819.0,9004.0,32400,2016-06-28
9004.0,9090.0,8868.0,8971.0,33150,2016-06-29
8893.0,9056.0,8911.0,9004.0,61734,2016-06-30
9026.0,9517.0,9177.0,9226.0,58250,2016-07-01
9708.0,10023.0,9443.0,9872.0,67068,2016-07-04
9872.0,9835.0,9589.0,9708.0,27700,2016-07-05
9691.0,9585.0,9276.0,9379.0,28000,2016-07-06
9379.0,9664.0,9238.0,9379.0,39700,2016-07-07
9379.0,9708.0,9329.0,9560.0,37642,2016-07-08
