open,high,low,close,volume,tradingDate
4881.0,6648.0,4754.0,6443.0,6907530,2014-09-29
6443.0,6353.0,5059.0,5141.0,4769835,2014-10-06
5141.0,5374.0,4692.0,5206.0,2828020,2014-10-13
5304.0,5549.0,5045.0,5304.0,1443023,2014-10-20
5271.0,5643.0,5157.0,5532.0,2649750,2014-10-27
5564.0,5761.0,5291.0,5434.0,4062455,2014-11-03
5467.0,5757.0,5485.0,5597.0,5708920,2014-11-10
5629.0,5889.0,5121.0,5750.0,10617456,2014-11-17
5667.0,5618.0,4813.0,5254.0,3017900,2014-11-24
5295.0,5355.0,5086.0,5254.0,2997100,2014-12-01
5254.0,5351.0,4867.0,4964.0,3476640,2014-12-08
5005.0,5071.0,4320.0,4799.0,2502610,2014-12-15
4716.0,5144.0,4525.0,4675.0,2854200,2014-12-22
4675.0,4857.0,4218.0,4799.0,1118710,2014-12-29
4881.0,4924.0,4587.0,4757.0,644800,2015-01-05
4757.0,4791.0,4484.0,4675.0,918620,2015-01-12
4716.0,4914.0,4713.0,4840.0,1393330,2015-01-19
4923.0,5307.0,4570.0,4716.0,2647800,2015-01-26
4675.0,4803.0,4357.0,4633.0,1793800,2015-02-02
4592.0,4783.0,4486.0,4757.0,1979500,2015-02-09
4881.0,5125.0,4835.0,4964.0,2947800,2015-02-24
4964.0,5256.0,4947.0,5171.0,4506245,2015-03-02
5212.0,5509.0,5169.0,5254.0,4934970,2015-03-09
5212.0,5394.0,5074.0,5295.0,3738945,2015-03-16
5212.0,5604.0,5102.0,5378.0,5944074,2015-03-23
5378.0,5487.0,5095.0,5419.0,5022654,2015-03-30
5419.0,5818.0,5330.0,5686.0,6838010,2015-04-06
5686.0,5856.0,5461.0,5774.0,8275674,2015-04-13
5774.0,5845.0,5510.0,5686.0,5668410,2015-04-20
5686.0,5673.0,5541.0,5598.0,361500,2015-04-27
5598.0,5448.0,4840.0,5245.0,5696654,2015-05-04
5245.0,5363.0,4998.0,5113.0,2487300,2015-05-11
5201.0,5603.0,5054.0,5378.0,3377400,2015-05-18
5289.0,5728.0,5305.0,5510.0,5046600,2015-05-25
5554.0,5568.0,5272.0,5510.0,3678900,2015-06-01
5554.0,6173.0,5494.0,6083.0,8106564,2015-06-08
6127.0,6016.0,5605.0,5686.0,4333400,2015-06-15
5686.0,5905.0,5552.0,5642.0,3076710,2015-06-22
5642.0,5799.0,5484.0,5598.0,3505910,2015-06-29
5642.0,6031.0,5515.0,5907.0,6119558,2015-07-06
5907.0,6703.0,5979.0,6039.0,9511386,2015-07-13
6039.0,6351.0,5915.0,6083.0,3809446,2015-07-20
6039.0,6207.0,5932.0,5995.0,2627758,2015-07-27
5951.0,6131.0,5810.0,6039.0,2793756,2015-08-03
6039.0,6433.0,5848.0,6083.0,5462928,2015-08-10
6083.0,6103.0,5666.0,5907.0,4967700,2015-08-17
5862.0,6975.0,5516.0,6656.0,9601168,2015-08-24
6700.0,7130.0,6465.0,6832.0,6186540,2015-08-31
6788.0,7449.0,6659.0,6920.0,7663555,2015-09-07
