open,high,low,close,volume,tradingDate
18775.0,19096.0,18775.0,19096.0,1188640,2016-03-23
19096.0,19096.0,18855.0,18855.0,1431560,2016-03-24
18775.0,18935.0,18694.0,18694.0,1159170,2016-03-25
19015.0,19176.0,19015.0,19015.0,1408570,2016-03-28
19096.0,19256.0,18935.0,18935.0,1233580,2016-03-29
18935.0,19096.0,18855.0,19015.0,716990,2016-03-30
18935.0,19256.0,18935.0,19015.0,1496780,2016-03-31
18935.0,19416.0,18935.0,19336.0,3235120,2016-04-01
19336.0,19497.0,19096.0,19256.0,2468190,2016-04-04
19256.0,19497.0,19176.0,19416.0,1294920,2016-04-05
19336.0,19497.0,19256.0,19256.0,1384410,2016-04-06
19416.0,20299.0,19256.0,20299.0,7279980,2016-04-07
20219.0,20379.0,19978.0,20299.0,1474470,2016-04-08
20219.0,20379.0,20058.0,20379.0,2395830,2016-04-11
20299.0,20700.0,20139.0,20540.0,4600800,2016-04-12
20540.0,20540.0,19978.0,20058.0,2350120,2016-04-13
20139.0,20139.0,19818.0,19898.0,2116790,2016-04-14
19898.0,19978.0,19818.0,19978.0,1287750,2016-04-15
20058.0,20058.0,19577.0,19577.0,2220640,2016-04-19
19657.0,19898.0,19497.0,19737.0,3252180,2016-04-20
19737.0,19898.0,19577.0,19898.0,2448200,2016-04-21
19898.0,20139.0,19737.0,20058.0,1919110,2016-04-22
20058.0,20058.0,19737.0,19737.0,1394440,2016-04-25
19737.0,19898.0,19657.0,19737.0,1323940,2016-04-26
19818.0,19818.0,19577.0,19657.0,1173640,2016-04-27
19657.0,19657.0,19416.0,19497.0,934890,2016-04-28
19497.0,20139.0,19497.0,19898.0,2321520,2016-04-29
19898.0,20058.0,19737.0,19978.0,743320,2016-05-04
19978.0,20299.0,19737.0,20219.0,2080880,2016-05-05
20219.0,20219.0,19898.0,20058.0,2775930,2016-05-06
20058.0,20219.0,19898.0,20058.0,2168570,2016-05-09
19898.0,20219.0,19818.0,20139.0,1161620,2016-05-10
20058.0,20700.0,20058.0,20540.0,3758780,2016-05-11
20540.0,20941.0,20540.0,20780.0,2573930,2016-05-12
20700.0,20941.0,20540.0,20620.0,1157140,2016-05-13
20700.0,20700.0,20379.0,20620.0,546630,2016-05-16
20620.0,20861.0,20379.0,20861.0,1308770,2016-05-17
20861.0,20941.0,20700.0,20780.0,581650,2016-05-18
20780.0,20780.0,20459.0,20459.0,725680,2016-05-19
20459.0,20620.0,20379.0,20540.0,420130,2016-05-20
20459.0,20459.0,20219.0,20379.0,239050,2016-05-23
20379.0,20459.0,20299.0,20379.0,351550,2016-05-24
20540.0,20540.0,20299.0,20299.0,456110,2016-05-25
20299.0,20379.0,20219.0,20299.0,705210,2016-05-26
20219.0,20379.0,20219.0,20379.0,108820,2016-05-27
20379.0,20459.0,20219.0,20459.0,201920,2016-05-30
20459.0,20459.0,20299.0,20299.0,606220,2016-05-31
20379.0,20459.0,20299.0,20459.0,616490,2016-06-01
20459.0,20620.0,20379.0,20540.0,481500,2016-06-02
20459.0,20620.0,20459.0,20620.0,267550,2016-06-03
20620.0,20700.0,20459.0,20700.0,416430,2016-06-06
20700.0,20700.0,20459.0,20620.0,302700,2016-06-07
20620.0,20780.0,20540.0,20780.0,718610,2016-06-08
20861.0,20861.0,20540.0,20780.0,430270,2016-06-09
20780.0,20861.0,20700.0,20780.0,524710,2016-06-10
20780.0,20780.0,20540.0,20700.0,311670,2016-06-13
20700.0,20700.0,20459.0,20620.0,444320,2016-06-14
20459.0,20620.0,20459.0,20620.0,361410,2016-06-15
20700.0,20780.0,20540.0,20700.0,761710,2016-06-16
20780.0,20780.0,20540.0,20540.0,512340,2016-06-17
20700.0,21503.0,20620.0,21503.0,2004650,2016-06-20
21503.0,21663.0,21182.0,21182.0,1246170,2016-06-21
21342.0,21342.0,20941.0,21021.0,906660,2016-06-22
20861.0,21262.0,20861.0,21262.0,2037600,2016-06-23
21262.0,21262.0,19898.0,20941.0,1947160,2016-06-24
20861.0,20861.0,20459.0,20861.0,381910,2016-06-27
20861.0,20941.0,20700.0,20780.0,1655170,2016-06-28
20941.0,21262.0,20941.0,21101.0,1691000,2016-06-29
21262.0,21262.0,21021.0,21101.0,780830,2016-06-30
21101.0,21262.0,21021.0,21101.0,462630,2016-07-01
21101.0,21422.0,21021.0,21182.0,748070,2016-07-04
21182.0,22144.0,20941.0,22144.0,2754050,2016-07-05
21663.0,22305.0,21663.0,22305.0,907400,2016-07-06
22546.0,22626.0,22144.0,22626.0,2226150,2016-07-07
22465.0,22626.0,22064.0,22064.0,929890,2016-07-08
22064.0,22064.0,21101.0,21262.0,1553320,2016-07-11
21262.0,21583.0,21182.0,21262.0,1329180,2016-07-12
21262.0,21583.0,21262.0,21503.0,2378270,2016-07-13
21422.0,21583.0,21101.0,21101.0,1665020,2016-07-14
21101.0,21503.0,21101.0,21503.0,1095290,2016-07-15
21956.0,21956.0,21462.0,21791.0,1840800,2016-07-18
21627.0,21791.0,21380.0,21545.0,1452930,2016-07-19
21462.0,21545.0,21216.0,21462.0,2784030,2016-07-20
21380.0,21462.0,21134.0,21298.0,1009260,2016-07-21
21051.0,21216.0,20969.0,21134.0,1404030,2016-07-22
21051.0,21216.0,20969.0,21134.0,731370,2016-07-25
21051.0,21134.0,20887.0,21134.0,850420,2016-07-26
20969.0,21134.0,20887.0,20969.0,1088890,2016-07-27
21216.0,21380.0,21134.0,21216.0,5012190,2016-07-28
21298.0,21380.0,21216.0,21380.0,3385030,2016-07-29
21380.0,21380.0,21134.0,21298.0,4198160,2016-08-01
21134.0,21298.0,20722.0,20722.0,4768970,2016-08-02
20805.0,21051.0,20722.0,20722.0,3102860,2016-08-03
