open,high,low,close,volume,tradingDate
10553.0,10554.0,8594.0,10554.0,117370,2010-01-22
10041.0,10041.0,8232.0,8232.0,78900,2010-01-25
8232.0,8594.0,7900.0,7961.0,250770,2010-02-01
7960.0,8111.0,7569.0,7840.0,87150,2010-02-08
8111.0,8331.0,7611.0,7673.0,60110,2010-02-22
7673.0,7955.0,7517.0,7704.0,104800,2010-03-01
7704.0,7955.0,7454.0,7579.0,216900,2010-03-08
7579.0,7798.0,7297.0,7579.0,303410,2010-03-15
7517.0,7579.0,6828.0,6890.0,262780,2010-03-22
6890.0,7579.0,6577.0,7579.0,425550,2010-03-29
7955.0,8769.0,7955.0,8769.0,1087280,2010-04-05
8769.0,10805.0,8707.0,9959.0,1153780,2010-04-12
9552.0,10335.0,9490.0,9709.0,702700,2010-04-19
9646.0,9865.0,8957.0,9083.0,495410,2010-04-26
9083.0,9646.0,8675.0,8832.0,822490,2010-05-04
8769.0,9396.0,8143.0,8769.0,806850,2010-05-10
8769.0,8769.0,7141.0,7141.0,557400,2010-05-17
7141.0,8425.0,7141.0,8300.0,222420,2010-05-24
7946.0,8460.0,7881.0,7881.0,245630,2010-05-31
7720.0,8139.0,7592.0,8074.0,210000,2010-06-07
8042.0,8364.0,7946.0,8267.0,131030,2010-06-14
8364.0,8364.0,7753.0,7817.0,85730,2010-06-21
8042.0,8299.0,7785.0,8171.0,114610,2010-06-28
8267.0,8364.0,7817.0,7881.0,210070,2010-07-05
7881.0,8203.0,7881.0,8106.0,101190,2010-07-12
7881.0,8106.0,7817.0,7881.0,66670,2010-07-19
7881.0,7913.0,7109.0,7656.0,82420,2010-07-26
7720.0,7720.0,7238.0,7624.0,172790,2010-08-02
7656.0,7978.0,7013.0,7334.0,130100,2010-08-09
7656.0,7688.0,7141.0,7238.0,99060,2010-08-16
7527.0,7527.0,6241.0,6434.0,134770,2010-08-23
6755.0,7206.0,6755.0,7077.0,54040,2010-08-30
7399.0,7399.0,6852.0,6916.0,136130,2010-09-06
6627.0,7045.0,6627.0,6787.0,72610,2010-09-13
6916.0,6981.0,6498.0,6562.0,56680,2010-09-20
6755.0,6916.0,6434.0,6434.0,145860,2010-09-27
6369.0,6594.0,5951.0,6434.0,83940,2010-10-04
6401.0,6434.0,6112.0,6434.0,58950,2010-10-11
6273.0,6273.0,5758.0,5887.0,104730,2010-10-18
5662.0,6241.0,5662.0,5887.0,33590,2010-10-25
6080.0,6080.0,5469.0,5565.0,53660,2010-11-01
5758.0,5758.0,5115.0,5404.0,50840,2010-11-08
5404.0,5404.0,4664.0,4793.0,86450,2010-11-15
4697.0,5147.0,4632.0,5147.0,461830,2010-11-22
5404.0,6434.0,5115.0,6144.0,1630540,2010-11-29
6241.0,6241.0,5211.0,5887.0,1979040,2010-12-06
6176.0,6530.0,5662.0,6530.0,4414510,2010-12-13
6852.0,7109.0,5790.0,6369.0,4877140,2010-12-20
6369.0,6787.0,5887.0,6369.0,3381790,2010-12-27
6208.0,6434.0,5887.0,5919.0,695130,2011-01-04
5790.0,5855.0,5404.0,5790.0,834550,2011-01-10
5726.0,6015.0,5501.0,5951.0,1017100,2011-01-17
5951.0,5951.0,5597.0,5790.0,438070,2011-01-24
5919.0,5951.0,5726.0,5822.0,448550,2011-02-08
5822.0,5822.0,5501.0,5629.0,466210,2011-02-14
5501.0,5887.0,5147.0,5758.0,966800,2011-02-21
5758.0,5790.0,5211.0,5211.0,351460,2011-02-28
5308.0,5340.0,4825.0,5340.0,185130,2011-03-07
5147.0,5340.0,4922.0,5147.0,121640,2011-03-14
5211.0,5211.0,4922.0,5083.0,98600,2011-03-21
5018.0,5147.0,4729.0,4857.0,78400,2011-03-28
4825.0,5018.0,4825.0,4922.0,100090,2011-04-04
4857.0,4857.0,4729.0,4729.0,48300,2011-04-13
4664.0,4793.0,4504.0,4504.0,113530,2011-04-18
4536.0,4632.0,4375.0,4504.0,164010,2011-04-25
4504.0,4697.0,4407.0,4407.0,88670,2011-05-04
4600.0,4600.0,4182.0,4504.0,32280,2011-05-09
4504.0,4504.0,3989.0,4118.0,44840,2011-05-16
3925.0,4118.0,3410.0,3892.0,118720,2011-05-23
3892.0,3892.0,3506.0,3539.0,107160,2011-05-30
3410.0,3539.0,3378.0,3474.0,154980,2011-06-06
3603.0,3860.0,3506.0,3506.0,952430,2011-06-13
3345.0,3378.0,3056.0,3152.0,622780,2011-06-20
3249.0,3249.0,2734.0,2766.0,660930,2011-06-27
2766.0,2895.0,2734.0,2766.0,201600,2011-07-04
2766.0,2766.0,2606.0,2670.0,208290,2011-07-11
2670.0,2734.0,2638.0,2702.0,195300,2011-07-18
2702.0,2799.0,2670.0,2766.0,108820,2011-07-25
