open,high,low,close,volume,tradingDate
14311.0,14534.0,13910.0,13910.0,85550,2016-03-22
13999.0,14311.0,13999.0,14311.0,62000,2016-03-23
14490.0,15159.0,14490.0,15159.0,114350,2016-03-24
15159.0,16184.0,15159.0,16184.0,228410,2016-03-25
17076.0,17209.0,16229.0,16987.0,117820,2016-03-28
16942.0,16987.0,16273.0,16585.0,200030,2016-03-29
16407.0,17432.0,16407.0,17343.0,154390,2016-03-30
17343.0,17566.0,17165.0,17165.0,84780,2016-03-31
16139.0,17076.0,16139.0,16719.0,53980,2016-04-01
15872.0,16853.0,15872.0,16318.0,42210,2016-04-04
16273.0,16630.0,16273.0,16585.0,41820,2016-04-05
17209.0,17209.0,16585.0,16897.0,26550,2016-04-06
16942.0,17477.0,16942.0,17388.0,112230,2016-04-07
17165.0,18592.0,17165.0,18101.0,129720,2016-04-08
18101.0,18948.0,18101.0,18101.0,105750,2016-04-11
17789.0,18279.0,17789.0,18146.0,54620,2016-04-12
18458.0,18458.0,17789.0,17834.0,112380,2016-04-13
17744.0,17967.0,17700.0,17834.0,76990,2016-04-14
18012.0,18101.0,17789.0,17789.0,93980,2016-04-15
17834.0,17834.0,16942.0,16987.0,125370,2016-04-19
16853.0,17611.0,16853.0,16942.0,130210,2016-04-20
17343.0,17477.0,17076.0,17388.0,135630,2016-04-21
17165.0,17834.0,17120.0,17611.0,87630,2016-04-22
17432.0,17611.0,17254.0,17522.0,138130,2016-04-25
17299.0,17477.0,17254.0,17343.0,96200,2016-04-26
17566.0,17566.0,17165.0,17343.0,50340,2016-04-27
17343.0,17343.0,16987.0,16987.0,92210,2016-04-28
16897.0,17299.0,16585.0,17299.0,80480,2016-04-29
17299.0,17299.0,16853.0,16853.0,34330,2016-05-04
16719.0,16808.0,16585.0,16808.0,68950,2016-05-05
16674.0,16808.0,16630.0,16674.0,26630,2016-05-06
16585.0,16719.0,16496.0,16585.0,26860,2016-05-09
16585.0,16585.0,16273.0,16585.0,44820,2016-05-10
16318.0,16541.0,16318.0,16407.0,11700,2016-05-11
16541.0,16719.0,16496.0,16585.0,41160,2016-05-12
16585.0,16585.0,16050.0,16496.0,17870,2016-05-13
16541.0,16541.0,16318.0,16318.0,8240,2016-05-16
16630.0,16630.0,16273.0,16496.0,50540,2016-05-17
16496.0,16674.0,16496.0,16541.0,3370,2016-05-18
16541.0,16719.0,16452.0,16541.0,4500,2016-05-19
16541.0,16630.0,16407.0,16541.0,10500,2016-05-20
16496.0,16541.0,16407.0,16452.0,12660,2016-05-23
16407.0,16987.0,16407.0,16764.0,38380,2016-05-24
16942.0,16942.0,16630.0,16719.0,11670,2016-05-25
16674.0,16853.0,16496.0,16585.0,40400,2016-05-26
16585.0,16585.0,16407.0,16407.0,32120,2016-05-27
16362.0,16674.0,16362.0,16630.0,25920,2016-05-30
16585.0,16630.0,16452.0,16496.0,5350,2016-05-31
16630.0,16630.0,16407.0,16452.0,21220,2016-06-01
16452.0,16674.0,16452.0,16674.0,42720,2016-06-02
16585.0,16719.0,16496.0,16496.0,38990,2016-06-03
16719.0,16719.0,16362.0,16496.0,95450,2016-06-06
16496.0,17611.0,16407.0,17611.0,262060,2016-06-07
17611.0,17834.0,16719.0,17388.0,57880,2016-06-08
17388.0,17432.0,17165.0,17432.0,18780,2016-06-09
17477.0,17566.0,17299.0,17522.0,143550,2016-06-10
17522.0,17522.0,17031.0,17165.0,26210,2016-06-13
17031.0,18012.0,17031.0,17834.0,291960,2016-06-14
17834.0,17834.0,17566.0,17655.0,108010,2016-06-15
