open,high,low,close,volume,tradingDate
5590.0,5975.0,5012.0,5012.0,407700,2011-11-23
4819.0,5050.0,4395.0,4472.0,741710,2011-11-28
4472.0,4915.0,4472.0,4819.0,370160,2011-12-05
4819.0,4819.0,4395.0,4433.0,192960,2011-12-12
4472.0,4641.0,4241.0,4641.0,158690,2011-12-19
4579.0,4847.0,4579.0,4641.0,141090,2011-12-26
4600.0,4785.0,4538.0,4579.0,88280,2012-01-03
4538.0,4538.0,4393.0,4497.0,174140,2012-01-09
4497.0,4930.0,4435.0,4847.0,138380,2012-01-16
4806.0,4950.0,4641.0,4703.0,220970,2012-01-30
4641.0,4889.0,4641.0,4682.0,206050,2012-02-06
4724.0,4806.0,4559.0,4765.0,139980,2012-02-13
4868.0,5054.0,4744.0,5054.0,449880,2012-02-20
5301.0,6291.0,5301.0,6188.0,904360,2012-02-27
6374.0,6518.0,5817.0,5920.0,1084960,2012-03-05
5982.0,6106.0,5652.0,5982.0,395090,2012-03-12
5879.0,6147.0,5817.0,6147.0,568570,2012-03-19
6188.0,6229.0,5775.0,5879.0,377420,2012-03-26
5879.0,6353.0,5858.0,6353.0,750550,2012-04-03
6662.0,6807.0,6271.0,6786.0,1055290,2012-04-09
6869.0,7735.0,6662.0,7261.0,1297150,2012-04-16
7095.0,7473.0,6740.0,7071.0,591710,2012-04-23
7331.0,7355.0,6835.0,7237.0,442390,2012-05-02
7568.0,7781.0,7095.0,7095.0,749660,2012-05-07
7000.0,7095.0,6504.0,6622.0,571820,2012-05-14
6787.0,7047.0,6314.0,6645.0,355400,2012-05-21
6953.0,6953.0,6504.0,6598.0,157460,2012-05-28
6574.0,6764.0,6291.0,6598.0,172960,2012-06-04
6693.0,6693.0,6409.0,6551.0,78480,2012-06-11
6693.0,6693.0,6456.0,6456.0,80670,2012-06-18
6504.0,6504.0,6054.0,6220.0,134360,2012-06-25
6291.0,6314.0,6101.0,6196.0,121900,2012-07-02
6172.0,6314.0,6078.0,6220.0,88780,2012-07-09
