open,high,low,close,volume,tradingDate
29507.0,30162.0,26310.0,26310.0,1680,2008-07-28
25573.0,26140.0,23442.0,23442.0,420,2008-08-04
22786.0,23291.0,20327.0,20327.0,236730,2008-08-11
19344.0,21700.0,17929.0,21229.0,595780,2008-08-18
22212.0,24967.0,21065.0,21065.0,309800,2008-08-25
22370.0,22537.0,20527.0,21802.0,378000,2008-09-03
21720.0,22202.0,17786.0,17786.0,290790,2008-09-08
18179.0,19019.0,16840.0,17704.0,186320,2008-09-15
18524.0,18935.0,16803.0,16803.0,121990,2008-09-22
16504.0,16924.0,14917.0,15655.0,157570,2008-09-29
16755.0,16756.0,13524.0,13524.0,199820,2008-10-06
13320.0,13824.0,12622.0,12622.0,116500,2008-10-13
13404.0,13405.0,10901.0,10901.0,117010,2008-10-20
10409.0,10892.0,9508.0,10000.0,143110,2008-10-27
10000.0,11143.0,9886.0,10082.0,91690,2008-11-03
10388.0,10473.0,9467.0,9590.0,41800,2008-11-10
9969.0,9970.0,9426.0,9508.0,62730,2008-11-17
9508.0,9886.0,9426.0,9590.0,48240,2008-11-24
9672.0,9886.0,9262.0,9262.0,30510,2008-12-01
9299.0,9300.0,8278.0,8524.0,52570,2008-12-08
8964.0,9048.0,8378.0,8524.0,21800,2008-12-15
8713.0,8713.0,8378.0,8442.0,21130,2008-12-22
8629.0,8881.0,8442.0,8442.0,15530,2008-12-29
8713.0,8713.0,8442.0,8442.0,3910,2009-01-02
8713.0,10389.0,8524.0,10164.0,173600,2009-01-05
10556.0,10557.0,8934.0,8934.0,105620,2009-01-12
9180.0,9384.0,8630.0,9098.0,61650,2009-01-19
9718.0,9719.0,8852.0,9098.0,42600,2009-02-02
9383.0,9551.0,8524.0,8524.0,49470,2009-02-09
8796.0,8797.0,8278.0,8606.0,40050,2009-02-16
8360.0,8881.0,8196.0,8606.0,72050,2009-02-23
8796.0,8965.0,7959.0,8196.0,69230,2009-03-02
8042.0,8630.0,7959.0,8278.0,100400,2009-03-09
8688.0,10138.0,8546.0,9344.0,609820,2009-03-16
9550.0,9970.0,9216.0,9344.0,369100,2009-03-23
9383.0,10557.0,9016.0,10327.0,574660,2009-03-30
10819.0,11059.0,9918.0,10409.0,507310,2009-04-07
10901.0,11394.0,9886.0,10246.0,557590,2009-04-13
10053.0,10389.0,9426.0,9426.0,221250,2009-04-20
9969.0,9970.0,9300.0,9426.0,50770,2009-04-27
10053.0,10557.0,9754.0,9754.0,423500,2009-05-04
10164.0,12484.0,9886.0,12213.0,1077780,2009-05-11
12482.0,14662.0,12148.0,12704.0,862630,2009-05-18
13278.0,14159.0,12622.0,13852.0,972890,2009-05-25
14508.0,17846.0,14508.0,17458.0,198560,2009-06-01
18278.0,22537.0,17762.0,22048.0,992860,2009-06-08
23114.0,26894.0,23114.0,26310.0,1189300,2009-06-15
24999.0,25554.0,20737.0,20737.0,648560,2009-06-22
19753.0,21951.0,16589.0,16967.0,553180,2009-06-29
17786.0,20527.0,17786.0,18524.0,635830,2009-07-06
18179.0,19186.0,16756.0,18114.0,370080,2009-07-13
18012.0,18516.0,16002.0,18114.0,337880,2009-07-20
19017.0,19354.0,16393.0,17212.0,559470,2009-07-27
17676.0,19689.0,16803.0,19262.0,656860,2009-08-03
19771.0,21197.0,19102.0,19262.0,671420,2009-08-10
19687.0,23459.0,19016.0,21147.0,1212240,2009-08-17
21446.0,22202.0,20409.0,20901.0,814770,2009-08-24
21475.0,22035.0,20327.0,20327.0,683280,2009-08-31
21311.0,24967.0,20778.0,24425.0,1890020,2009-09-07
25468.0,30413.0,24967.0,29753.0,1556210,2009-09-14
30578.0,31502.0,28687.0,30819.0,1712550,2009-09-21
33007.0,33010.0,27212.0,27212.0,1202330,2009-09-28
26640.0,29575.0,25901.0,28933.0,1564840,2009-10-05
30997.0,30999.0,27983.0,28196.0,2092150,2009-10-12
29321.0,33010.0,28989.0,30409.0,2378710,2009-10-19
30662.0,31335.0,25972.0,27048.0,1355150,2009-10-26
25737.0,26391.0,23360.0,23360.0,683530,2009-11-02
23876.0,24883.0,21147.0,24343.0,751380,2009-11-09
26054.0,27397.0,24261.0,25655.0,954060,2009-11-16
26808.0,26810.0,21029.0,22704.0,842660,2009-11-23
24211.0,24967.0,22704.0,22704.0,544930,2009-11-30
23708.0,24151.0,20232.0,20507.0,377310,2009-12-07
21487.0,24880.0,21487.0,24340.0,355360,2009-12-14
25883.0,25974.0,23604.0,25143.0,304410,2009-12-21
26430.0,26794.0,24607.0,26213.0,401060,2009-12-28
26794.0,29255.0,26391.0,26391.0,464140,2010-01-04
26156.0,26977.0,24334.0,24965.0,192910,2010-01-11
24334.0,25974.0,22646.0,22646.0,101150,2010-01-18
23181.0,25063.0,23181.0,23984.0,140530,2010-01-25
23449.0,24789.0,23271.0,23271.0,38940,2010-02-01
22784.0,25518.0,22784.0,24965.0,72850,2010-02-08
24698.0,26247.0,24151.0,25410.0,75990,2010-02-22
25678.0,26612.0,24607.0,25410.0,74020,2010-03-01
25974.0,28526.0,25518.0,27283.0,429140,2010-03-08
11600.0,29437.0,11600.0,27639.0,449240,2010-03-15
27523.0,28890.0,26748.0,27283.0,556720,2010-03-22
27888.0,32262.0,27341.0,29958.0,988330,2010-03-29
