open,high,low,close,volume,tradingDate
10398.0,10815.0,8812.0,10560.0,201700,2016-07-28
10398.0,11301.0,10636.0,11048.0,102400,2016-07-29
10966.0,11638.0,11143.0,11454.0,108900,2016-08-01
11373.0,11500.0,11014.0,11291.0,55100,2016-08-02
11210.0,11363.0,10879.0,11129.0,84000,2016-08-03
11129.0,11125.0,10803.0,10966.0,82900,2016-08-04
10885.0,11416.0,11006.0,11291.0,107700,2016-08-05
11210.0,10966.0,10194.0,10723.0,114500,2016-08-08
10804.0,10070.0,8943.0,9667.0,201000,2016-08-09
9585.0,9748.0,9103.0,9261.0,213400,2016-08-10
9261.0,8851.0,7936.0,8529.0,334100,2016-08-11
8448.0,8432.0,7870.0,8123.0,338400,2016-08-12
8042.0,8494.0,8086.0,8367.0,113700,2016-08-15
8286.0,8823.0,8333.0,8611.0,123700,2016-08-16
8529.0,9428.0,8839.0,9098.0,125400,2016-08-17
9017.0,9238.0,8836.0,9017.0,100000,2016-08-18
8854.0,9309.0,8901.0,9179.0,94000,2016-08-19
8936.0,9389.0,8981.0,9261.0,105700,2016-08-22
9179.0,9395.0,8904.0,9098.0,88600,2016-08-23
9179.0,9151.0,8746.0,8936.0,81400,2016-08-24
8773.0,9499.0,8844.0,9261.0,135700,2016-08-25
9098.0,9455.0,8966.0,9261.0,89100,2016-08-26
9098.0,9168.0,8694.0,8936.0,81900,2016-08-29
9017.0,9049.0,8564.0,8773.0,107000,2016-08-30
8692.0,9060.0,8731.0,8854.0,88900,2016-08-31
8773.0,9105.0,8777.0,8936.0,79100,2016-09-01
8854.0,8930.0,8528.0,8692.0,82700,2016-09-05
8692.0,8767.0,8604.0,8692.0,76200,2016-09-06
8611.0,8622.0,8380.0,8529.0,92800,2016-09-07
8529.0,8502.0,8261.0,8367.0,103800,2016-09-08
8367.0,8542.0,8295.0,8448.0,95100,2016-09-09
8448.0,8713.0,8390.0,8529.0,110900,2016-09-12
8448.0,8701.0,8537.0,8611.0,80400,2016-09-13
8611.0,8739.0,8574.0,8611.0,55200,2016-09-14
8448.0,8623.0,8460.0,8529.0,58300,2016-09-15
8529.0,8607.0,8363.0,8448.0,51800,2016-09-16
8448.0,8314.0,8154.0,8286.0,97400,2016-09-19
8286.0,8456.0,8293.0,8367.0,96600,2016-09-20
8286.0,8663.0,8416.0,8529.0,101400,2016-09-21
8367.0,8837.0,8507.0,8692.0,133600,2016-09-22
8529.0,8891.0,8484.0,8773.0,98100,2016-09-23
8611.0,8792.0,8548.0,8692.0,73800,2016-09-26
8773.0,8806.0,8561.0,8692.0,39400,2016-09-27
8611.0,8852.0,8688.0,8773.0,62300,2016-09-28
8692.0,9222.0,8728.0,8936.0,68800,2016-09-29
8936.0,8929.0,8534.0,8773.0,90600,2016-09-30
8854.0,8905.0,8662.0,8773.0,43300,2016-10-03
8773.0,9018.0,8696.0,8936.0,88800,2016-10-04
8773.0,9151.0,8824.0,9098.0,78900,2016-10-05
8936.0,9451.0,9040.0,9342.0,61400,2016-10-06
9261.0,9298.0,9056.0,9179.0,56200,2016-10-07
9098.0,9254.0,8932.0,9098.0,105600,2016-10-10
9098.0,9110.0,8948.0,9098.0,82100,2016-10-11
9017.0,8922.0,8600.0,8773.0,66800,2016-10-12
8692.0,10011.0,9077.0,9585.0,124600,2016-10-13
9829.0,9901.0,9495.0,9748.0,86300,2016-10-14
9748.0,9828.0,9666.0,9748.0,70700,2016-10-17
9829.0,9694.0,9297.0,9504.0,84500,2016-10-18
8936.0,9560.0,8837.0,9423.0,82400,2016-10-19
9423.0,10643.0,9956.0,10073.0,45400,2016-10-20
10073.0,10778.0,10114.0,10560.0,71800,2016-10-21
10560.0,10567.0,10083.0,10317.0,83700,2016-10-24
10966.0,10972.0,10159.0,10317.0,71000,2016-10-25
10398.0,10339.0,9855.0,10073.0,75800,2016-10-26
10073.0,10737.0,10238.0,10479.0,92700,2016-10-27
10317.0,10875.0,10377.0,10642.0,48900,2016-10-28
10723.0,10595.0,10033.0,10235.0,133800,2016-10-31
10154.0,10383.0,10219.0,10317.0,74700,2016-11-01
