open,high,low,close,volume,tradingDate
4658.0,4658.0,4658.0,4658.0,320950,2009-08-14
4755.0,4755.0,4269.0,4609.0,555860,2009-08-17
4658.0,4784.0,4512.0,4784.0,774140,2009-08-24
4997.0,5434.0,4997.0,5191.0,865040,2009-08-31
5094.0,5143.0,4793.0,5094.0,790420,2009-09-07
5143.0,5337.0,4774.0,4949.0,970260,2009-09-14
5094.0,5482.0,4997.0,5143.0,1352550,2009-09-21
5385.0,5628.0,4997.0,5046.0,1794970,2009-09-28
5094.0,6162.0,5046.0,6162.0,1171440,2009-10-05
6453.0,7375.0,6453.0,7035.0,1862470,2009-10-12
6792.0,7180.0,6501.0,6501.0,1404790,2009-10-19
6307.0,6598.0,5919.0,6598.0,1069770,2009-10-26
6307.0,6453.0,6016.0,6113.0,1044270,2009-11-02
5967.0,6404.0,5531.0,6404.0,767260,2009-11-09
6307.0,6744.0,6113.0,6356.0,794870,2009-11-16
6356.0,6356.0,5288.0,5579.0,608880,2009-11-23
5579.0,5773.0,5046.0,5288.0,378720,2009-11-30
5385.0,5385.0,4609.0,4609.0,352470,2009-12-07
4658.0,4832.0,4289.0,4464.0,209840,2009-12-14
4648.0,4997.0,4454.0,4997.0,375030,2009-12-21
5046.0,5725.0,4852.0,5531.0,469590,2009-12-28
5773.0,6259.0,5579.0,5725.0,688020,2010-01-04
5531.0,5725.0,5094.0,5337.0,369310,2010-01-11
5094.0,5288.0,4425.0,4464.0,384900,2010-01-18
4560.0,4949.0,4464.0,4619.0,259160,2010-01-25
4619.0,4852.0,4561.0,4658.0,130540,2010-02-01
4658.0,4842.0,4464.0,4784.0,60640,2010-02-08
4842.0,4900.0,4561.0,4784.0,83740,2010-02-22
4803.0,5143.0,4803.0,4997.0,203490,2010-03-01
5191.0,5628.0,5046.0,5579.0,551800,2010-03-08
5579.0,5826.0,5234.0,5382.0,737740,2010-03-15
5431.0,5678.0,5135.0,5579.0,967720,2010-03-22
5481.0,5629.0,5086.0,5530.0,703370,2010-03-29
5728.0,6221.0,5530.0,6123.0,1197370,2010-04-05
6221.0,6320.0,5678.0,6172.0,851570,2010-04-12
6024.0,6271.0,5826.0,6024.0,607790,2010-04-19
6073.0,6863.0,6073.0,6814.0,1037660,2010-04-26
6814.0,7406.0,6666.0,7011.0,1112600,2010-05-04
6913.0,6913.0,5876.0,5925.0,518880,2010-05-10
5876.0,5925.0,5382.0,5530.0,540730,2010-05-17
5530.0,5777.0,5283.0,5777.0,521160,2010-05-24
5826.0,6271.0,5777.0,5826.0,789650,2010-05-31
5629.0,5875.0,5530.0,5777.0,244970,2010-06-07
5925.0,5925.0,5629.0,5777.0,157090,2010-06-14
5826.0,5974.0,5728.0,5728.0,262020,2010-06-21
5728.0,5876.0,5431.0,5579.0,199460,2010-06-28
5481.0,5530.0,5234.0,5333.0,95000,2010-07-05
5333.0,5678.0,5283.0,5333.0,107870,2010-07-12
5382.0,5431.0,5184.0,5333.0,154140,2010-07-19
5333.0,5579.0,5333.0,5431.0,256140,2010-07-26
5382.0,5481.0,5283.0,5431.0,361210,2010-08-02
5431.0,5481.0,5333.0,5431.0,608940,2010-08-09
5382.0,5581.0,5382.0,5581.0,138780,2010-08-16
5430.0,5531.0,5279.0,5531.0,207230,2010-08-23
5732.0,5732.0,5481.0,5481.0,13430,2010-08-30
5531.0,5531.0,5279.0,5279.0,61780,2010-09-06
5229.0,5380.0,5229.0,5229.0,2910,2010-09-13
5279.0,5330.0,4968.0,5028.0,195560,2010-09-20
5028.0,5229.0,4938.0,4958.0,28960,2010-09-27
4787.0,5028.0,4777.0,4968.0,16830,2010-10-04
4968.0,5008.0,4596.0,4817.0,212630,2010-10-11
4847.0,4958.0,4274.0,4616.0,192310,2010-10-18
4827.0,5078.0,4686.0,4686.0,100460,2010-10-25
4716.0,4716.0,3932.0,4133.0,168510,2010-11-01
4304.0,4304.0,3711.0,3711.0,84320,2010-11-08
3821.0,3821.0,3228.0,3419.0,32380,2010-11-15
3248.0,3721.0,3248.0,3691.0,20460,2010-11-22
3711.0,4133.0,3439.0,4133.0,221320,2010-11-29
4334.0,4525.0,3821.0,4224.0,172820,2010-12-06
4435.0,4435.0,3781.0,4022.0,160240,2010-12-13
4133.0,4133.0,3882.0,3922.0,76440,2010-12-20
4033.0,4123.0,3872.0,3972.0,17680,2010-12-27
3922.0,4002.0,3721.0,3962.0,17980,2011-01-04
