open,high,low,close,volume,tradingDate
3954.0,3954.0,3954.0,3954.0,2485,2015-07-03
3954.0,3954.0,3954.0,3954.0,0,2015-07-06
3954.0,3954.0,3954.0,3954.0,4819,2015-07-07
3954.0,3954.0,3954.0,3954.0,6525,2015-07-08
3954.0,3954.0,3954.0,3954.0,0,2015-07-09
3901.0,3901.0,3901.0,3901.0,100,2015-07-10
3901.0,3901.0,3901.0,3901.0,0,2015-07-13
3901.0,3901.0,3901.0,3901.0,0,2015-07-14
3901.0,3901.0,3901.0,3901.0,814,2015-07-15
3901.0,3901.0,3901.0,3901.0,100,2015-07-16
3901.0,3901.0,3901.0,3901.0,136,2015-07-17
3901.0,3901.0,3901.0,3901.0,200,2015-07-20
3901.0,3901.0,3901.0,3901.0,0,2015-07-21
3954.0,3950.0,3897.0,3901.0,1500,2015-07-22
3901.0,3901.0,3901.0,3901.0,0,2015-07-23
3901.0,3976.0,3923.0,3954.0,2300,2015-07-24
3954.0,3954.0,3954.0,3954.0,0,2015-07-27
3901.0,3901.0,3901.0,3901.0,2500,2015-07-28
3901.0,3901.0,3901.0,3901.0,1900,2015-07-29
3901.0,3901.0,3901.0,3901.0,2000,2015-07-30
3901.0,3901.0,3901.0,3901.0,21,2015-07-31
3901.0,3901.0,3901.0,3901.0,0,2015-08-03
3901.0,3901.0,3901.0,3901.0,0,2015-08-04
3901.0,3901.0,3901.0,3901.0,0,2015-08-05
3901.0,3901.0,3901.0,3901.0,45,2015-08-06
3901.0,3940.0,3888.0,3901.0,4000,2015-08-07
3901.0,3901.0,3901.0,3901.0,0,2015-08-10
3901.0,3901.0,3901.0,3901.0,0,2015-08-11
3901.0,3901.0,3901.0,3901.0,0,2015-08-12
3848.0,3848.0,3848.0,3848.0,1050,2015-08-13
3848.0,3848.0,3848.0,3848.0,0,2015-08-14
3848.0,3848.0,3848.0,3848.0,0,2015-08-17
3848.0,3848.0,3848.0,3848.0,0,2015-08-18
3954.0,3954.0,3954.0,3954.0,3000,2015-08-19
3954.0,3954.0,3954.0,3954.0,0,2015-08-20
3954.0,3954.0,3954.0,3954.0,0,2015-08-21
3954.0,3954.0,3954.0,3954.0,0,2015-08-24
3954.0,3954.0,3954.0,3954.0,0,2015-08-25
3848.0,3848.0,3848.0,3848.0,200,2015-08-26
3796.0,3796.0,3796.0,3796.0,600,2015-08-27
3796.0,3796.0,3796.0,3796.0,0,2015-08-28
3796.0,3796.0,3796.0,3796.0,10000,2015-08-31
3796.0,3796.0,3796.0,3796.0,0,2015-09-01
3427.0,3427.0,3427.0,3427.0,100,2015-09-03
3743.0,3743.0,3743.0,3743.0,5000,2015-09-04
3743.0,3743.0,3743.0,3743.0,0,2015-09-07
3743.0,3743.0,3743.0,3743.0,213,2015-09-08
3743.0,3743.0,3743.0,3743.0,2700,2015-09-09
3743.0,3743.0,3743.0,3743.0,0,2015-09-10
3743.0,3743.0,3743.0,3743.0,0,2015-09-11
3743.0,3743.0,3743.0,3743.0,0,2015-09-14
3848.0,3796.0,3744.0,3796.0,8075,2015-09-15
3796.0,3796.0,3796.0,3796.0,20000,2015-09-16
3427.0,3427.0,3427.0,3427.0,100,2015-09-17
3743.0,3743.0,3743.0,3743.0,200,2015-09-18
3796.0,3796.0,3796.0,3796.0,9900,2015-09-21
3796.0,3796.0,3796.0,3796.0,0,2015-09-22
3848.0,3906.0,3853.0,3901.0,1000,2015-09-23
3901.0,3901.0,3901.0,3901.0,0,2015-09-24
3901.0,3901.0,3901.0,3901.0,0,2015-09-25
3901.0,3599.0,3263.0,3585.0,1500,2015-09-28
3796.0,3769.0,3717.0,3743.0,4000,2015-09-29
3796.0,3909.0,3803.0,3901.0,2600,2015-09-30
3848.0,3848.0,3848.0,3848.0,200,2015-10-01
3848.0,3848.0,3848.0,3848.0,0,2015-10-02
3585.0,3585.0,3585.0,3585.0,100,2015-10-05
3585.0,3585.0,3585.0,3585.0,0,2015-10-06
3286.0,3631.0,3328.0,3584.0,1300,2015-10-07
3584.0,3584.0,3584.0,3584.0,0,2015-10-08
3823.0,3823.0,3823.0,3823.0,9000,2015-10-09
3823.0,3823.0,3823.0,3823.0,0,2015-10-12
3823.0,3823.0,3823.0,3823.0,0,2015-10-13
3823.0,3823.0,3823.0,3823.0,0,2015-10-14
3644.0,3644.0,3644.0,3644.0,100,2015-10-15
3644.0,3644.0,3644.0,3644.0,0,2015-10-16
3644.0,3644.0,3644.0,3644.0,0,2015-10-19
3286.0,4876.0,4003.0,4003.0,2200,2015-10-20
4182.0,4182.0,4182.0,4182.0,100,2015-10-21
4242.0,4242.0,4242.0,4242.0,100,2015-10-22
3823.0,3823.0,3823.0,3823.0,2100,2015-10-23
3823.0,3823.0,3823.0,3823.0,0,2015-10-26
3823.0,3823.0,3823.0,3823.0,83,2015-10-27
3823.0,3823.0,3823.0,3823.0,4252,2015-10-28
3823.0,3823.0,3823.0,3823.0,125,2015-10-29
4182.0,4182.0,4182.0,4182.0,1500,2015-10-30
4182.0,4182.0,4182.0,4182.0,0,2015-11-02
4182.0,4182.0,4182.0,4182.0,0,2015-11-03
3883.0,4707.0,4135.0,4421.0,200,2015-11-04
4421.0,4421.0,4421.0,4421.0,0,2015-11-05
4122.0,4122.0,4122.0,4122.0,200,2015-11-06
4003.0,4003.0,4003.0,4003.0,100,2015-11-09
4003.0,4003.0,4003.0,4003.0,0,2015-11-10
3704.0,3704.0,3704.0,3704.0,100,2015-11-11
3584.0,3584.0,3584.0,3584.0,100,2015-11-12
3465.0,3465.0,3465.0,3465.0,170,2015-11-13
3704.0,3704.0,3704.0,3704.0,100,2015-11-16
4003.0,4003.0,4003.0,4003.0,200,2015-11-17
3704.0,3704.0,3704.0,3704.0,100,2015-11-18
3704.0,3704.0,3704.0,3704.0,58,2015-11-19
3883.0,3953.0,3893.0,3943.0,12700,2015-11-20
3943.0,3943.0,3943.0,3943.0,0,2015-11-23
3823.0,4094.0,3911.0,4003.0,2014,2015-11-24
4003.0,4003.0,4003.0,4003.0,0,2015-11-25
4003.0,4003.0,4003.0,4003.0,0,2015-11-26
4003.0,4003.0,4003.0,4003.0,0,2015-11-27
3704.0,3704.0,3704.0,3704.0,1805,2015-11-30
3704.0,3704.0,3704.0,3704.0,0,2015-12-01
3704.0,3704.0,3704.0,3704.0,0,2015-12-02
3704.0,3704.0,3704.0,3704.0,0,2015-12-03
3704.0,3704.0,3704.0,3704.0,0,2015-12-04
3704.0,3704.0,3704.0,3704.0,0,2015-12-07
3704.0,3704.0,3704.0,3704.0,0,2015-12-08
3704.0,3704.0,3704.0,3704.0,0,2015-12-09
3704.0,3704.0,3704.0,3704.0,0,2015-12-10
3346.0,4734.0,3957.0,4003.0,1753,2015-12-11
4003.0,4003.0,4003.0,4003.0,0,2015-12-14
4003.0,4003.0,4003.0,4003.0,0,2015-12-15
4003.0,4003.0,4003.0,4003.0,0,2015-12-16
4003.0,4003.0,4003.0,4003.0,0,2015-12-17
3704.0,3704.0,3704.0,3704.0,10000,2015-12-18
3704.0,3704.0,3704.0,3704.0,0,2015-12-21
3704.0,3704.0,3704.0,3704.0,0,2015-12-22
3584.0,3584.0,3584.0,3584.0,4000,2015-12-23
3704.0,4061.0,3873.0,3883.0,1950,2015-12-24
3883.0,4460.0,4142.0,4182.0,800,2015-12-25
4481.0,4481.0,4481.0,4481.0,100,2015-12-28
4182.0,5216.0,4564.0,4779.0,19800,2015-12-29
5078.0,5078.0,5078.0,5078.0,112,2015-12-30
5078.0,5730.0,5294.0,5496.0,13400,2015-12-31
4959.0,4959.0,4959.0,4959.0,5002,2016-01-04
4481.0,4481.0,4481.0,4481.0,2100,2016-01-05
4481.0,4481.0,4481.0,4481.0,10,2016-01-06
4481.0,4481.0,4481.0,4481.0,0,2016-01-07
4481.0,4481.0,4481.0,4481.0,0,2016-01-08
4122.0,4122.0,4122.0,4122.0,700,2016-01-11
4122.0,4122.0,4122.0,4122.0,0,2016-01-12
4122.0,4122.0,4122.0,4122.0,50,2016-01-13
4122.0,4122.0,4122.0,4122.0,0,2016-01-14
4122.0,4122.0,4122.0,4122.0,0,2016-01-15
3883.0,3883.0,3883.0,3883.0,100,2016-01-18
3883.0,3883.0,3883.0,3883.0,0,2016-01-19
3883.0,3883.0,3883.0,3883.0,0,2016-01-20
3883.0,3883.0,3883.0,3883.0,0,2016-01-21
3644.0,4799.0,4182.0,4182.0,400,2016-01-22
4182.0,4182.0,4182.0,4182.0,0,2016-01-25
4182.0,4182.0,4182.0,4182.0,18700,2016-01-26
4182.0,4182.0,4182.0,4182.0,10000,2016-01-27
4182.0,4182.0,4182.0,4182.0,0,2016-01-28
4182.0,4182.0,4182.0,4182.0,0,2016-01-29
4182.0,4182.0,4182.0,4182.0,0,2016-02-01
4182.0,4182.0,4182.0,4182.0,0,2016-02-02
4182.0,4182.0,4182.0,4182.0,0,2016-02-03
4182.0,4182.0,4182.0,4182.0,0,2016-02-04
4182.0,4182.0,4182.0,4182.0,0,2016-02-05
4182.0,4182.0,4182.0,4182.0,0,2016-02-15
4182.0,4182.0,4182.0,4182.0,0,2016-02-16
4540.0,4540.0,4540.0,4540.0,100,2016-02-17
4540.0,4540.0,4540.0,4540.0,0,2016-02-18
4540.0,4540.0,4540.0,4540.0,0,2016-02-19
4540.0,4540.0,4540.0,4540.0,0,2016-02-22
4540.0,4540.0,4540.0,4540.0,0,2016-02-23
4540.0,4540.0,4540.0,4540.0,10,2016-02-24
4540.0,4540.0,4540.0,4540.0,0,2016-02-25
4540.0,4540.0,4540.0,4540.0,0,2016-02-26
4540.0,4540.0,4540.0,4540.0,0,2016-02-29
4540.0,4540.0,4540.0,4540.0,67,2016-03-01
4361.0,4361.0,4361.0,4361.0,900,2016-03-02
4361.0,4361.0,4361.0,4361.0,9,2016-03-03
4361.0,4361.0,4361.0,4361.0,5,2016-03-04
4361.0,4361.0,4361.0,4361.0,0,2016-03-07
4361.0,4361.0,4361.0,4361.0,0,2016-03-08
4361.0,4361.0,4361.0,4361.0,0,2016-03-09
4361.0,4361.0,4361.0,4361.0,0,2016-03-10
4361.0,4361.0,4361.0,4361.0,0,2016-03-11
4062.0,4062.0,4062.0,4062.0,100,2016-03-14
3883.0,3856.0,3797.0,3823.0,2200,2016-03-15
3823.0,3823.0,3823.0,3823.0,0,2016-03-16
3584.0,3809.0,3686.0,3704.0,700,2016-03-17
3943.0,3943.0,3943.0,3943.0,500,2016-03-18
3943.0,3943.0,3943.0,3943.0,0,2016-03-21
3943.0,3943.0,3943.0,3943.0,51,2016-03-22
3584.0,4879.0,4182.0,4182.0,300,2016-03-23
4182.0,4182.0,4182.0,4182.0,0,2016-03-24
4182.0,4182.0,4182.0,4182.0,0,2016-03-25
