open,high,low,close,volume,tradingDate
24670.0,31314.0,23132.0,28484.0,305700,2007-12-17
33775.0,34021.0,26577.0,28915.0,233200,2007-12-24
29530.0,29530.0,25408.0,26146.0,36800,2008-01-02
26023.0,26085.0,22147.0,24301.0,98700,2008-01-07
25531.0,25531.0,21163.0,23993.0,112400,2008-01-14
23685.0,24055.0,21040.0,23378.0,73300,2008-01-21
22024.0,27992.0,22024.0,24608.0,120400,2008-01-28
23993.0,25839.0,22209.0,22332.0,24800,2008-02-12
20856.0,21840.0,15995.0,17718.0,65700,2008-02-18
15995.0,17964.0,12612.0,13535.0,65100,2008-02-25
13412.0,13412.0,10028.0,12243.0,52400,2008-03-03
13412.0,13412.0,11074.0,11381.0,87100,2008-03-10
10766.0,10828.0,8674.0,9720.0,127000,2008-03-17
9351.0,9351.0,8121.0,8982.0,66000,2008-03-24
9105.0,9782.0,9105.0,9782.0,9700,2008-03-31
10028.0,10274.0,9167.0,9167.0,80400,2008-04-07
8921.0,9167.0,8551.0,8921.0,61300,2008-04-16
8613.0,9351.0,8490.0,9044.0,84000,2008-04-21
8982.0,9167.0,8736.0,8982.0,12100,2008-04-28
9044.0,9044.0,8059.0,8059.0,9800,2008-05-05
8059.0,8059.0,7321.0,7321.0,24000,2008-05-12
7198.0,7321.0,6829.0,6829.0,4200,2008-05-19
6829.0,6829.0,6091.0,6091.0,37300,2008-05-26
6029.0,6029.0,5537.0,5537.0,36200,2008-06-02
5414.0,5537.0,5229.0,5537.0,113700,2008-06-09
5660.0,5906.0,5414.0,5414.0,36400,2008-06-16
5229.0,5660.0,5168.0,5352.0,110800,2008-06-23
5414.0,5783.0,5045.0,5783.0,299800,2008-06-30
5968.0,6767.0,5598.0,6767.0,653500,2008-07-07
7013.0,7998.0,7013.0,7629.0,554800,2008-07-14
7444.0,7444.0,6460.0,6460.0,18500,2008-07-21
6214.0,6460.0,5721.0,5906.0,415400,2008-07-28
5537.0,6029.0,5229.0,5598.0,169400,2008-08-04
5721.0,6214.0,5721.0,6214.0,154100,2008-08-11
6644.0,7075.0,5598.0,6091.0,258400,2008-08-18
5906.0,7136.0,5906.0,6644.0,500500,2008-08-25
6398.0,7629.0,6398.0,7629.0,302400,2008-09-03
8121.0,9228.0,7506.0,7506.0,388800,2008-09-08
7013.0,7998.0,5968.0,6398.0,357600,2008-09-15
6829.0,7013.0,6398.0,6829.0,169400,2008-09-22
7136.0,7259.0,5906.0,6398.0,117400,2008-09-29
6152.0,6152.0,5414.0,5414.0,104600,2008-10-06
5229.0,6091.0,5168.0,5783.0,91000,2008-10-13
5844.0,5906.0,5045.0,5045.0,92200,2008-10-20
5045.0,5106.0,4368.0,4737.0,130300,2008-10-27
4860.0,5537.0,4799.0,4983.0,141200,2008-11-03
5045.0,5291.0,4491.0,4922.0,70700,2008-11-10
4737.0,4860.0,4368.0,4553.0,51900,2008-11-17
4737.0,4737.0,4183.0,4491.0,50100,2008-11-24
4491.0,4491.0,3999.0,3999.0,28800,2008-12-01
3814.0,3876.0,3630.0,3876.0,63500,2008-12-08
3999.0,4122.0,3753.0,3814.0,41700,2008-12-15
3814.0,4429.0,3814.0,4429.0,88300,2008-12-22
4491.0,5229.0,4491.0,4922.0,162800,2008-12-29
5045.0,5045.0,4676.0,4922.0,5200,2009-01-02
4553.0,4799.0,4183.0,4306.0,57000,2009-01-05
4368.0,4368.0,3999.0,4122.0,28700,2009-01-12
4183.0,4245.0,3999.0,4183.0,19100,2009-01-19
4306.0,4306.0,3753.0,3753.0,22300,2009-02-02
3814.0,3876.0,3507.0,3691.0,25900,2009-02-09
3876.0,3876.0,3384.0,3568.0,19200,2009-02-16
3384.0,3384.0,3138.0,3199.0,48600,2009-02-23
3199.0,3199.0,2891.0,3138.0,33800,2009-03-02
3199.0,3630.0,3199.0,3322.0,90500,2009-03-09
3261.0,3753.0,3138.0,3384.0,100700,2009-03-16
3261.0,3445.0,3199.0,3322.0,73100,2009-03-23
3199.0,3445.0,3138.0,3445.0,95600,2009-03-30
3630.0,3937.0,3445.0,3937.0,149000,2009-04-07
4183.0,4614.0,3876.0,3876.0,240600,2009-04-13
3630.0,3753.0,3384.0,3445.0,96200,2009-04-20
3445.0,3507.0,3261.0,3507.0,57600,2009-04-27
3568.0,3814.0,3384.0,3445.0,153900,2009-05-04
3691.0,4122.0,3384.0,4060.0,437800,2009-05-11
4183.0,5045.0,3814.0,5045.0,728500,2009-05-18
5168.0,6091.0,4799.0,5229.0,707100,2009-05-25
5352.0,7075.0,5229.0,7075.0,556600,2009-06-01
7567.0,8059.0,7013.0,7444.0,807400,2009-06-08
7629.0,7629.0,6152.0,6952.0,378700,2009-06-15
7382.0,7382.0,5783.0,6214.0,271200,2009-06-22
6521.0,6706.0,5537.0,6152.0,177500,2009-06-29
6337.0,6767.0,6091.0,6152.0,313800,2009-07-06
5906.0,6583.0,5660.0,5968.0,184200,2009-07-13
6152.0,6583.0,5783.0,6583.0,154900,2009-07-20
6952.0,6952.0,5906.0,6214.0,171700,2009-07-27
6152.0,6767.0,5906.0,6767.0,328100,2009-08-03
6767.0,7013.0,6275.0,6398.0,466900,2009-08-10
6337.0,6644.0,6214.0,6521.0,270400,2009-08-17
6398.0,7321.0,6152.0,6890.0,549900,2009-08-24
7813.0,8305.0,7506.0,7567.0,738200,2009-08-31
7875.0,7998.0,7198.0,7567.0,269800,2009-09-07
7567.0,8428.0,7382.0,7998.0,658400,2009-09-14
7936.0,9413.0,7875.0,9105.0,604600,2009-09-21
9720.0,11812.0,9720.0,10889.0,673900,2009-09-28
10951.0,11689.0,10335.0,11074.0,270200,2009-10-05
11627.0,14950.0,11504.0,14950.0,203700,2009-10-12
15995.0,17041.0,14396.0,14642.0,615800,2009-10-19
13658.0,14642.0,12796.0,13719.0,237000,2009-10-26
12981.0,16180.0,12796.0,15626.0,152300,2009-11-02
14580.0,14765.0,13596.0,13965.0,87100,2009-11-09
14703.0,14827.0,13596.0,14396.0,88500,2009-11-16
13535.0,13535.0,10889.0,11812.0,121700,2009-11-23
12489.0,13412.0,11074.0,13227.0,186700,2009-11-30
13227.0,13288.0,11812.0,11997.0,66100,2009-12-07
11997.0,13104.0,10582.0,11750.0,43900,2009-12-14
12550.0,13104.0,11750.0,12612.0,72700,2009-12-21
12612.0,13042.0,11074.0,11689.0,125100,2009-12-28
12181.0,13165.0,11197.0,12181.0,172700,2010-01-04
12612.0,12858.0,11689.0,12489.0,295600,2010-01-11
12427.0,12550.0,11381.0,11566.0,65000,2010-01-18
11566.0,11689.0,10212.0,10981.0,146200,2010-01-25
11622.0,11908.0,10624.0,10838.0,169300,2010-02-01
11337.0,11694.0,10125.0,11337.0,72500,2010-02-08
11694.0,11694.0,10196.0,10482.0,54200,2010-02-22
10909.0,11409.0,10125.0,11123.0,220800,2010-03-01
11622.0,13120.0,11409.0,13120.0,869100,2010-03-08
13976.0,13976.0,11908.0,13262.0,846500,2010-03-15
14118.0,17184.0,13904.0,15544.0,1206900,2010-03-22
15687.0,18682.0,15402.0,16828.0,1237800,2010-03-29
17113.0,21676.0,17113.0,21320.0,1238300,2010-04-05
22104.0,27024.0,20678.0,27024.0,846800,2010-04-12
28878.0,35295.0,28878.0,31730.0,829500,2010-04-19
29591.0,34939.0,29520.0,33869.0,1084100,2010-04-26
31516.0,33441.0,29377.0,29662.0,729000,2010-05-04
27808.0,29234.0,21177.0,22104.0,439800,2010-05-10
23530.0,24243.0,18325.0,18325.0,653900,2010-05-17
17113.0,22175.0,17113.0,22175.0,814700,2010-05-24
22746.0,22960.0,19181.0,22033.0,1608700,2010-05-31
20535.0,21391.0,19109.0,21035.0,1416600,2010-06-07
21748.0,25170.0,21106.0,23815.0,2403000,2010-06-14
24386.0,24956.0,21534.0,21819.0,1493000,2010-06-21
21462.0,22389.0,20464.0,21177.0,854500,2010-06-28
22033.0,22033.0,19965.0,20535.0,684700,2010-07-05
21035.0,22746.0,19965.0,21391.0,1235100,2010-07-12
22679.0,24276.0,21481.0,22040.0,794800,2010-07-19
22360.0,22360.0,20443.0,20842.0,537500,2010-07-26
21002.0,21002.0,17968.0,20044.0,823800,2010-08-02
20363.0,20363.0,15812.0,16371.0,555700,2010-08-09
17409.0,18766.0,15971.0,16610.0,438800,2010-08-16
16770.0,17329.0,12617.0,12857.0,498100,2010-08-23
13256.0,15412.0,13256.0,15412.0,431800,2010-08-30
16450.0,20204.0,16211.0,19964.0,1858100,2010-09-06
19165.0,19245.0,16450.0,18048.0,1179900,2010-09-13
19245.0,20922.0,18527.0,19405.0,1981700,2010-09-20
19565.0,20763.0,17728.0,18207.0,1121500,2010-09-27
18686.0,18686.0,15971.0,17089.0,978000,2010-10-04
17329.0,17329.0,15732.0,15891.0,606100,2010-10-11
15732.0,15971.0,13256.0,13576.0,886300,2010-10-18
13815.0,15492.0,12937.0,13895.0,725800,2010-10-25
14374.0,14374.0,12458.0,13655.0,713200,2010-11-01
13655.0,14055.0,11899.0,11978.0,782000,2010-11-08
11978.0,12058.0,9902.0,11180.0,848500,2010-11-15
10541.0,12697.0,10461.0,12697.0,1155800,2010-11-22
13176.0,15412.0,12378.0,15253.0,1914000,2010-11-29
16291.0,16291.0,13496.0,15013.0,1405200,2010-12-06
16051.0,17169.0,14055.0,14534.0,1181400,2010-12-13
15173.0,15173.0,11978.0,12910.0,1430600,2010-12-20
13777.0,15029.0,13006.0,13969.0,980200,2010-12-27
14933.0,14933.0,13584.0,14066.0,345800,2011-01-04
14066.0,15318.0,13006.0,15318.0,990500,2011-01-10
