open,high,low,close,volume,tradingDate
4911.0,6836.0,4978.0,6623.0,107332,2014-08-26
6342.0,6521.0,4625.0,5262.0,108080,2014-09-03
5318.0,5555.0,4653.0,5023.0,99180,2014-10-01
4911.0,5305.0,4886.0,5051.0,47400,2014-11-03
5051.0,5371.0,4490.0,4897.0,22600,2014-12-01
4841.0,5012.0,4441.0,5010.0,57400,2015-01-05
5010.0,5345.0,4654.0,4654.0,3000,2015-02-02
4412.0,5854.0,4555.0,5437.0,16300,2015-03-02
4982.0,5953.0,4697.0,4839.0,23610,2015-04-01
4839.0,5505.0,4247.0,4711.0,41379,2015-05-04
4896.0,6068.0,4694.0,5022.0,97600,2015-06-01
5022.0,5410.0,4647.0,5004.0,198000,2015-07-01
5022.0,5953.0,4872.0,5111.0,203800,2015-08-03
5129.0,6511.0,5058.0,6277.0,410580,2015-09-01
6187.0,6912.0,6192.0,6564.0,421732,2015-10-01
6636.0,8678.0,6597.0,7891.0,1313075,2015-11-02
7891.0,9776.0,7974.0,9326.0,1158656,2015-12-01
9272.0,9715.0,8503.0,9109.0,818698,2016-01-04
9054.0,9655.0,8412.0,9292.0,1090539,2016-02-01
9237.0,9529.0,8148.0,8213.0,1618320,2016-03-01
8195.0,8913.0,7938.0,8359.0,717552,2016-04-01
8378.0,8342.0,7720.0,7984.0,543510,2016-05-04
7965.0,9522.0,7675.0,9411.0,927960,2016-06-01
9468.0,10080.0,8657.0,9348.0,1190354,2016-07-01
9192.0,10532.0,8789.0,10238.0,874616,2016-08-01
10238.0,13202.0,9916.0,12754.0,1885492,2016-09-01
12865.0,12867.0,9471.0,10238.0,1486521,2016-10-03
10060.0,10140.0,8832.0,9526.0,670805,2016-11-01
9126.0,9593.0,8599.0,9237.0,358610,2016-12-01
9571.0,9485.0,7995.0,8458.0,419697,2017-01-03
8169.0,8740.0,7516.0,7990.0,1000736,2017-02-02
7924.0,9166.0,7877.0,8458.0,2384803,2017-03-01
8369.0,8504.0,6598.0,6789.0,1486111,2017-04-03
6700.0,9847.0,6615.0,6989.0,712550,2017-05-03
6967.0,7499.0,6742.0,7211.0,653106,2017-06-01
7167.0,7437.0,6859.0,7122.0,617970,2017-07-03
7078.0,8198.0,6944.0,7746.0,1422285,2017-08-01
7746.0,7773.0,6683.0,7634.0,986747,2017-09-01
7568.0,7774.0,6891.0,7300.0,428976,2017-10-02
7234.0,7458.0,6774.0,7412.0,826011,2017-11-01
7412.0,7961.0,7018.0,7300.0,1146419,2017-12-01
7456.0,7853.0,6889.0,7260.0,1197838,2018-01-02
7236.0,8065.0,6812.0,7284.0,552175,2018-02-01
7331.0,8573.0,7167.0,7402.0,1585785,2018-03-01
7331.0,8003.0,7287.0,7780.0,616976,2018-04-02
7591.0,7971.0,7301.0,7355.0,290482,2018-05-02
7449.0,8008.0,7370.0,7520.0,359146,2018-06-01
7567.0,8682.0,7198.0,8277.0,1339165,2018-07-02
8277.0,10163.0,8367.0,9885.0,1947319,2018-08-01
9696.0,10434.0,9461.0,10311.0,656835,2018-09-04
10311.0,12000.0,10101.0,11138.0,2195603,2018-10-01
11162.0,12344.0,10456.0,11871.0,3307988,2018-11-01
11871.0,12049.0,10360.0,10878.0,2479683,2018-12-03
10689.0,10914.0,9670.0,9921.0,2450534,2019-01-02
9921.0,10836.0,10003.0,10405.0,956922,2019-02-01
10211.0,11042.0,9964.0,10211.0,2679427,2019-03-01
10163.0,10234.0,8542.0,9047.0,1571772,2019-04-01
9047.0,9116.0,8467.0,8571.0,1917810,2019-05-02
8571.0,8562.0,7687.0,8036.0,1491538,2019-06-03
