open,high,low,close,volume,tradingDate
909.0,1676.0,819.0,1014.0,47100,2008-12-03
883.0,935.0,779.0,873.0,48800,2008-12-08
880.0,931.0,822.0,869.0,35500,2008-12-15
891.0,894.0,822.0,873.0,6800,2008-12-22
887.0,902.0,808.0,880.0,4500,2008-12-29
873.0,873.0,873.0,873.0,100,2009-01-02
873.0,880.0,825.0,843.0,14100,2009-01-05
873.0,873.0,724.0,763.0,16000,2009-01-12
800.0,803.0,706.0,778.0,7300,2009-01-19
800.0,818.0,759.0,782.0,9000,2009-02-02
763.0,793.0,717.0,734.0,4100,2009-02-09
760.0,773.0,658.0,691.0,8700,2009-02-16
673.0,713.0,673.0,709.0,5400,2009-02-23
745.0,764.0,719.0,753.0,2600,2009-03-02
763.0,773.0,696.0,727.0,14100,2009-03-09
709.0,730.0,694.0,723.0,10300,2009-03-16
683.0,742.0,654.0,691.0,34700,2009-03-23
727.0,720.0,617.0,713.0,16800,2009-03-30
727.0,745.0,673.0,716.0,29800,2009-04-07
738.0,822.0,727.0,731.0,55900,2009-04-13
691.0,734.0,651.0,716.0,19700,2009-04-20
727.0,760.0,709.0,745.0,12400,2009-04-27
778.0,881.0,781.0,854.0,118400,2009-05-04
829.0,855.0,800.0,825.0,75600,2009-05-11
836.0,880.0,821.0,836.0,91100,2009-05-18
836.0,1029.0,836.0,1029.0,277500,2009-05-25
1072.0,1171.0,1017.0,1171.0,223300,2009-06-01
1251.0,1338.0,1056.0,1160.0,294900,2009-06-08
1174.0,1240.0,1051.0,1109.0,180300,2009-06-15
1043.0,1108.0,981.0,1054.0,118800,2009-06-22
1018.0,1076.0,988.0,1040.0,88300,2009-06-29
1018.0,1058.0,981.0,1000.0,18900,2009-07-06
1018.0,1056.0,911.0,1018.0,9800,2009-07-13
982.0,1080.0,964.0,1080.0,24500,2009-07-20
1127.0,1127.0,1003.0,1054.0,42100,2009-07-27
1036.0,1101.0,1036.0,1054.0,27600,2009-08-03
1054.0,1083.0,1054.0,1065.0,20100,2009-08-10
1072.0,1127.0,1036.0,1083.0,43700,2009-08-17
1105.0,1105.0,1062.0,1072.0,36000,2009-08-24
1072.0,1091.0,1065.0,1072.0,26600,2009-08-31
1072.0,1091.0,1054.0,1087.0,40600,2009-09-07
1098.0,1127.0,1072.0,1123.0,42800,2009-09-14
1116.0,1156.0,1072.0,1142.0,69800,2009-09-21
