open,high,low,close,volume,tradingDate
9821.0,10714.0,9821.0,10714.0,2130,2009-08-19
11235.0,13467.0,11235.0,13467.0,694660,2009-08-24
14137.0,15327.0,14137.0,14286.0,1872420,2009-08-31
14286.0,15068.0,13914.0,15068.0,2361580,2009-09-07
15822.0,18233.0,15822.0,18233.0,2941300,2009-09-14
19137.0,22904.0,19137.0,22000.0,2933010,2009-09-21
22000.0,22000.0,18082.0,18082.0,3574240,2009-09-28
18383.0,19589.0,17931.0,19287.0,5485250,2009-10-05
20191.0,21246.0,19438.0,20191.0,4778610,2009-10-12
20191.0,20342.0,18383.0,18383.0,3320490,2009-10-19
18986.0,19438.0,18082.0,18534.0,2813780,2009-10-26
17630.0,18383.0,16575.0,17781.0,2894070,2009-11-02
17328.0,17781.0,16274.0,17479.0,2040790,2009-11-09
17479.0,18835.0,16424.0,17781.0,4653650,2009-11-16
17781.0,17931.0,14315.0,15671.0,4529760,2009-11-23
15370.0,15822.0,14315.0,15520.0,3060030,2009-11-30
15671.0,15972.0,13938.0,13938.0,2322260,2009-12-07
14465.0,14993.0,13260.0,13938.0,2258550,2009-12-14
14541.0,16357.0,14315.0,16028.0,2679740,2009-12-21
16028.0,17235.0,15589.0,16577.0,2990060,2009-12-28
16906.0,18443.0,16796.0,17235.0,3946810,2010-01-04
17125.0,17345.0,15589.0,16686.0,1978910,2010-01-11
16137.0,16247.0,14930.0,15040.0,1874750,2010-01-18
14930.0,16247.0,14820.0,14930.0,1086100,2010-01-25
14930.0,15808.0,14820.0,15369.0,1166660,2010-02-01
15259.0,15698.0,14930.0,15698.0,716970,2010-02-08
15479.0,15918.0,14820.0,15040.0,975870,2010-02-22
15040.0,15918.0,14930.0,15698.0,1534460,2010-03-01
15808.0,17235.0,15698.0,17235.0,3905140,2010-03-08
17016.0,17345.0,15918.0,16137.0,3049110,2010-03-15
16137.0,16247.0,15259.0,15589.0,2158380,2010-03-22
15479.0,15918.0,15040.0,15698.0,1708920,2010-03-29
15918.0,16357.0,15698.0,16137.0,2176790,2010-04-05
16247.0,16467.0,15808.0,15808.0,1330660,2010-04-12
15589.0,16247.0,15369.0,16028.0,1347520,2010-04-19
15918.0,16137.0,15698.0,15698.0,1317380,2010-04-26
15698.0,15918.0,15149.0,15369.0,1808330,2010-05-04
15369.0,15369.0,14930.0,15149.0,1095860,2010-05-10
15040.0,15040.0,13942.0,13942.0,1601160,2010-05-17
14052.0,15040.0,13722.0,14930.0,1233650,2010-05-24
14710.0,14820.0,14271.0,14601.0,1083910,2010-05-31
14161.0,14491.0,14052.0,14161.0,967410,2010-06-07
14271.0,14381.0,14161.0,14161.0,538930,2010-06-14
14161.0,14601.0,14161.0,14161.0,482480,2010-06-21
14161.0,14271.0,13613.0,14052.0,670390,2010-06-28
14052.0,14161.0,13393.0,13393.0,496770,2010-07-05
13393.0,13832.0,13283.0,13393.0,849890,2010-07-12
13393.0,13393.0,12734.0,12844.0,521830,2010-07-19
13064.0,13064.0,12515.0,12625.0,634550,2010-07-26
12515.0,12625.0,11307.0,11527.0,1252750,2010-08-02
11197.0,11527.0,9990.0,10539.0,1847180,2010-08-09
10692.0,10736.0,9287.0,9441.0,1827720,2010-08-16
9441.0,9441.0,8475.0,9178.0,2960860,2010-08-23
9617.0,10561.0,9617.0,10539.0,1057620,2010-08-30
10561.0,10978.0,9639.0,9639.0,1265410,2010-09-06
9265.0,9880.0,9178.0,9880.0,1005160,2010-09-13
10209.0,10209.0,9485.0,9551.0,852820,2010-09-20
9595.0,9595.0,9221.0,9419.0,740220,2010-09-27
9441.0,9639.0,9134.0,9375.0,783630,2010-10-04
9375.0,9397.0,9090.0,9309.0,426860,2010-10-11
9375.0,9375.0,8563.0,9002.0,584780,2010-10-18
9002.0,9419.0,8782.0,8980.0,264720,2010-10-25
8804.0,9199.0,8804.0,9134.0,235780,2010-11-01
9112.0,9134.0,8189.0,8343.0,631450,2010-11-08
8233.0,8387.0,7201.0,7267.0,852370,2010-11-15
7026.0,7399.0,6894.0,7070.0,647900,2010-11-22
7201.0,8629.0,7070.0,8629.0,1724130,2010-11-29
9024.0,9046.0,7904.0,8760.0,2283140,2010-12-06
9178.0,10078.0,9002.0,9770.0,3729310,2010-12-13
9441.0,9704.0,8909.0,8954.0,2088190,2010-12-20
8999.0,9224.0,8662.0,9224.0,1034270,2010-12-27
9337.0,9337.0,8842.0,8842.0,388000,2011-01-04
8842.0,8887.0,8482.0,8887.0,466740,2011-01-10
8887.0,9022.0,8459.0,8707.0,699840,2011-01-17
8707.0,8707.0,8347.0,8549.0,557630,2011-01-24
8684.0,8752.0,8437.0,8504.0,426730,2011-02-08
8549.0,8549.0,7537.0,7559.0,621510,2011-02-14
7424.0,7424.0,6524.0,6704.0,751660,2011-02-21
6637.0,6749.0,6029.0,6052.0,793660,2011-02-28
6029.0,6479.0,5759.0,6479.0,714800,2011-03-07
6479.0,6794.0,6389.0,6727.0,1953780,2011-03-14
6682.0,6929.0,6142.0,6389.0,623700,2011-03-21
6232.0,6502.0,5872.0,5984.0,712270,2011-03-28
5962.0,6277.0,5917.0,6142.0,716180,2011-04-04
6052.0,6209.0,5939.0,5962.0,298780,2011-04-13
5827.0,5984.0,5242.0,5242.0,659460,2011-04-18
5400.0,5489.0,4882.0,5062.0,818670,2011-04-25
5017.0,5220.0,5017.0,5130.0,302440,2011-05-04
5220.0,5355.0,5085.0,5107.0,358790,2011-05-09
4950.0,5062.0,4702.0,4702.0,333980,2011-05-16
4477.0,4500.0,3870.0,4162.0,627520,2011-05-23
4027.0,4432.0,3825.0,4117.0,540580,2011-05-30
4162.0,4837.0,4005.0,4680.0,871280,2011-06-06
4590.0,4815.0,4140.0,4230.0,1411900,2011-06-13
4050.0,4455.0,4050.0,4207.0,719540,2011-06-20
4185.0,4342.0,3937.0,3960.0,373830,2011-06-27
3937.0,4185.0,3870.0,3870.0,623870,2011-07-04
3915.0,3915.0,3780.0,3802.0,365590,2011-07-11
3802.0,3937.0,3735.0,3847.0,301500,2011-07-18
3825.0,3870.0,3667.0,3712.0,358300,2011-07-25
3667.0,3667.0,3420.0,3465.0,431400,2011-08-01
3555.0,3622.0,3330.0,3397.0,774540,2011-08-08
3375.0,3735.0,3375.0,3577.0,617730,2011-08-15
3735.0,4185.0,3667.0,4050.0,1267220,2011-08-22
4252.0,4500.0,4027.0,4432.0,1178710,2011-08-29
4320.0,4905.0,4162.0,4837.0,1438150,2011-09-05
5062.0,5557.0,4837.0,5040.0,2144390,2011-09-12
5107.0,5220.0,4792.0,4927.0,726520,2011-09-19
4702.0,4927.0,4365.0,4522.0,623970,2011-09-26
4500.0,4815.0,4320.0,4725.0,473760,2011-10-03
4590.0,4770.0,4545.0,4680.0,426080,2011-10-10
4657.0,4710.0,4410.0,4710.0,717950,2011-10-17
4800.0,5040.0,4740.0,5040.0,796510,2011-10-24
5040.0,5250.0,4710.0,4710.0,443760,2011-10-31
4590.0,4740.0,4200.0,4200.0,262520,2011-11-07
3990.0,4380.0,3660.0,3660.0,724290,2011-11-14
3840.0,3990.0,3750.0,3750.0,305440,2011-11-21
3930.0,3930.0,3420.0,3750.0,382970,2011-11-28
3810.0,4050.0,3720.0,3720.0,506430,2011-12-05
3600.0,3690.0,3240.0,3240.0,2977320,2011-12-12
3360.0,3510.0,3150.0,3150.0,1054640,2011-12-19
3150.0,3180.0,2850.0,3120.0,1065830,2011-12-26
3060.0,3210.0,2940.0,2940.0,556530,2012-01-03
2910.0,2910.0,2760.0,2910.0,1412670,2012-01-09
2910.0,3420.0,2910.0,3330.0,944180,2012-01-16
3360.0,4050.0,3300.0,3780.0,1492380,2012-01-30
3690.0,4050.0,3600.0,3810.0,1307790,2012-02-06
