open,high,low,close,volume,tradingDate
19730.0,20453.0,18020.0,19204.0,2536140,2010-06-22
18415.0,20059.0,17757.0,17888.0,1056150,2010-06-28
17757.0,17757.0,16178.0,17231.0,1132530,2010-07-05
17231.0,19006.0,17231.0,17625.0,1261850,2010-07-12
17757.0,18151.0,16968.0,17823.0,1049870,2010-07-19
18678.0,18678.0,16968.0,16968.0,904010,2010-07-26
16770.0,17099.0,15652.0,15915.0,476010,2010-08-02
15850.0,15850.0,13153.0,13942.0,952020,2010-08-09
14271.0,14666.0,12430.0,12693.0,1088110,2010-08-16
12824.0,12890.0,10720.0,11180.0,1110470,2010-08-23
11575.0,12824.0,11575.0,12824.0,575070,2010-08-30
13416.0,13942.0,12890.0,12890.0,1311710,2010-09-06
12364.0,13614.0,11969.0,13614.0,722220,2010-09-13
14140.0,14205.0,12956.0,13219.0,726900,2010-09-20
13482.0,13482.0,12627.0,13219.0,515440,2010-09-27
13219.0,14929.0,12824.0,14929.0,1194930,2010-10-04
14929.0,16244.0,14929.0,15718.0,1145670,2010-10-11
15258.0,16442.0,14929.0,15718.0,689820,2010-10-18
16113.0,17757.0,15718.0,16310.0,724950,2010-10-25
15850.0,17560.0,15455.0,17099.0,516020,2010-11-01
17362.0,18151.0,16770.0,17888.0,456940,2010-11-08
17757.0,18546.0,17231.0,17428.0,976980,2010-11-15
17428.0,18941.0,16902.0,18217.0,1376900,2010-11-22
18217.0,20716.0,18086.0,19401.0,921540,2010-11-29
19730.0,19730.0,16573.0,18546.0,433830,2010-12-06
18743.0,19269.0,17560.0,18480.0,410280,2010-12-13
18480.0,18480.0,17625.0,17757.0,652440,2010-12-20
18020.0,19072.0,17757.0,19072.0,375260,2010-12-27
19072.0,19072.0,18151.0,18809.0,128910,2011-01-04
18743.0,18743.0,17428.0,17757.0,187020,2011-01-10
17757.0,18809.0,17757.0,18809.0,787320,2011-01-17
19730.0,21374.0,18743.0,21045.0,319660,2011-01-24
21703.0,21703.0,20322.0,21196.0,356160,2011-02-08
21630.0,21630.0,18881.0,18881.0,490910,2011-02-14
