open,high,low,close,volume,tradingDate
11173.0,11173.0,10096.0,10890.0,1351350,2010-07-26
10890.0,10890.0,9699.0,9982.0,461470,2010-08-02
10152.0,10323.0,9188.0,10323.0,1086410,2010-08-09
10549.0,10890.0,9699.0,10209.0,624070,2010-08-16
10209.0,10209.0,9245.0,9529.0,511960,2010-08-23
9642.0,9812.0,9075.0,9075.0,267920,2010-08-30
9415.0,9755.0,9018.0,9018.0,331960,2010-09-06
8848.0,9472.0,8848.0,9302.0,647460,2010-09-13
9358.0,9585.0,9075.0,9585.0,1788930,2010-09-20
9812.0,9926.0,8734.0,8734.0,932610,2010-09-27
9115.0,9115.0,8088.0,8794.0,523870,2010-10-04
8666.0,8794.0,8473.0,8537.0,242820,2010-10-11
8537.0,8666.0,7703.0,7895.0,407560,2010-10-18
8088.0,8666.0,7703.0,8537.0,897350,2010-10-25
8473.0,8473.0,7895.0,8152.0,165280,2010-11-01
8024.0,8280.0,7510.0,7574.0,361770,2010-11-08
7639.0,7639.0,6932.0,7382.0,139130,2010-11-15
7061.0,7446.0,7061.0,7125.0,99350,2010-11-22
7253.0,8280.0,7061.0,8280.0,872610,2010-11-29
8666.0,9243.0,8088.0,8601.0,2313050,2010-12-06
8922.0,8986.0,7446.0,7767.0,1712900,2010-12-13
8024.0,8088.0,7125.0,7125.0,917790,2010-12-20
7125.0,7703.0,7061.0,7446.0,566290,2010-12-27
7767.0,8024.0,7446.0,7446.0,1023140,2011-01-04
7382.0,7574.0,7125.0,7510.0,675170,2011-01-10
7510.0,7574.0,7189.0,7189.0,563620,2011-01-17
7253.0,7253.0,6932.0,6932.0,856340,2011-01-24
6997.0,7061.0,6676.0,6740.0,432910,2011-02-08
6676.0,6804.0,6098.0,6098.0,412660,2011-02-14
5905.0,5970.0,5328.0,5649.0,712620,2011-02-21
5520.0,5713.0,4814.0,4943.0,643180,2011-02-28
4943.0,5007.0,4557.0,4943.0,371570,2011-03-07
4878.0,5135.0,4814.0,5071.0,416200,2011-03-14
5135.0,5199.0,4750.0,4750.0,362960,2011-03-21
4878.0,5007.0,4750.0,4814.0,534020,2011-03-28
4878.0,5071.0,4750.0,5007.0,327810,2011-04-04
4943.0,5007.0,4686.0,4814.0,51730,2011-04-13
4686.0,4814.0,4236.0,4301.0,199860,2011-04-18
4365.0,4493.0,3851.0,4044.0,152550,2011-04-25
4172.0,4365.0,3916.0,4365.0,127320,2011-05-04
4301.0,4493.0,4108.0,4236.0,483900,2011-05-09
4172.0,4236.0,3466.0,3466.0,617810,2011-05-16
3338.0,3530.0,2953.0,3145.0,646870,2011-05-23
3145.0,3145.0,2760.0,3145.0,877160,2011-05-30
3145.0,3595.0,3145.0,3595.0,1118860,2011-06-06
3659.0,4044.0,3659.0,3659.0,1378820,2011-06-13
3530.0,3787.0,3402.0,3723.0,658910,2011-06-20
3787.0,3787.0,3402.0,3466.0,550350,2011-06-27
3530.0,3659.0,3402.0,3466.0,244400,2011-07-04
3402.0,3466.0,3081.0,3081.0,264280,2011-07-11
3081.0,3209.0,2953.0,3081.0,172860,2011-07-18
3081.0,3081.0,2889.0,2889.0,132250,2011-07-25
2889.0,3017.0,2760.0,2889.0,168220,2011-08-01
2889.0,2953.0,2824.0,2889.0,205860,2011-08-08
2824.0,3081.0,2824.0,2889.0,149970,2011-08-15
2953.0,3081.0,2824.0,2953.0,156640,2011-08-22
2953.0,3209.0,2889.0,3209.0,400620,2011-08-29
3209.0,3338.0,3081.0,3338.0,756160,2011-09-05
3402.0,3723.0,3402.0,3402.0,897920,2011-09-12
3274.0,3402.0,3209.0,3209.0,445900,2011-09-19
3274.0,3530.0,3145.0,3402.0,900640,2011-09-26
3338.0,3402.0,3081.0,3274.0,468410,2011-10-03
3209.0,3274.0,3017.0,3081.0,251230,2011-10-10
3081.0,3209.0,3017.0,3145.0,269960,2011-10-17
3145.0,3209.0,2953.0,3081.0,195200,2011-10-24
3081.0,3145.0,2760.0,3017.0,276070,2011-10-31
2953.0,3017.0,2760.0,2889.0,210710,2011-11-07
2889.0,2889.0,2632.0,2760.0,232150,2011-11-14
