open,high,low,close,volume,tradingDate
4353.0,4353.0,4237.0,4353.0,168490,2015-07-14
4295.0,4353.0,4179.0,4295.0,71010,2015-07-15
4237.0,4295.0,4179.0,4237.0,99580,2015-07-16
4295.0,4295.0,4179.0,4237.0,133270,2015-07-17
4237.0,4237.0,4121.0,4179.0,141360,2015-07-20
4237.0,4237.0,4063.0,4063.0,156120,2015-07-21
4004.0,4179.0,4004.0,4121.0,125930,2015-07-22
4237.0,4353.0,4179.0,4179.0,407430,2015-07-23
4295.0,4295.0,4179.0,4179.0,132080,2015-07-24
4179.0,4237.0,4121.0,4179.0,117400,2015-07-27
4237.0,4295.0,4121.0,4237.0,201270,2015-07-28
4179.0,4237.0,4121.0,4121.0,124560,2015-07-29
4179.0,4237.0,4121.0,4179.0,66850,2015-07-30
4179.0,4295.0,4179.0,4237.0,272530,2015-07-31
4237.0,4237.0,4121.0,4237.0,88520,2015-08-03
4179.0,4237.0,4121.0,4121.0,158800,2015-08-04
4121.0,4295.0,4121.0,4237.0,174230,2015-08-05
4237.0,4411.0,4237.0,4353.0,343340,2015-08-06
4295.0,4353.0,4295.0,4353.0,109550,2015-08-07
4353.0,4353.0,4295.0,4295.0,150080,2015-08-10
4295.0,4353.0,4179.0,4179.0,186430,2015-08-11
4179.0,4237.0,4121.0,4237.0,162350,2015-08-12
4179.0,4179.0,4063.0,4063.0,129860,2015-08-13
4179.0,4179.0,4004.0,4063.0,270520,2015-08-14
4063.0,4237.0,4063.0,4063.0,231770,2015-08-17
4179.0,4179.0,4063.0,4121.0,157570,2015-08-18
4063.0,4121.0,4063.0,4121.0,134170,2015-08-19
4121.0,4121.0,4063.0,4121.0,284080,2015-08-20
4004.0,4063.0,3888.0,4004.0,304400,2015-08-21
3946.0,3946.0,3772.0,3772.0,225510,2015-08-24
3540.0,3714.0,3540.0,3540.0,454760,2015-08-25
3482.0,3714.0,3482.0,3714.0,100620,2015-08-26
3772.0,3830.0,3656.0,3772.0,151600,2015-08-27
3714.0,3772.0,3656.0,3714.0,151530,2015-08-28
3714.0,3772.0,3598.0,3714.0,163100,2015-08-31
3772.0,3772.0,3656.0,3714.0,118450,2015-09-01
3656.0,3714.0,3598.0,3714.0,82840,2015-09-03
3656.0,3830.0,3656.0,3714.0,198990,2015-09-04
3772.0,3772.0,3656.0,3714.0,67750,2015-09-07
3656.0,3830.0,3656.0,3772.0,103700,2015-09-08
3830.0,3830.0,3714.0,3772.0,42050,2015-09-09
3714.0,3772.0,3656.0,3714.0,82590,2015-09-10
3714.0,3772.0,3656.0,3656.0,108390,2015-09-11
3714.0,3714.0,3540.0,3598.0,113780,2015-09-14
3598.0,3656.0,3540.0,3598.0,148680,2015-09-15
3598.0,3772.0,3598.0,3714.0,151830,2015-09-16
3656.0,3772.0,3656.0,3772.0,76790,2015-09-17
3772.0,3830.0,3714.0,3772.0,215660,2015-09-18
3772.0,3830.0,3714.0,3772.0,196210,2015-09-21
3830.0,3830.0,3714.0,3830.0,267790,2015-09-22
3772.0,4063.0,3714.0,4004.0,1087530,2015-09-23
4004.0,4063.0,3946.0,4063.0,392770,2015-09-24
4063.0,4121.0,4004.0,4121.0,238430,2015-09-25
4063.0,4063.0,3888.0,3888.0,340870,2015-09-28
3830.0,3888.0,3656.0,3830.0,337070,2015-09-29
3772.0,3888.0,3714.0,3830.0,268800,2015-09-30
3830.0,3830.0,3714.0,3772.0,65910,2015-10-01
3714.0,3830.0,3714.0,3772.0,119780,2015-10-02
3830.0,3888.0,3772.0,3830.0,196990,2015-10-05
3888.0,3946.0,3888.0,3888.0,212390,2015-10-06
3946.0,4004.0,3946.0,3946.0,156790,2015-10-07
3946.0,4063.0,3888.0,3946.0,396310,2015-10-08
3946.0,4004.0,3946.0,4004.0,146270,2015-10-09
4004.0,4004.0,3888.0,3946.0,189650,2015-10-12
3946.0,3946.0,3888.0,3946.0,99580,2015-10-13
3946.0,3946.0,3888.0,3946.0,167710,2015-10-14
3946.0,3946.0,3888.0,3946.0,124320,2015-10-15
4004.0,4063.0,4004.0,4063.0,286430,2015-10-16
4004.0,4063.0,4004.0,4004.0,152550,2015-10-19
4004.0,4004.0,3888.0,3888.0,218850,2015-10-20
3888.0,3888.0,3830.0,3888.0,345510,2015-10-21
3888.0,3946.0,3888.0,3946.0,94370,2015-10-22
3946.0,4004.0,3888.0,3946.0,72780,2015-10-23
3946.0,4004.0,3888.0,3946.0,78370,2015-10-26
3888.0,3946.0,3830.0,3888.0,40370,2015-10-27
