open,high,low,close,volume,tradingDate
12611.0,12670.0,12376.0,12435.0,190170,2015-07-21
12435.0,12670.0,12376.0,12553.0,239010,2015-07-22
12553.0,12670.0,12435.0,12435.0,143620,2015-07-23
12435.0,12670.0,12317.0,12670.0,357100,2015-07-24
12670.0,13319.0,12670.0,13201.0,765570,2015-07-27
13083.0,13672.0,13083.0,13319.0,998590,2015-07-28
13319.0,13378.0,12906.0,12906.0,370440,2015-07-29
12788.0,13024.0,12788.0,12788.0,264930,2015-07-30
13024.0,13142.0,12788.0,12788.0,285370,2015-07-31
12729.0,12729.0,12435.0,12494.0,426140,2015-08-03
12494.0,12788.0,12435.0,12611.0,388950,2015-08-04
12788.0,13024.0,12788.0,12906.0,260530,2015-08-05
13024.0,13083.0,12729.0,12729.0,243510,2015-08-06
12729.0,12965.0,12670.0,12906.0,348500,2015-08-07
12965.0,13024.0,12788.0,12906.0,264920,2015-08-10
12965.0,13378.0,12965.0,13142.0,749800,2015-08-11
12965.0,13142.0,12847.0,12847.0,570030,2015-08-12
13024.0,13024.0,12553.0,12670.0,364670,2015-08-13
12729.0,12965.0,12494.0,12847.0,302520,2015-08-14
12729.0,12847.0,12376.0,12494.0,309320,2015-08-17
12435.0,12670.0,12435.0,12553.0,207520,2015-08-18
12553.0,12729.0,12376.0,12729.0,331690,2015-08-19
12553.0,12788.0,12435.0,12494.0,130800,2015-08-20
12376.0,12376.0,11786.0,12258.0,367920,2015-08-21
11963.0,11963.0,11433.0,11433.0,679950,2015-08-24
10902.0,11786.0,10785.0,10902.0,415690,2015-08-25
10902.0,11433.0,10902.0,11433.0,250170,2015-08-26
11551.0,11669.0,11374.0,11492.0,161540,2015-08-27
11669.0,11669.0,11374.0,11610.0,242610,2015-08-28
11610.0,11669.0,11374.0,11610.0,117780,2015-08-31
11551.0,11669.0,11433.0,11433.0,221670,2015-09-01
11315.0,11433.0,11197.0,11256.0,179040,2015-09-03
11374.0,11374.0,11138.0,11138.0,140330,2015-09-04
11197.0,11433.0,11138.0,11433.0,269260,2015-09-07
11374.0,11433.0,11256.0,11374.0,124030,2015-09-08
11551.0,11727.0,11551.0,11727.0,369680,2015-09-09
11610.0,11669.0,11551.0,11610.0,68090,2015-09-10
11669.0,11786.0,11492.0,11669.0,202190,2015-09-11
11610.0,11727.0,11492.0,11669.0,170240,2015-09-14
11610.0,11904.0,11551.0,11845.0,371150,2015-09-15
11904.0,12022.0,11786.0,11845.0,88510,2015-09-16
11845.0,11845.0,11786.0,11845.0,121910,2015-09-17
11963.0,12022.0,11845.0,12022.0,329380,2015-09-18
12022.0,12081.0,11904.0,12022.0,101990,2015-09-21
11963.0,12140.0,11963.0,12140.0,167160,2015-09-22
12081.0,12199.0,12022.0,12081.0,207400,2015-09-23
12022.0,12140.0,12022.0,12140.0,147220,2015-09-24
12140.0,12199.0,12022.0,12199.0,136300,2015-09-25
12081.0,12258.0,12081.0,12140.0,217630,2015-09-28
12081.0,12081.0,11669.0,12022.0,394070,2015-09-29
12022.0,12022.0,11786.0,11845.0,158750,2015-09-30
11845.0,12081.0,11786.0,11845.0,254450,2015-10-01
11786.0,11904.0,11786.0,11845.0,180050,2015-10-02
11845.0,12022.0,11786.0,11963.0,378140,2015-10-05
12022.0,12317.0,12022.0,12199.0,563000,2015-10-06
12199.0,12317.0,12140.0,12317.0,515370,2015-10-07
12317.0,12788.0,12258.0,12729.0,743860,2015-10-08
12788.0,12847.0,12494.0,12494.0,394540,2015-10-09
12611.0,12729.0,12494.0,12729.0,534820,2015-10-12
12553.0,12729.0,12494.0,12670.0,209700,2015-10-13
12611.0,12670.0,12494.0,12494.0,271890,2015-10-14
12494.0,12611.0,12494.0,12553.0,137340,2015-10-15
12553.0,12670.0,12435.0,12435.0,162440,2015-10-16
12435.0,12553.0,12376.0,12435.0,116130,2015-10-19
12376.0,12435.0,12199.0,12258.0,147540,2015-10-20
12258.0,12435.0,12258.0,12317.0,192080,2015-10-21
12317.0,12611.0,12199.0,12553.0,207430,2015-10-22
12553.0,12788.0,12494.0,12611.0,318270,2015-10-23
12553.0,12729.0,12376.0,12376.0,234230,2015-10-26
12376.0,12611.0,12376.0,12553.0,301470,2015-10-27
12553.0,12906.0,12553.0,12729.0,408980,2015-10-28
12788.0,13142.0,12729.0,12906.0,561880,2015-10-29
12965.0,12965.0,12788.0,12847.0,158250,2015-10-30
12788.0,12965.0,12553.0,12611.0,132910,2015-11-02
12611.0,12670.0,12494.0,12670.0,221310,2015-11-03
12670.0,12965.0,12670.0,12788.0,511500,2015-11-04
12788.0,12965.0,12788.0,12788.0,314100,2015-11-05
12847.0,12906.0,12611.0,12611.0,320660,2015-11-06
12670.0,12670.0,12435.0,12435.0,202890,2015-11-09
12376.0,12553.0,12376.0,12376.0,203360,2015-11-10
12494.0,12553.0,12317.0,12317.0,128210,2015-11-11
12317.0,12435.0,12140.0,12435.0,214380,2015-11-12
