open,high,low,close,volume,tradingDate
5741.0,6002.0,5741.0,6002.0,118700,2006-12-07
6001.0,7524.0,6001.0,7524.0,161400,2006-12-11
7524.0,7742.0,7306.0,7306.0,798150,2006-12-18
6958.0,8133.0,6958.0,7698.0,312730,2006-12-25
7350.0,8220.0,7349.0,8220.0,112440,2007-01-02
8609.0,8698.0,8264.0,8523.0,454950,2007-01-08
8696.0,8697.0,7480.0,7872.0,237880,2007-01-15
7871.0,7871.0,7220.0,7567.0,130080,2007-01-22
7741.0,8176.0,7567.0,7785.0,124640,2007-01-29
7784.0,7915.0,7480.0,7567.0,91230,2007-02-05
7915.0,7916.0,7741.0,7915.0,67540,2007-02-12
8306.0,8698.0,7958.0,8350.0,157040,2007-02-26
8698.0,10002.0,8611.0,10002.0,362430,2007-03-05
10437.0,10438.0,7741.0,8480.0,167680,2007-03-12
8437.0,8524.0,7741.0,7915.0,105570,2007-03-19
7611.0,7611.0,6915.0,7567.0,122980,2007-03-26
7567.0,7567.0,6958.0,7046.0,70900,2007-04-02
7132.0,7132.0,6480.0,6480.0,37360,2007-04-09
6262.0,6741.0,5915.0,6524.0,83610,2007-04-16
6350.0,6436.0,6219.0,6436.0,36930,2007-04-23
6523.0,6523.0,6262.0,6436.0,7990,2007-05-02
6524.0,6697.0,6306.0,6480.0,39550,2007-05-07
6524.0,6611.0,6306.0,6524.0,74350,2007-05-14
6610.0,7567.0,6523.0,7567.0,233860,2007-05-21
7523.0,7524.0,7045.0,7046.0,111160,2007-05-28
6958.0,7201.0,6654.0,7001.0,103490,2007-06-04
6902.0,7002.0,6802.0,6852.0,29230,2007-06-11
6952.0,6952.0,6602.0,6602.0,34150,2007-06-18
6602.0,6602.0,6102.0,6202.0,44080,2007-06-25
6001.0,6202.0,5802.0,6202.0,61980,2007-07-02
6202.0,6502.0,6202.0,6402.0,47000,2007-07-09
6202.0,6202.0,6002.0,6052.0,31370,2007-07-16
6351.0,6352.0,5702.0,5852.0,47410,2007-07-23
5801.0,5801.0,5352.0,5552.0,39720,2007-07-30
5551.0,5501.0,5151.0,5401.0,50500,2007-08-06
5401.0,5601.0,4101.0,5101.0,52140,2007-08-13
5101.0,5201.0,4801.0,5002.0,78610,2007-08-20
5102.0,5102.0,4902.0,5051.0,51770,2007-08-27
5152.0,5901.0,5102.0,5801.0,168770,2007-09-04
5601.0,5751.0,5302.0,5401.0,85490,2007-09-10
5401.0,5701.0,5401.0,5601.0,146160,2007-09-17
5702.0,6002.0,5602.0,5801.0,148810,2007-09-24
5801.0,5952.0,5601.0,5902.0,245200,2007-10-01
5902.0,6602.0,5801.0,6602.0,396640,2007-10-08
6601.0,6602.0,5902.0,6002.0,185490,2007-10-15
6101.0,6658.0,6001.0,6402.0,183480,2007-10-22
6202.0,6502.0,5954.0,6402.0,205180,2007-10-29
6151.0,6301.0,5702.0,5702.0,112430,2007-11-05
5701.0,5702.0,5253.0,5352.0,105630,2007-11-12
5501.0,5501.0,5251.0,5251.0,47870,2007-11-19
5401.0,5501.0,5301.0,5301.0,45220,2007-11-26
5401.0,5501.0,5301.0,5401.0,30680,2007-12-03
5401.0,5401.0,5101.0,5101.0,34290,2007-12-10
5002.0,5301.0,4902.0,5101.0,35520,2007-12-17
5151.0,5151.0,4912.0,5051.0,30200,2007-12-24
5052.0,5052.0,4951.0,4951.0,10230,2008-01-02
4901.0,4961.0,4561.0,4701.0,91410,2008-01-07
4651.0,4661.0,4321.0,4441.0,79870,2008-01-14
4440.0,4441.0,3941.0,4171.0,42600,2008-01-21
4171.0,4801.0,4121.0,4801.0,116190,2008-01-28
4901.0,4901.0,4401.0,4551.0,37150,2008-02-12
4341.0,4391.0,3711.0,3711.0,79100,2008-02-18
3891.0,4051.0,3551.0,3681.0,132940,2008-02-25
3701.0,3701.0,3171.0,3481.0,208170,2008-03-03
3651.0,3651.0,2901.0,2901.0,236160,2008-03-10
2761.0,2781.0,2501.0,2501.0,167390,2008-03-17
2421.0,2421.0,2201.0,2341.0,58520,2008-03-24
2360.0,2440.0,2360.0,2440.0,37330,2008-03-31
2480.0,2571.0,2480.0,2520.0,179770,2008-04-07
2571.0,2670.0,2501.0,2670.0,32250,2008-04-16
2721.0,2766.0,2604.0,2720.0,79940,2008-04-21
2674.0,2720.0,2628.0,2628.0,31520,2008-04-28
2581.0,2581.0,2396.0,2396.0,21500,2008-05-05
2350.0,2350.0,2199.0,2234.0,43520,2008-05-12
2199.0,2199.0,2060.0,2060.0,34630,2008-05-19
2026.0,2026.0,2026.0,2026.0,6120,2008-05-26
1956.0,1956.0,1817.0,1817.0,1440,2008-06-02
1783.0,1852.0,1713.0,1852.0,45910,2008-06-09
1887.0,1956.0,1794.0,1794.0,91350,2008-06-16
1748.0,1875.0,1702.0,1840.0,79470,2008-06-23
1817.0,2002.0,1794.0,2002.0,400670,2008-06-30
2060.0,2060.0,1887.0,1968.0,281440,2008-07-07
1968.0,2002.0,1806.0,1806.0,448470,2008-07-14
1759.0,1759.0,1574.0,1574.0,35960,2008-07-21
1528.0,1609.0,1493.0,1516.0,412100,2008-07-28
1482.0,1482.0,1377.0,1412.0,233150,2008-08-04
1447.0,1516.0,1412.0,1516.0,223310,2008-08-11
1586.0,1644.0,1458.0,1516.0,290220,2008-08-18
1586.0,1736.0,1563.0,1655.0,471800,2008-08-25
1736.0,1898.0,1736.0,1898.0,463060,2008-09-03
1991.0,2188.0,1794.0,1794.0,1259520,2008-09-08
1713.0,1875.0,1597.0,1667.0,489440,2008-09-15
1748.0,1748.0,1597.0,1725.0,454480,2008-09-22
1667.0,1736.0,1597.0,1702.0,226200,2008-09-29
1655.0,1678.0,1435.0,1435.0,284500,2008-10-06
1435.0,1620.0,1366.0,1528.0,140920,2008-10-13
1516.0,1574.0,1435.0,1435.0,78640,2008-10-20
1366.0,1366.0,1250.0,1285.0,194820,2008-10-27
1273.0,1401.0,1227.0,1320.0,179360,2008-11-03
1320.0,1458.0,1285.0,1389.0,174940,2008-11-10
1366.0,1424.0,1296.0,1308.0,104320,2008-11-17
1331.0,1377.0,1250.0,1377.0,112780,2008-11-24
1331.0,1366.0,1262.0,1320.0,167650,2008-12-01
1273.0,1354.0,1262.0,1354.0,110650,2008-12-08
1377.0,1412.0,1308.0,1354.0,69690,2008-12-15
1331.0,1389.0,1308.0,1377.0,88340,2008-12-22
1412.0,1412.0,1354.0,1389.0,28850,2008-12-29
1377.0,1389.0,1377.0,1389.0,2190,2009-01-02
1343.0,1389.0,1331.0,1331.0,46410,2009-01-05
1343.0,1343.0,1273.0,1331.0,25210,2009-01-12
1354.0,1401.0,1331.0,1366.0,83070,2009-01-19
